"",BBEX3.M.PKR.USD.CA.AB.A01,BBEX3.M.PKR.USD.CA.AB.A01_FLAGS
2003-06,57.9500,
2003-07,57.7300,
2003-08,57.9300,
2003-09,58.1500,
2003-10,57.5000,
2003-11,57.4200,
2003-12,57.5200,
2004-01,57.2000,
2004-02,57.4000,
2004-03,57.2000,
2004-04,57.5000,
2004-05,57.7400,
2004-06,58.4000,
2004-07,58.4800,
2004-08,58.7300,
2004-09,59.2100,
2004-10,61.4000,
2004-11,59.9000,
2004-12,59.5300,
2005-01,59.4800,
2005-02,59.4000,
2005-03,59.5000,
2005-04,59.5800,
2005-05,59.7500,
2005-06,59.7500,
2005-07,59.7500,
2005-08,59.8000,
2005-09,59.9000,
2005-10,59.8500,
2005-11,59.9000,
2005-12,59.9600,
2006-01,59.9800,
2006-02,59.9800,
2006-03,60.0800,
2006-04,60.2000,
2006-05,60.3000,
2006-06,60.3500,
2006-07,60.4800,
2006-08,60.4800,
2006-09,60.6800,
2006-10,60.7000,
2006-11,60.9500,
2006-12,61.0200,
2007-01,60.8000,
2007-02,60.8000,
2007-03,60.9000,
2007-04,60.8000,
2007-05,60.8300,
2007-06,60.6500,
2007-07,60.5000,
2007-08,60.5300,
2007-09,60.8000,
2007-10,60.8000,
2007-11,61.2300,
2007-12,61.5500,
2008-01,62.7000,
2008-02,62.6000,
2008-03,62.8500,
2008-04,64.6000,
2008-05,67.0000,
2008-06,68.2000,
2008-07,71.4500,
2008-08,75.8000,
2008-09,78.2000,
2008-10,81.5000,
2008-11,78.7000,
2008-12,78.9000,
2009-01,79.0000,
2009-02,79.9000,
2009-03,80.4000,
2009-04,80.4500,
2009-05,80.9000,
2009-06,81.3000,
2009-07,83.2000,
2009-08,83.0000,
2009-09,83.3000,
2009-10,83.7500,
2009-11,83.5500,
2009-12,84.3000,
2010-01,84.7500,
2010-02,85.1000,
2010-03,84.2000,
2010-04,84.1000,
2010-05,85.1000,
2010-06,85.6000,
2010-07,85.7500,
2010-08,85.8000,
2010-09,86.2000,
2010-10,85.9500,
2010-11,85.8000,
2010-12,85.9000,
2011-01,85.8000,
2011-02,85.7000,
2011-03,85.2500,
2011-04,84.8000,
2011-05,85.9000,
2011-06,86.0500,
2011-07,86.4500,
2011-08,87.2000,
2011-09,87.4000,
2011-10,86.6000,
2011-11,88.2000,
2011-12,89.8000,
2012-01,90.2000,
2012-02,90.8500,
2012-03,90.7000,
2012-04,90.8000,
2012-05,93.2000,
2012-06,94.2000,
2012-07,94.7000,
2012-08,94.4500,
2012-09,94.7000,
2012-10,95.8000,
2012-11,96.5000,
2012-12,97.1000,
2013-01,97.6000,
2013-02,98.1000,
2013-03,98.3000,
2013-04,98.3500,
2013-05,98.4500,
2013-06,98.8000,
2013-07,101.7000,
2013-08,104.2000,
2013-09,105.5000,
2013-10,106.6000,
2013-11,108.2000,
2013-12,105.2000,
2014-01,105.2000,
2014-02,104.9000,
2014-03,97.9000,
2014-04,98.2000,
2014-05,98.5000,
2014-06,98.7500,
2014-07,98.6000,
2014-08,101.5000,
2014-09,102.7000,
2014-10,103.0000,
2014-11,101.6000,
2014-12,100.6000,
2015-01,101.0000,
"","General: * Composite rates from August 1998 to April 1999.   On 22 July 1998, a multiple exchange rate system consisting of official exchange rates and floating interbank rates was introduced. The official exchange rate (buying/selling rate) was pegged to the US dollar at a rate of USD 1 = PKR 46.00 / 46.23. The floating interbank rates stood at USD 1 = PKR 47.225 / 48.39 on 23 July 1998, and USD 1 = PKR 52.75 / 53.25 on 31 July 1998.   From August 1998, a composite rate was published on the basis of the weighted average of both these rates; the ratio of the official exchange rate to the floating interbank rate was initially 50:50. From 21 December 1998, it was 20:80 and from 11 March 1999, it was 5:95. On 19 May 1999, the multiple exchange rate system was unified on the basis of the floating interbank rate.   Exchange rates used from 22 July 1998: Official exchange rate: for revenue from financial transactions (excluding foreign direct investment and portfolio investment) and from certain assistance and loan payments; for payments for the import of wheat, edible oils, petroleum products, leguminous vegetables, fertilisers, medicines and pesticides as well as for certain debt service payments. Composite rate: for all other foreign exchange transactions.  According to IMF reports, most foreign exchange transactions that were initially subject to the official exchange rate were carried out at the composite rate by the end of 1998.",
"","Source: Since 2005 National Bank of Pakistan, Karachi December 2001 - December 2004 Deutsche Bank, Private Banking Centre Karachi September 2000 - November 2001 Standard Chartered Grindlays Bank Ltd., Karachi 19 May 1999 - August 2000 ANZ Grindlays Bank, Karachi August 1998 - 14 May 1999 State Bank of Pakistan, Karachi 1990 - July 1998 Grindlays Bank, Karachi",
"","Comment on 1998-08: On 22 July 1998, a multiple exchange rate system was introduced. See commentary (additional series attributes).",
"",Comment on 1999-05: The multiple exchange rate system was unified on 19 May 1999. See commentary (additional series attributes).,
