"",BBDE1.M.DE.W.BAA1.A2P320000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P320000.G.C.I10.A_FLAGS
2005-06,100.7,
2005-07,97.6,
2005-08,80.8,
2005-09,105.0,
2005-10,103.1,
2005-11,106.0,
2005-12,99.1,
2006-01,85.8,
2006-02,93.7,
2006-03,105.6,
2006-04,97.6,
2006-05,98.1,
2006-06,105.0,
2006-07,103.3,
2006-08,89.0,
2006-09,110.9,
2006-10,107.4,
2006-11,114.8,
2006-12,106.2,
2007-01,94.1,
2007-02,101.8,
2007-03,115.9,
2007-04,104.5,
2007-05,105.9,
2007-06,114.7,
2007-07,111.3,
2007-08,95.7,
2007-09,119.9,
2007-10,118.8,
2007-11,123.0,
2007-12,114.2,
2008-01,102.7,
2008-02,110.1,
2008-03,122.8,
2008-04,113.9,
2008-05,109.4,
2008-06,119.4,
2008-07,111.6,
2008-08,99.3,
2008-09,120.4,
2008-10,114.1,
2008-11,114.6,
2008-12,103.0,
2009-01,78.5,
2009-02,80.4,
2009-03,94.7,
2009-04,81.0,
2009-05,86.3,
2009-06,92.8,
2009-07,86.0,
2009-08,75.7,
2009-09,99.7,
2009-10,93.3,
2009-11,97.4,
2009-12,90.6,
2010-01,78.7,
2010-02,85.7,
2010-03,102.2,
2010-04,93.5,
2010-05,96.6,
2010-06,103.5,
2010-07,97.3,
2010-08,87.2,
2010-09,109.8,
2010-10,110.8,
2010-11,114.8,
2010-12,111.6,
2011-01,93.1,
2011-02,103.8,
2011-03,119.4,
2011-04,108.1,
2011-05,109.8,
2011-06,114.8,
2011-07,115.1,
2011-08,101.6,
2011-09,119.9,
2011-10,119.5,
2011-11,124.1,
2011-12,113.0,
2012-01,98.8,
2012-02,108.7,
2012-03,125.8,
2012-04,110.1,
2012-05,111.8,
2012-06,117.4,
2012-07,115.7,
2012-08,101.9,
2012-09,120.8,
2012-10,114.7,
2012-11,120.8,
2012-12,113.4,
2013-01,94.6,
2013-02,107.1,
2013-03,123.3,
2013-04,112.9,
2013-05,108.3,
2013-06,120.2,
2013-07,111.7,
2013-08,104.2,
2013-09,122.7,
2013-10,116.9,
2013-11,128.1,
2013-12,117.9,
2014-01,101.4,
2014-02,111.5,
2014-03,127.3,
2014-04,113.6,
2014-05,113.2,
2014-06,120.7,
2014-07,120.6,
2014-08,99.6,
2014-09,124.7,
2014-10,120.4,Provisional value
2014-11,127.8,Provisional value
2014-12,117.1,Provisional value
