"",BBDP1.M.DE.N.EPL.L.L1A00000000.I10.A,BBDP1.M.DE.N.EPL.L.L1A00000000.I10.A_FLAGS
1982-06,119.5,
1982-07,118.9,
1982-08,119.2,
1982-09,119.2,
1982-10,118.6,
1982-11,119.5,
1982-12,120.3,
1983-01,117.4,
1983-02,116.8,
1983-03,116.7,
1983-04,114.7,
1983-05,114.0,
1983-06,115.1,
1983-07,113.9,
1983-08,115.3,
1983-09,117.4,
1983-10,117.5,
1983-11,117.9,
1983-12,118.2,
1984-01,115.9,
1984-02,119.5,
1984-03,121.1,
1984-04,118.9,
1984-05,116.3,
1984-06,118.9,
1984-07,116.3,
1984-08,114.0,
1984-09,114.9,
1984-10,113.9,
1984-11,113.3,
1984-12,113.0,
1985-01,111.9,
1985-02,111.3,
1985-03,111.6,
1985-04,110.7,
1985-05,110.5,
1985-06,110.8,
1985-07,110.4,
1985-08,109.4,
1985-09,109.2,
1985-10,107.5,
1985-11,109.1,
1985-12,109.7,
1986-01,107.6,
1986-02,107.4,
1986-03,106.6,
1986-04,104.4,
1986-05,103.6,
1986-06,105.1,
1986-07,104.2,
1986-08,103.5,
1986-09,104.2,
1986-10,102.6,
1986-11,102.1,
1986-12,101.0,
1987-01,99.6,
1987-02,100.9,
1987-03,102.3,
1987-04,102.2,
1987-05,100.7,
1987-06,100.9,
1987-07,99.0,
1987-08,100.0,
1987-09,100.4,
1987-10,100.6,
1987-11,101.7,
1987-12,102.8,
1988-01,101.4,
1988-02,100.7,
1988-03,101.0,
1988-04,99.3,
1988-05,98.4,
1988-06,99.8,
1988-07,99.9,
1988-08,99.5,
1988-09,102.0,
1988-10,103.2,
1988-11,104.7,
1988-12,106.1,
1989-01,105.3,
1989-02,106.6,
1989-03,107.7,
1989-04,107.3,
1989-05,107.7,
1989-06,110.5,
1989-07,111.6,
1989-08,113.8,
1989-09,115.5,
1989-10,112.7,
1989-11,111.1,
1989-12,110.5,
1990-01,105.9,
1990-02,106.4,
1990-03,107.2,
1990-04,107.7,
1990-05,108.3,
1990-06,108.4,
1990-07,107.6,
1990-08,103.5,
1990-09,102.3,
1990-10,99.5,
1990-11,100.0,
1990-12,100.8,
1991-01,100.5,
1991-02,103.6,
1991-03,103.6,
1991-04,103.3,
1991-05,105.1,
1991-06,104.8,
1991-07,103.9,
1991-08,103.0,
1991-09,104.8,
1991-10,104.4,
1991-11,106.3,
1991-12,107.3,
1992-01,107.9,
1992-02,108.2,
1992-03,108.2,
1992-04,107.6,
1992-05,108.2,
1992-06,107.2,
1992-07,103.7,
1992-08,101.2,
1992-09,100.6,
1992-10,98.7,
1992-11,98.5,
1992-12,96.3,
1993-01,96.1,
1993-02,96.6,
1993-03,98.4,
1993-04,96.7,
1993-05,95.8,
1993-06,96.4,
1993-07,95.0,
1993-08,92.3,
1993-09,91.3,
1993-10,89.8,
1993-11,92.6,
1993-12,94.4,
1994-01,92.8,
1994-02,94.0,
1994-03,94.7,
1994-04,94.3,
1994-05,95.8,
1994-06,95.3,
1994-07,93.4,
1994-08,94.5,
1994-09,95.1,
1994-10,94.6,
1994-11,94.7,
1994-12,95.1,
1995-01,96.5,
1995-02,98.4,
1995-03,98.5,
1995-04,98.0,
1995-05,97.2,
1995-06,96.5,
1995-07,91.6,
1995-08,91.7,
1995-09,93.3,
1995-10,92.4,
1995-11,93.2,
1995-12,94.3,
1996-01,93.4,
1996-02,94.1,
1996-03,95.3,
1996-04,95.1,
1996-05,96.7,
1996-06,95.8,
1996-07,96.1,
1996-08,95.0,
1996-09,93.8,
1996-10,91.8,
1996-11,90.6,
1996-12,91.5,
1997-01,91.6,
1997-02,92.1,
1997-03,93.0,
1997-04,95.5,
1997-05,97.3,
1997-06,95.2,
1997-07,93.7,
1997-08,94.5,
1997-09,96.5,
1997-10,94.6,
1997-11,95.5,
1997-12,95.5,
1998-01,96.9,
1998-02,95.1,
1998-03,94.2,
1998-04,93.1,
1998-05,91.3,
1998-06,91.0,
1998-07,90.4,
1998-08,89.8,
1998-09,89.6,
1998-10,87.4,
1998-11,86.9,
1998-12,89.9,
1999-01,87.0,
1999-02,87.3,
1999-03,87.6,
1999-04,86.5,
1999-05,86.8,
1999-06,87.7,
1999-07,85.9,
1999-08,86.0,
1999-09,85.6,
1999-10,84.7,
1999-11,85.9,
1999-12,86.3,
2000-01,85.5,
2000-02,87.3,
2000-03,88.8,
2000-04,88.4,
2000-05,88.9,
2000-06,90.7,
2000-07,90.6,
2000-08,90.5,
2000-09,90.9,
2000-10,92.0,
2000-11,93.1,
2000-12,92.6,
2001-01,91.0,
2001-02,93.4,
2001-03,97.2,
2001-04,97.8,
2001-05,98.2,
2001-06,95.5,
2001-07,95.5,
2001-08,96.9,
2001-09,97.0,
2001-10,95.6,
2001-11,95.0,
2001-12,94.4,
2002-01,93.4,
2002-02,94.4,
2002-03,94.8,
2002-04,91.2,
2002-05,90.1,
2002-06,88.8,
2002-07,88.9,
2002-08,88.3,
2002-09,89.2,
2002-10,88.4,
2002-11,89.0,
2002-12,88.3,
2003-01,88.8,
2003-02,90.3,
2003-03,88.7,
2003-04,89.0,
2003-05,87.6,
2003-06,90.5,
2003-07,87.6,
2003-08,89.8,
2003-09,93.7,
2003-10,92.2,
2003-11,93.7,
2003-12,92.2,
2004-01,92.6,
2004-02,94.1,
2004-03,94.1,
2004-04,93.4,
2004-05,93.1,
2004-06,95.8,
2004-07,93.9,
2004-08,89.1,
2004-09,88.6,
2004-10,87.1,
2004-11,88.1,
2004-12,88.2,
2005-01,87.3,
2005-02,88.0,
2005-03,88.6,
2005-04,87.4,
2005-05,87.4,
2005-06,87.2,
2005-07,86.0,
2005-08,87.8,
2005-09,87.3,
2005-10,87.3,
2005-11,88.6,
2005-12,89.4,
2006-01,88.8,
2006-02,90.1,
2006-03,91.7,
2006-04,93.1,
2006-05,93.7,
2006-06,94.1,
2006-07,93.7,
2006-08,97.2,
2006-09,95.8,
2006-10,94.7,
2006-11,96.7,
2006-12,96.8,
2007-01,96.2,
2007-02,97.7,
2007-03,98.0,
2007-04,97.3,
2007-05,97.7,
2007-06,98.8,
2007-07,103.9,
2007-08,108.8,
2007-09,113.8,
2007-10,116.3,
2007-11,117.1,
2007-12,117.5,
2008-01,117.8,
2008-02,118.4,
2008-03,119.3,
2008-04,114.7,
2008-05,113.4,
2008-06,113.6,
2008-07,114.0,
2008-08,111.7,
2008-09,107.8,
2008-10,103.5,
2008-11,99.2,
2008-12,96.0,
2009-01,93.4,
2009-02,93.7,
2009-03,91.7,
2009-04,90.2,
2009-05,89.4,
2009-06,89.5,
2009-07,88.4,
2009-08,87.8,
2009-09,86.0,
2009-10,86.2,
2009-11,89.0,
2009-12,89.9,
2010-01,90.5,
2010-02,91.6,
2010-03,93.3,
2010-04,92.7,
2010-05,94.5,
2010-06,95.9,
2010-07,97.1,
2010-08,103.0,
2010-09,104.2,
2010-10,104.8,
2010-11,107.4,
2010-12,111.4,
2011-01,112.4,
2011-02,115.9,
2011-03,116.0,
2011-04,117.6,
2011-05,118.3,
2011-06,117.1,
2011-07,114.9,
2011-08,113.7,
2011-09,113.9,
2011-10,112.7,
2011-11,114.0,
2011-12,112.6,
2012-01,111.9,
2012-02,114.4,
2012-03,117.0,
2012-04,117.4,
2012-05,115.3,
2012-06,113.7,
2012-07,114.8,
2012-08,118.2,
2012-09,121.8,
2012-10,123.1,
2012-11,125.6,
2012-12,124.8,
2013-01,124.2,
2013-02,124.6,
2013-03,124.2,
2013-04,124.8,
2013-05,124.5,
2013-06,122.2,
2013-07,119.4,
2013-08,119.2,
2013-09,120.8,
2013-10,121.3,
2013-11,122.3,
2013-12,122.4,
2014-01,119.5,Provisional value
2014-02,119.4,Provisional value
2014-03,120.4,Provisional value
2014-04,121.1,Provisional value
2014-05,118.8,Provisional value
2014-06,117.7,Provisional value
2014-07,113.9,Provisional value
2014-08,111.5,Provisional value
2014-09,108.6,Provisional value
2014-10,104.6,Provisional value
2014-11,104.3,Provisional value
2014-12,103.6,Provisional value
