"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N_FLAGS
2012-03,16712.239,
2012-04,16811.976,
2012-05,17179.423,
2012-06,16630.811,
2012-07,16507.797,
2012-08,15970.554,
2012-09,16460.835,
2012-10,16426.978,
2012-11,16202.073,
2012-12,16850.497,
2013-01,16222.968,
2013-02,15615.586,
2013-03,16079.611,
2013-04,16241.163,
2013-05,16630.407,
2013-06,15869.832,
2013-07,15643.588,
2013-08,15026.280,
2013-09,15456.758,
2013-10,15454.162,
2013-11,15624.176,
2013-12,16999.400,
2014-01,15040.850,
2014-02,14778.802,Provisional value
2014-03,15581.647,Provisional value
2014-04,16105.043,Provisional value
2014-05,16618.540,Provisional value
2014-06,15755.647,Provisional value
2014-07,15078.868,Provisional value
2014-08,14730.784,Provisional value
2014-09,15816.032,
2014-10,15393.093,
2014-11,15195.602,
2014-12,15512.438,Provisional value
