"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA._Z.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA._Z.F._Z._T._X.N_FLAGS
2004-12,-34445.804,
2005-01,59671.672,
2005-02,26050.508,
2005-03,14583.536,
2005-04,87025.570,
2005-05,-13171.072,
2005-06,-55683.299,
2005-07,535.726,
2005-08,-1451.642,
2005-09,16297.381,
2005-10,31104.256,
2005-11,19676.096,
2005-12,-64962.677,
2006-01,52012.835,
2006-02,14811.561,
2006-03,21107.384,
2006-04,16590.175,
2006-05,8694.184,
2006-06,-24332.223,
2006-07,-24472.828,
2006-08,17589.384,
2006-09,27340.695,
2006-10,2710.924,
2006-11,26905.099,
2006-12,-15073.451,
2007-01,39206.898,
2007-02,33240.687,
2007-03,19114.791,
2007-04,56764.864,
2007-05,29406.760,
2007-06,-16119.345,
2007-07,4316.999,
2007-08,36136.990,
2007-09,51705.345,
2007-10,28776.968,
2007-11,19832.135,
2007-12,-47828.031,
2008-01,79377.526,
2008-02,23378.009,
2008-03,22177.499,
2008-04,42924.009,
2008-05,-18962.037,
2008-06,-53289.659,
2008-07,-2126.308,
2008-08,-4190.045,
2008-09,31656.725,
2008-10,-82699.056,
2008-11,-48807.964,
2008-12,-67908.957,
2009-01,25727.638,
2009-02,-47116.261,
2009-03,-24855.578,
2009-04,25570.877,
2009-05,-41908.708,
2009-06,-8214.140,
2009-07,-17858.097,
2009-08,-15170.757,
2009-09,-32158.596,
2009-10,-8573.256,
2009-11,-14259.099,
2009-12,-30073.037,
2010-01,41919.526,
2010-02,-12697.717,
2010-03,21229.000,
2010-04,81997.834,
2010-05,41397.459,
2010-06,-67142.475,
2010-07,7196.034,
2010-08,25195.072,
2010-09,-34516.467,
2010-10,328.500,
2010-11,5449.515,
2010-12,-66740.722,
2011-01,19196.209,
2011-02,5260.988,
2011-03,-71349.449,
2011-04,52970.407,
2011-05,-25102.523,
2011-06,-62629.909,
2011-07,-3737.905,
2011-08,58632.714,
2011-09,35131.748,
2011-10,13490.193,
2011-11,2383.444,
2011-12,-136824.894,
2012-01,145894.992,
2012-02,27944.837,
2012-03,58983.701,
2012-04,20966.254,
2012-05,-36628.766,
2012-06,-46024.894,
2012-07,6900.270,
2012-08,15527.252,
2012-09,-42452.117,
2012-10,-5524.792,
2012-11,-30818.283,
2012-12,-101745.627,
2013-01,27805.832,
2013-02,2724.526,
2013-03,-33468.869,
2013-04,24042.445,
2013-05,-33868.649,
2013-06,-15199.734,
2013-07,-11718.042,
2013-08,-26804.667,
2013-09,-27349.209,
2013-10,-3487.850,
2013-11,298.998,
2013-12,-91805.833,
2014-01,62100.462,
2014-02,-23236.555,Provisional value
2014-03,-12036.930,Provisional value
2014-04,4544.795,Provisional value
2014-05,8369.003,Provisional value
2014-06,-5722.806,Provisional value
2014-07,42125.449,Provisional value
2014-08,-2421.358,Provisional value
2014-09,-2316.457,
2014-10,-5895.525,
2014-11,28371.850,
2014-12,-72068.914,Provisional value
