"",BBEX3.M.LTL.USD.CA.AC.A01,BBEX3.M.LTL.USD.CA.AC.A01_FLAGS
2009-11,2.3229,
2009-12,2.4052,
2010-01,2.4562,
2010-02,2.5613,
2010-03,2.5535,
2010-04,2.6112,
2010-05,2.7960,
2010-06,2.8208,
2010-07,2.6500,
2010-08,2.7130,
2010-09,2.5361,
2010-10,2.4950,
2010-11,2.5962,
2010-12,2.6099,
2011-01,2.5195,
2011-02,2.4990,
2011-03,2.4551,
2011-04,2.3266,
2011-05,2.4177,
2011-06,2.4013,
2011-07,2.4052,
2011-08,2.3819,
2011-09,2.5383,
2011-10,2.4643,
2011-11,2.5876,
2011-12,2.6694,
2012-01,2.6248,
2012-02,2.5678,
2012-03,2.5896,
2012-04,2.6213,
2012-05,2.7683,
2012-06,2.7624,
2012-07,2.8123,
2012-08,2.7518,
2012-09,2.6790,
2012-10,2.6688,
2012-11,2.6633,
2012-12,2.6060,
2013-01,2.5554,
2013-02,2.6374,
2013-03,2.6984,
2013-04,2.6433,
2013-05,2.6635,
2013-06,2.6496,
2013-07,2.6039,
2013-08,2.6007,
2013-09,2.5588,
2013-10,2.5128,
2013-11,2.5411,
2013-12,2.5098,
2014-01,2.5362,
2014-02,2.5281,
2014-03,2.5139,
2014-04,2.4906,
2014-05,2.5397,
2014-06,2.5327,
2014-07,2.5754,
2014-08,2.6148,
2014-09,2.7208,
2014-10,2.7466,
2014-11,2.7616,
2014-12,2.8387,
"","General: The litas (LTL) was legal tender in Lithuania from 25 June 1993 to 31 December 2014. The temporary currency, the talonas (TAL), was converted to the litas at a rate of TAL 100 = LTL 1. From 1 April 1994 to 1 February 2002, the litas was pegged to the US dollar and from 2 February 2002 to 31 December 2014, it was pegged to the euro (EUR 1 = LTL 3.4528). Lithuania joined the euro area on 1 January 2015; irrevocable euro conversion rate: EUR 1 = LTL 3.45280.",
"","Source: The Bank of Lithuania, Vilnius.",
"","Comment on 1994-04: Since 1 April 1994, the litas has been pegged to the US dollar at a rate of USD 1 = LTL 4.00.",
"","Comment on 2002-02: On 2 February 2002, the litas ceased to be pegged to the US dollar and was pegged to the euro instead at a rate of EUR 1 = LTL 3.4528.",
