"",BBFN1.M.DE.N.1.A.TW.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TW.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2006-02,0.146,
2006-03,0.101,
2006-04,0.115,
2006-05,0.123,
2006-06,0.132,
2006-07,0.161,
2006-08,0.211,
2006-09,0.189,
2006-10,0.162,
2006-11,0.178,
2006-12,0.199,
2007-01,0.178,
2007-02,0.173,
2007-03,0.155,
2007-04,0.177,
2007-05,0.219,
2007-06,0.237,
2007-07,0.232,
2007-08,0.235,
2007-09,0.210,
2007-10,0.209,
2007-11,0.219,
2007-12,0.198,
2008-01,0.168,
2008-02,0.181,
2008-03,0.173,
2008-04,0.225,
2008-05,0.233,
2008-06,0.215,
2008-07,0.206,
2008-08,0.201,
2008-09,0.213,
2008-10,0.196,
2008-11,0.166,
2008-12,0.166,
2009-01,0.187,
2009-02,0.113,
2009-03,0.113,
2009-04,0.119,
2009-05,0.129,
2009-06,0.141,
2009-07,0.153,
2009-08,0.163,
2009-09,0.174,
2009-10,0.201,
2009-11,0.189,
2009-12,0.168,
2010-01,0.195,
2010-02,0.214,
2010-03,0.191,
2010-04,0.212,
2010-05,0.238,
2010-06,0.225,
2010-07,0.202,
2010-08,0.182,
2010-09,0.180,
2010-10,0.159,
2010-11,0.175,
2010-12,0.181,
2011-01,0.168,
2011-02,0.226,
2011-03,0.176,
2011-04,0.168,
2011-05,0.189,
2011-06,0.171,
2011-07,0.153,
2011-08,0.145,
2011-09,0.145,
2011-10,0.134,
2011-11,0.149,
2011-12,0.141,
2012-01,0.128,
2012-02,0.133,
2012-03,0.126,
2012-04,0.136,
2012-05,0.141,
2012-06,0.150,
2012-07,0.160,
2012-08,0.157,
2012-09,0.135,
2012-10,0.168,
2012-11,0.126,
2012-12,0.130,
2013-01,0.149,
2013-02,0.154,
2013-03,0.155,
2013-04,0.171,
2013-05,0.175,
2013-06,0.170,
2013-07,0.183,
2013-08,0.161,
2013-09,0.170,
2013-10,0.168,
2013-11,0.170,
2013-12,0.138,
2014-01,0.101,
2014-02,0.133,
2014-03,0.122,
2014-04,0.115,
2014-05,0.153,
2014-06,0.163,
2014-07,0.162,
2014-08,0.174,
2014-09,0.205,
2014-10,0.206,
2014-11,0.195,
2014-12,0.220,
