"",BBEX3.M.RWF.USD.CA.AB.A01,BBEX3.M.RWF.USD.CA.AB.A01_FLAGS
2000-09,415.832600,
2000-10,420.940400,
2000-11,430.553800,
2000-12,432.638400,
2001-01,435.235000,
2001-02,436.078700,
2001-03,436.152100,
2001-04,440.777100,
2001-05,441.265500,
2001-06,444.300500,
2001-07,444.490400,
2001-08,445.043900,
2001-09,451.709500,
2001-10,456.431800,
2001-11,459.781300,
2001-12,460.193900,
2002-01,461.907100,
2002-02,464.000800,
2002-03,463.349200,
2002-04,465.984000,
2002-05,469.522400,
2002-06,472.190700,
2002-07,476.366200,
2002-08,487.042200,
2002-09,489.862700,
2002-10,493.819400,
2002-11,505.320400,
2002-12,514.413100,
2003-01,515.214200,
2003-02,515.228200,
2003-03,518.651600,
2003-04,525.167600,
2003-05,531.295000,
2003-06,538.932100,
2003-07,545.476700,
2003-08,555.003400,
2003-09,559.298000,
2003-10,564.572700,
2003-11,571.331847,
2003-12,583.181300,
2004-01,585.485865,
2004-02,584.699955,
2004-03,585.846359,
2004-04,583.928216,
2004-05,581.599128,
2004-06,582.350165,
2004-07,581.378430,
2004-08,579.868317,
2004-09,576.090623,
2004-10,573.111099,
2004-11,571.206624,
2004-12,569.694300,
2005-01,567.444206,
2005-02,566.219412,
2005-03,563.538173,
2005-04,562.282425,
2005-05,560.790000,
2005-06,559.329735,
2005-07,556.264586,
2005-08,558.299912,
2005-09,557.065269,
2005-10,556.615532,
2005-11,556.390010,
2005-12,556.487294,
2006-01,557.833190,
2006-02,556.784070,
2006-03,555.507620,
2006-04,555.192050,
2006-05,554.453475,
2006-06,554.768844,
2006-07,555.257877,
2006-08,554.279711,
2006-09,552.601797,
2006-10,553.456666,
2006-11,553.428023,
2006-12,551.395612,
2007-01,552.145753,
2007-02,551.027130,
2007-03,549.751466,
2007-04,549.377807,
2007-05,548.406615,
2007-06,551.154108,
2007-07,552.357144,
2007-08,551.143235,
2007-09,550.041995,
2007-10,549.135137,
2007-11,548.558833,
2007-12,547.485600,
2008-01,546.181832,
2008-02,547.490986,
2008-03,547.365236,
2008-04,546.862236,
2008-05,546.107736,
2008-06,546.862236,
2008-07,548.942908,
2008-08,552.100000,
2008-09,554.180000,
2008-10,555.500000,
2008-11,556.860000,
2008-12,562.250000,
2009-01,569.430000,
2009-02,570.780000,
2009-03,572.540000,
2009-04,571.480000,
2009-05,570.510000,
2009-06,572.070000,
2009-07,572.490000,
2009-08,571.510000,
2009-09,572.080000,
2009-10,572.720000,
2009-11,573.930000,
2009-12,574.660000,
2010-01,576.420000,
2010-02,575.820000,
2010-03,577.010000,
2010-04,579.840000,
2010-05,584.250000,
2010-06,592.110000,
2010-07,592.370000,
2010-08,590.710000,
2010-09,593.490000,
2010-10,594.086797,
2010-11,596.577213,
2010-12,598.016700,
2011-01,604.171938,
2011-02,603.288000,
2011-03,605.331317,
2011-04,606.555230,
2011-05,603.094975,
2011-06,607.236431,
2011-07,604.043597,
2011-08,604.673285,
2011-09,604.784510,
2011-10,606.692009,
2011-11,607.467917,
2011-12,608.974112,
2012-01,609.530948,
2012-02,610.599133,
2012-03,611.687058,
2012-04,612.990000,
2012-05,614.180430,
2012-06,617.324787,
2012-07,618.019750,
2012-08,619.404386,
2012-09,627.713226,
2012-10,632.191397,
2012-11,634.770545,
2012-12,636.457884,
2013-01,637.299709,
2013-02,639.233833,
2013-03,640.837527,
2013-04,644.150064,
2013-05,646.135637,
2013-06,647.811351,
2013-07,654.066917,
2013-08,655.997667,
2013-09,663.660049,
2013-10,667.956324,
2013-11,672.942879,
2013-12,676.443054,
2014-01,680.616900,
2014-02,681.773633,
2014-03,684.300686,
2014-04,685.885354,
2014-05,687.988962,
2014-06,689.024193,
2014-07,690.749599,
2014-08,691.200560,
2014-09,693.715500,
2014-10,696.276375,
2014-11,698.226729,
2014-12,701.248490,
2015-01,707.228844,
"","Source: Banque Nationale du Rwanda, Kigali",
"","Comment on 1990-11: On 12 November 1990, the Rwanda franc was devalued. We recorded the following exchange rates (buying/selling).  9 November 1990: USD 1 = RWF 70.6043 / 72.0307  12 November 1990: USD 1 = RWF 117.5109 / 119.8849 Calculated devaluation: 39.9%.",
"","Comment on 1992-06: On 10 June 1992, the Rwanda franc was devalued. We recorded the following exchange rates (buying/selling).  9 June 1992: USD 1 = RWF 120.7553 / 123.1949  10 June 1992: USD 1 = RWF 141.7068 / 144.5696 Calculated devaluation: 14.8%.",
"","Comment on 1995-03: On 6 March 1995, the Rwanda franc was devalued. We recorded the following exchange rates (buying/selling).  3 March 1995: USD 1 = RWF 133.2411 / 135.9329  6 March 1995: USD 1 = RWF 230,2600 / 233,7400  Calculated devaluation: 42.0%.",
