"",BBEX3.M.DZD.USD.CA.AA.A01,BBEX3.M.DZD.USD.CA.AA.A01_FLAGS
1985-12,4.7653,
1986-01,4.7300,
1986-02,4.6179,
1986-03,4.6820,
1986-04,4.6168,
1986-05,4.7052,
1986-06,4.6257,
1986-07,4.5700,
1986-08,4.5487,
1986-09,4.6641,
1986-10,4.8437,
1986-11,4.7691,
1986-12,4.8160,
1987-01,4.6311,
1987-02,4.6544,
1987-03,4.6601,
1987-04,4.6787,
1987-05,4.7811,
1987-06,4.8433,
1987-07,4.9687,
1987-08,5.0002,
1987-09,5.0742,
1987-10,4.9934,
1987-11,4.8657,
1987-12,4.9288,
1988-01,5.1676,
1988-02,5.2826,
1988-03,5.2896,
1988-04,5.4215,
1988-05,5.6197,
1988-06,5.9579,
1988-07,6.2292,
1988-08,6.4376,
1988-09,6.5934,
1988-10,6.4534,
1988-11,6.5324,
1988-12,6.7233,
1989-01,6.9037,
1989-02,6.8378,
1989-03,7.0588,
1989-04,7.1917,
1989-05,7.6193,
1989-06,7.7045,
1989-07,7.6785,
1989-08,8.1230,
1989-09,8.0864,
1989-10,8.1380,
1989-11,8.1769,
1989-12,8.0249,
1990-01,7.9643,
1990-02,7.9701,
1990-03,7.9599,
1990-04,8.0292,
1990-05,8.4321,
1990-06,8.7239,
1990-07,8.8391,
1990-08,9.1126,
1990-09,9.4840,
1990-10,9.6835,
1990-11,10.9376,
1990-12,12.1833,
1991-01,15.6316,
1991-02,16.5874,
1991-03,17.7578,
1991-04,17.4911,
1991-05,17.8095,
1991-06,18.3770,
1991-07,17.9906,
1991-08,17.9146,
1991-09,21.4314,comment
1991-10,22.6200,
1991-11,22.3121,
1991-12,21.3844,
1992-01,22.1332,
1992-02,22.3225,
1992-03,22.3745,
1992-04,22.3766,
1992-05,22.1519,
1992-06,21.3220,
1992-07,21.0703,
1992-08,20.5004,
1992-09,21.0516,
1992-10,21.8836,
1992-11,22.5721,
1992-12,22.7718,
1993-01,22.4972,
1993-02,23.0526,
1993-03,23.1129,
1993-04,22.5160,
1993-05,22.8675,
1993-06,23.5643,
1993-07,23.8306,
1993-08,23.7141,
1993-09,23.3022,
1993-10,23.8222,
1993-11,24.1072,
1993-12,24.1155,
1994-01,24.0323,
1994-02,23.9262,
1994-03,25.9371,
1994-04,35.9875,comment
1994-05,36.9777,
1994-06,38.2697,
1994-07,38.2420,
1994-08,38.5591,
1994-09,40.8953,
1994-10,40.9550,
1994-11,42.4931,
1994-12,43.0725,
1995-01,42.5925,
1995-02,43.7240,
1995-03,43.5625,
1995-04,44.7765,
1995-05,45.9145,
1995-06,49.2025,
1995-07,49.6785,
1995-08,51.0725,
1995-09,50.2570,
1995-10,51.0025,
1995-11,51.4575,
1995-12,52.1675,
1996-01,53.8175,
1996-02,53.3821,
1996-03,53.4827,
1996-04,54.1215,
1996-05,55.0768,
1996-06,55.2155,
1996-07,54.9454,
1996-08,55.1949,
1996-09,55.8301,
1996-10,55.4298,
1996-11,55.8977,
1996-12,55.9289,
1997-01,57.1977,
1997-02,57.2349,
1997-03,56.5426,
1997-04,57.6588,
1997-05,56.8963,
1997-06,57.6090,
1997-07,59.2936,
1997-08,58.5759,
1997-09,58.0326,
1997-10,57.0558,
1997-11,57.8383,
1997-12,58.5161,
1998-01,59.1590,
1998-02,58.8600,
1998-03,59.5228,
1998-04,58.5360,
1998-05,58.3516,
1998-06,58.7453,
1998-07,58.7662,
1998-08,59.2428,
1998-09,57.6212,
1998-10,58.0749,
1998-11,59.6548,
1998-12,60.3190,
1999-01,62.1237,
1999-02,64.4662,
1999-03,66.1819,
1999-04,67.1496,
1999-05,67.8012,
1999-06,68.3574,
1999-07,66.7451,
1999-08,67.4979,
1999-09,67.0990,
1999-10,67.4361,
1999-11,69.2675,
1999-12,69.3573,
2000-01,70.6822,
2000-02,72.0732,
2000-03,73.5012,
2000-04,75.9950,
2000-05,75.0749,
2000-06,73.8133,
2000-07,75.4684,
2000-08,77.1003,
2000-09,77.9278,
2000-10,80.3178,
2000-11,79.1141,
2000-12,75.4799,
2001-01,75.3989,
2001-02,75.8503,
2001-03,78.1477,
2001-04,77.5864,
2001-05,80.0285,
2001-06,80.1674,
2001-07,78.4255,
2001-08,76.1397,
2001-09,76.3364,
2001-10,76.7183,
2001-11,77.8179,
2001-12,77.6616,
2002-01,79.1257,
2002-02,79.5887,
2002-03,80.2128,
2002-04,80.1437,
2002-05,80.0011,
2002-06,79.8948,
2002-07,79.9246,
2002-08,79.9186,
2002-09,79.9067,
2002-10,79.8894,
2002-11,79.8774,
2002-12,79.7105,
2003-01,79.6032,
2003-02,79.6509,
2003-03,79.6503,
2003-04,79.5674,
2003-05,79.3701,
2003-06,78.3278,
2003-07,77.7328,
2003-08,77.8488,
2003-09,76.9883,
2003-10,75.7657,
2003-11,69.4396,
2003-12,72.5346,
2004-01,71.5770,
2004-02,71.4485,
2004-03,71.4531,
2004-04,71.5403,
2004-05,71.4380,
2004-06,71.4638,
2004-07,72.6140,
2004-08,72.5976,
2004-09,72.5761,
2004-10,73.0209,
2004-11,73.0219,
2004-12,72.6007,
2005-01,72.8032,
2005-02,72.3039,
2005-03,72.9107,
2005-04,72.8587,
2005-05,74.2526,
2005-06,73.9064,
2005-07,74.1719,
2005-08,73.8695,
2005-09,73.6057,
2005-10,73.2297,
2005-11,74.4022,
2005-12,73.4366,
2006-01,72.7746,
2006-02,74.0308,
2006-03,74.0192,
2006-04,72.3932,
2006-05,72.9052,
2006-06,73.2932,
2006-07,73.1719,
2006-08,72.4584,
2006-09,72.1107,
2006-10,72.0596,
2006-11,71.0826,
2006-12,71.1745,
2007-01,71.6443,
2007-02,71.1235,
2007-03,70.8750,
2007-04,70.3508,
2007-05,70.5857,
2007-06,69.9841,
2007-07,68.6760,
2007-08,68.5488,
2007-09,67.6470,
2007-10,67.1816,
2007-11,66.7027,
2007-12,66.9222,
2008-01,66.5663,
2008-02,66.1006,
2008-03,65.2456,
2008-04,63.9085,
2008-05,62.8328,
2008-06,61.9501,
2008-07,61.2466,
2008-08,60.9371,
2008-09,60.8637,
2008-10,66.9816,
2008-11,70.5707,
2008-12,71.2132,
2009-01,71.9393,
2009-02,72.5649,
2009-03,73.1004,
2009-04,72.9281,
2009-05,72.3069,
2009-06,73.2467,
2009-07,72.9604,
2009-08,72.9461,
2009-09,72.5718,
2009-10,72.3459,
2009-11,72.2650,
2009-12,72.7699,
2010-01,73.5038,
2010-02,73.4122,
2010-03,73.5597,
2010-04,73.5768,
2010-05,75.3570,
2010-06,75.3668,
2010-07,74.9423,
2010-08,75.8620,
2010-09,74.6658,
2010-10,74.1165,
2010-11,74.7018,
2010-12,73.9290,
2011-01,72.6108,
2011-02,72.4796,
2011-03,72.1092,
2011-04,71.3040,
2011-05,71.9716,
2011-06,71.6879,
2011-07,72.1736,
2011-08,71.9605,
2011-09,74.0294,
2011-10,73.0518,
2011-11,73.9687,
2011-12,76.0127,
2012-01,75.3549,
2012-02,74.4274,
2012-03,74.0736,
2012-04,74.2564,
2012-05,76.8789,
2012-06,78.7147,
2012-07,81.8228,
2012-08,79.9081,
2012-09,79.3403,
2012-10,79.1258,
2012-11,78.5639,
2012-12,78.0726,
2013-01,77.4384,
2013-02,78.3487,
2013-03,79.0315,
2013-04,78.3114,
2013-05,79.0219,
2013-06,80.0157,
2013-07,79.5926,
2013-08,81.1593,
2013-09,81.3153,
2013-10,81.1780,
2013-11,79.7137,
2013-12,78.1374,
2014-01,78.0238,
2014-02,77.4861,
2014-03,78.4589,
2014-04,78.4813,
2014-05,79.1438,
2014-06,79.2365,
2014-07,79.8323,
2014-08,80.2830,
2014-09,83.2346,
2014-10,83.8104,
2014-11,86.0239,
2014-12,87.9375,
2015-01,92.8313,
"","Source: Banque d'Algerie (formerly: Banque Centrale d'Algerie), Algiers.",
"","Comment on 1991-09: 27 September 1991: USD 1 = DZD 17,6285 / 17,6435 (buying/selling). Calculated devaluation: 17,7%.",
"","Comment on 1994-04: On 10 April 1994, the Algerian dinar was devalued. We recorded the following exchange rates (buying/selling rate). 8 April 1994: USD 1 = DZD 25.6762 / 25.691211 April 1994: USD 1 = DZD 35.9110 / 35.9260. Calculated devaluation: 28.5% .",
