"",BBFN1.M.DE.N.1.L.AT.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1987-04,0.298,
1987-05,0.284,
1987-06,0.291,
1987-07,0.286,
1987-08,0.323,
1987-09,0.273,
1987-10,0.283,
1987-11,0.274,
1987-12,0.271,
1988-01,0.295,
1988-02,0.314,
1988-03,0.307,
1988-04,0.295,
1988-05,0.303,
1988-06,0.355,
1988-07,0.343,
1988-08,0.344,
1988-09,0.336,
1988-10,0.335,
1988-11,0.333,
1988-12,0.265,
1989-01,0.263,
1989-02,0.240,
1989-03,0.231,
1989-04,0.217,
1989-05,0.214,
1989-06,0.223,
1989-07,0.241,
1989-08,0.285,
1989-09,0.486,
1989-10,0.477,
1989-11,0.411,
1989-12,0.278,
1990-01,0.273,
1990-02,0.222,
1990-03,0.251,
1990-04,0.293,
1990-05,0.354,
1990-06,0.328,
1990-07,0.465,
1990-08,0.457,
1990-09,0.569,
1990-10,0.583,
1990-11,0.596,
1990-12,0.626,
1991-01,0.723,
1991-02,0.733,
1991-03,0.737,
1991-04,0.730,
1991-05,0.729,
1991-06,0.750,
1991-07,0.742,
1991-08,0.752,
1991-09,0.747,
1991-10,0.755,
1991-11,0.756,
1991-12,0.649,
1992-01,0.729,
1992-02,0.681,
1992-03,0.668,
1992-04,0.692,
1992-05,0.714,
1992-06,0.682,
1992-07,0.673,
1992-08,0.659,
1992-09,0.446,
1992-10,0.417,
1992-11,0.405,
1992-12,0.363,
1993-01,0.568,
1993-02,0.607,
1993-03,0.597,
1993-04,0.538,
1993-05,0.593,
1993-06,0.568,
1993-07,0.569,
1993-08,0.572,
1993-09,0.591,
1993-10,0.738,
1993-11,0.615,
1993-12,0.584,
1994-01,0.580,
1994-02,0.614,
1994-03,0.607,
1994-04,0.580,
1994-05,0.365,
1994-06,0.342,
1994-07,0.344,
1994-08,0.340,
1994-09,0.316,
1994-10,0.320,
1994-11,0.315,
1994-12,0.454,
1995-01,0.476,
1995-02,0.480,
1995-03,0.499,
1995-04,0.498,
1995-05,0.517,
1995-06,0.566,
1995-07,0.577,
1995-08,0.509,
1995-09,0.536,
1995-10,0.523,
1995-11,0.534,
1995-12,0.577,
1996-01,0.530,
1996-02,0.510,
1996-03,0.509,
1996-04,0.509,
1996-05,0.505,
1996-06,0.481,
1996-07,0.463,
1996-08,0.480,
1996-09,0.487,
1996-10,0.585,
1996-11,0.548,
1996-12,0.599,
1997-01,0.474,
1997-02,0.515,
1997-03,0.518,
1997-04,0.503,
1997-05,0.517,
1997-06,0.549,
1997-07,0.581,
1997-08,0.619,
1997-09,0.648,
1997-10,0.674,
1997-11,0.642,
1997-12,0.754,
1998-01,0.624,
1998-02,0.622,
1998-03,0.707,
1998-04,0.620,
1998-05,0.618,
1998-06,0.654,
1998-07,0.624,
1998-08,0.568,
1998-09,0.616,
1998-10,0.748,
1998-11,0.811,
1998-12,0.917,
1999-01,0.939,
1999-02,1.028,
1999-03,1.039,
1999-04,0.712,
1999-05,0.864,
1999-06,0.703,
1999-07,0.694,
1999-08,0.657,
1999-09,0.708,
1999-10,0.789,
1999-11,1.052,
1999-12,0.977,
2000-01,1.094,
2000-02,1.053,
2000-03,1.044,
2000-04,1.164,
2000-05,1.117,
2000-06,1.048,
2000-07,1.078,
2000-08,1.061,
2000-09,0.961,
2000-10,0.930,
2000-11,1.091,
2000-12,1.164,
2001-01,1.144,
2001-02,1.125,
2001-03,1.225,
2001-04,1.146,
2001-05,1.193,
2001-06,1.246,
2001-07,1.207,
2001-08,1.215,
2001-09,1.276,
2001-10,1.246,
2001-11,1.051,
2001-12,1.046,
2002-01,0.978,
2002-02,1.233,
2002-03,1.064,
2002-04,0.937,
2002-05,0.899,
2002-06,0.825,
2002-07,0.791,
2002-08,0.820,
2002-09,0.864,
2002-10,0.846,
2002-11,0.863,
2002-12,0.959,
2003-01,0.809,
2003-02,0.835,
2003-03,0.871,
2003-04,0.811,
2003-05,0.877,
2003-06,0.885,
2003-07,0.878,
2003-08,0.895,
2003-09,0.952,
2003-10,0.818,
2003-11,0.754,
2003-12,0.817,
2004-01,0.878,
2004-02,1.035,
2004-03,0.920,
2004-04,0.915,
2004-05,0.994,
2004-06,1.052,
2004-07,0.905,
2004-08,0.805,
2004-09,0.786,
2004-10,0.668,
2004-11,0.694,
2004-12,0.617,
2005-01,0.555,
2005-02,0.627,
2005-03,0.702,
2005-04,0.662,
2005-05,0.669,
2005-06,0.550,
2005-07,0.641,
2005-08,0.637,
2005-09,0.735,
2005-10,0.736,
2005-11,0.738,
2005-12,0.619,
2006-01,0.582,
2006-02,0.590,
2006-03,0.637,
2006-04,0.653,
2006-05,0.653,
2006-06,0.610,
2006-07,0.653,
2006-08,0.588,
2006-09,0.672,
2006-10,0.660,
2006-11,0.699,
2006-12,0.737,
2007-01,0.682,
2007-02,0.722,
2007-03,0.590,
2007-04,0.746,
2007-05,0.683,
2007-06,0.626,
2007-07,1.158,
2007-08,1.164,
2007-09,1.292,
2007-10,1.250,
2007-11,1.257,
2007-12,1.214,
2008-01,1.047,
2008-02,1.431,
2008-03,1.495,
2008-04,1.264,
2008-05,1.419,
2008-06,1.318,
2008-07,1.340,
2008-08,1.006,
2008-09,1.014,
2008-10,0.775,
2008-11,0.794,
2008-12,0.907,
2009-01,0.982,
2009-02,0.982,
2009-03,0.981,
2009-04,1.034,
2009-05,1.070,
2009-06,3.288,
2009-07,0.908,
2009-08,2.016,
2009-09,0.962,
2009-10,0.922,
2009-11,0.825,
2009-12,0.672,
2010-01,0.729,
2010-02,0.728,
2010-03,0.653,
2010-04,1.051,
2010-05,0.704,
2010-06,0.696,
2010-07,1.799,
2010-08,1.734,
2010-09,1.771,
2010-10,1.743,
2010-11,1.702,
2010-12,0.549,
2011-01,1.767,
2011-02,1.697,
2011-03,2.401,
2011-04,1.394,
2011-05,1.313,
2011-06,1.261,
2011-07,0.938,
2011-08,0.995,
2011-09,1.263,
2011-10,1.331,
2011-11,0.876,
2011-12,1.051,
2012-01,3.111,
2012-02,2.416,
2012-03,3.170,
2012-04,2.418,
2012-05,2.623,
2012-06,1.687,
2012-07,2.768,
2012-08,2.126,
2012-09,1.937,
2012-10,1.483,
2012-11,1.159,
2012-12,1.925,
2013-01,4.167,
2013-02,3.242,
2013-03,1.905,
2013-04,4.405,
2013-05,3.073,
2013-06,2.321,
2013-07,2.847,
2013-08,1.954,
2013-09,1.859,
2013-10,1.979,
2013-11,2.282,
2013-12,1.613,
2014-01,3.821,
2014-02,3.079,
2014-03,1.669,
2014-04,6.899,
2014-05,4.234,
2014-06,3.387,
2014-07,5.209,
2014-08,5.988,
2014-09,6.613,
2014-10,7.562,
2014-11,7.029,
2014-12,4.331,
