"",BBFB1.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
2003-05,-3913.406,
2003-06,-3706.228,
2003-07,-5576.282,
2003-08,-7030.477,
2003-09,-5642.836,
2003-10,-4547.035,
2003-11,-2057.433,
2003-12,-1268.769,
2004-01,-3612.293,
2004-02,-2876.871,
2004-03,-2554.073,
2004-04,-3108.118,
2004-05,-3110.848,
2004-06,-3487.771,
2004-07,-4170.735,
2004-08,-6156.941,
2004-09,-3998.776,
2004-10,-3244.009,
2004-11,-2082.733,
2004-12,-344.780,
2005-01,-2521.635,
2005-02,-2463.187,
2005-03,-3159.052,
2005-04,-2637.351,
2005-05,-3557.123,
2005-06,-3467.731,
2005-07,-4711.947,
2005-08,-6500.560,
2005-09,-4647.046,
2005-10,-4110.112,
2005-11,-1874.313,
2005-12,-1009.828,
2006-01,-3652.513,
2006-02,-2209.527,
2006-03,-3083.591,
2006-04,-2200.497,
2006-05,-2767.210,
2006-06,-1882.412,
2006-07,-4222.449,
2006-08,-5044.138,
2006-09,-4529.448,
2006-10,-3016.543,
2006-11,-1473.780,
2006-12,-677.012,
2007-01,-3263.624,
2007-02,-2629.795,
2007-03,-2493.058,
2007-04,-2342.093,
2007-05,-2763.931,
2007-06,-2749.392,
2007-07,-4872.067,
2007-08,-6352.355,
2007-09,-3972.375,
2007-10,-3878.759,
2007-11,-2246.100,
2007-12,605.410,
2008-01,-2517.187,
2008-02,-1765.747,
2008-03,-2695.677,
2008-04,-2235.056,
2008-05,-3072.294,
2008-06,-2917.380,
2008-07,-4676.860,
2008-08,-5274.780,
2008-09,-4241.273,
2008-10,-3098.196,
2008-11,-735.057,
2008-12,1203.225,
2009-01,-2308.165,
2009-02,-706.579,
2009-03,-574.075,
2009-04,-657.051,
2009-05,-1299.479,
2009-06,-3089.604,
2009-07,-4462.526,
2009-08,-3852.252,
2009-09,-2843.759,
2009-10,-3128.145,
2009-11,-430.302,
2009-12,1921.739,
2010-01,-1512.200,
2010-02,-1602.457,
2010-03,-1589.205,
2010-04,-1202.411,
2010-05,-2276.699,
2010-06,-3971.092,
2010-07,-4422.785,
2010-08,-5053.652,
2010-09,-3192.243,
2010-10,-2994.461,
2010-11,-1409.992,
2010-12,335.476,
2011-01,-2278.511,
2011-02,-2361.132,
2011-03,-1680.741,
2011-04,-2069.424,
2011-05,-2331.710,
2011-06,-4376.450,
2011-07,-5089.054,
2011-08,-6251.020,
2011-09,-3434.591,
2011-10,-3197.214,
2011-11,-1979.705,
2011-12,1388.947,
2012-01,-3295.906,
2012-02,-2303.689,
2012-03,-2314.406,
2012-04,-1457.836,
2012-05,-3592.470,
2012-06,-3253.163,
2012-07,-4906.302,
2012-08,-6509.026,
2012-09,-3941.621,
2012-10,-4358.372,
2012-11,-2211.426,
2012-12,1294.721,
2013-01,-4057.671,
2013-02,-3732.275,
2013-03,-3465.602,
2013-04,-2752.459,
2013-05,-4510.641,
2013-06,-4395.321,
2013-07,-6783.278,
2013-08,-7130.152,
2013-09,-3965.983,
2013-10,-6139.521,
2013-11,-1961.439,
2013-12,936.988,
2014-01,-3175.631,
2014-02,-2289.120,Provisional value
2014-03,-1672.862,Provisional value
2014-04,-2034.494,Provisional value
2014-05,-2646.588,Provisional value
2014-06,-4051.080,Provisional value
2014-07,-5912.092,Provisional value
2014-08,-7502.055,Provisional value
2014-09,-4803.290,
2014-10,-5572.395,
2014-11,-2556.286,
2014-12,500.491,Provisional value
