"",BBFN1.M.DE.N.1.L.R12.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
2001-07,0.649,
2001-08,0.645,
2001-09,0.642,
2001-10,0.655,
2001-11,0.662,
2001-12,0.672,
2002-01,0.762,
2002-02,0.777,
2002-03,0.742,
2002-04,0.737,
2002-05,0.723,
2002-06,0.718,
2002-07,0.695,
2002-08,0.689,
2002-09,0.679,
2002-10,0.678,
2002-11,0.673,
2002-12,0.664,
2003-01,0.642,
2003-02,0.592,
2003-03,0.618,
2003-04,0.663,
2003-05,0.650,
2003-06,0.632,
2003-07,0.617,
2003-08,0.664,
2003-09,0.747,
2003-10,0.689,
2003-11,0.695,
2003-12,0.619,
2004-01,0.521,
2004-02,2.838,
2004-03,2.821,
2004-04,2.824,
2004-05,2.818,
2004-06,2.813,
2004-07,2.791,
2004-08,2.838,
2004-09,2.819,
2004-10,2.815,
2004-11,2.817,
2004-12,2.781,
2005-01,2.772,
2005-02,2.757,
2005-03,2.755,
2005-04,2.752,
2005-05,2.748,
2005-06,2.743,
2005-07,2.741,
2005-08,2.685,
2005-09,2.671,
2005-10,2.659,
2005-11,1.140,
2005-12,1.116,
2006-01,1.302,
2006-02,1.300,
2006-03,1.288,
2006-04,1.283,
2006-05,1.680,
2006-06,1.672,
2006-07,1.681,
2006-08,1.663,
2006-09,1.492,
2006-10,1.492,
2006-11,1.226,
2006-12,1.225,
2007-01,1.203,
2007-02,1.200,
2007-03,1.180,
2007-04,1.549,
2007-05,1.270,
2007-06,1.278,
2007-07,1.365,
2007-08,1.525,
2007-09,1.233,
2007-10,1.205,
2007-11,1.173,
2007-12,1.454,
2008-01,1.262,
2008-02,1.244,
2008-03,0.955,
2008-04,0.993,
2008-05,1.011,
2008-06,1.360,
2008-07,1.366,
2008-08,1.388,
2008-09,1.414,
2008-10,1.561,
2008-11,1.678,
2008-12,1.650,
2009-01,1.702,
2009-02,1.699,
2009-03,1.702,
2009-04,1.519,
2009-05,1.521,
2009-06,1.439,
2009-07,1.560,
2009-08,1.574,
2009-09,1.573,
2009-10,1.566,
2009-11,1.536,
2009-12,1.498,
2010-01,1.473,
2010-02,1.453,
2010-03,1.412,
2010-04,1.423,
2010-05,1.372,
2010-06,1.388,
2010-07,1.466,
2010-08,1.476,
2010-09,1.470,
2010-10,1.469,
2010-11,1.478,
2010-12,1.463,
2011-01,1.464,
2011-02,1.483,
2011-03,1.492,
2011-04,1.483,
2011-05,1.465,
2011-06,1.510,
2011-07,1.515,
2011-08,1.513,
2011-09,1.530,
2011-10,1.518,
2011-11,1.661,
2011-12,1.668,
2012-01,1.643,
2012-02,0.776,
2012-03,0.757,
2012-04,0.897,
2012-05,0.837,
2012-06,0.843,
2012-07,0.851,
2012-08,0.844,
2012-09,0.847,
2012-10,0.849,
2012-11,0.830,
2012-12,0.833,
2013-01,0.826,
2013-02,0.833,
2013-03,0.816,
2013-04,0.826,
2013-05,0.800,
2013-06,0.511,
2013-07,0.561,
2013-08,0.404,
2013-09,0.508,
2013-10,0.529,
2013-11,0.519,
2013-12,0.515,
2014-01,0.515,
2014-02,0.500,
2014-03,0.524,
2014-04,0.521,
2014-05,0.537,
2014-06,0.615,
2014-07,0.541,
2014-08,0.597,
2014-09,0.624,
2014-10,0.549,
2014-11,0.593,
2014-12,0.629,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
