"",BBFN1.M.DE.N.1.L.US.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.US.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1999-10,16.366,
1999-11,16.962,
1999-12,18.147,
2000-01,17.660,
2000-02,19.412,
2000-03,28.448,
2000-04,30.914,
2000-05,37.526,
2000-06,31.468,
2000-07,24.973,
2000-08,22.648,
2000-09,19.972,
2000-10,12.750,
2000-11,18.465,
2000-12,19.166,
2001-01,19.196,
2001-02,20.810,
2001-03,26.410,
2001-04,28.100,
2001-05,36.145,
2001-06,32.744,
2001-07,28.316,
2001-08,19.228,
2001-09,24.596,
2001-10,24.611,
2001-11,18.939,
2001-12,18.981,
2002-01,18.462,
2002-02,15.000,
2002-03,14.351,
2002-04,13.930,
2002-05,14.632,
2002-06,14.155,
2002-07,12.336,
2002-08,12.483,
2002-09,12.212,
2002-10,12.558,
2002-11,13.906,
2002-12,12.993,
2003-01,12.732,
2003-02,12.819,
2003-03,13.870,
2003-04,13.461,
2003-05,13.349,
2003-06,12.948,
2003-07,13.112,
2003-08,12.597,
2003-09,17.323,
2003-10,13.768,
2003-11,13.842,
2003-12,11.759,
2004-01,12.526,
2004-02,12.384,
2004-03,14.377,
2004-04,12.076,
2004-05,12.095,
2004-06,13.830,
2004-07,13.482,
2004-08,13.818,
2004-09,14.313,
2004-10,13.483,
2004-11,14.622,
2004-12,15.892,
2005-01,13.456,
2005-02,13.280,
2005-03,14.921,
2005-04,14.728,
2005-05,15.391,
2005-06,14.580,
2005-07,15.215,
2005-08,13.510,
2005-09,18.118,
2005-10,17.956,
2005-11,16.871,
2005-12,16.740,
2006-01,15.684,
2006-02,15.481,
2006-03,15.077,
2006-04,15.117,
2006-05,16.450,
2006-06,16.921,
2006-07,16.017,
2006-08,16.274,
2006-09,11.381,
2006-10,10.910,
2006-11,11.430,
2006-12,12.562,
2007-01,14.566,
2007-02,14.391,
2007-03,13.550,
2007-04,13.264,
2007-05,12.949,
2007-06,13.979,
2007-07,14.331,
2007-08,15.706,
2007-09,14.913,
2007-10,14.580,
2007-11,15.830,
2007-12,15.546,
2008-01,13.787,
2008-02,12.220,
2008-03,11.767,
2008-04,15.369,
2008-05,12.790,
2008-06,12.697,
2008-07,11.076,
2008-08,11.276,
2008-09,11.672,
2008-10,12.939,
2008-11,12.169,
2008-12,12.666,
2009-01,14.240,
2009-02,14.022,
2009-03,13.579,
2009-04,12.559,
2009-05,11.827,
2009-06,11.076,
2009-07,11.246,
2009-08,11.196,
2009-09,11.697,
2009-10,11.382,
2009-11,11.502,
2009-12,13.569,
2010-01,13.527,
2010-02,12.871,
2010-03,13.975,
2010-04,12.055,
2010-05,12.701,
2010-06,11.072,
2010-07,11.368,
2010-08,12.125,
2010-09,11.447,
2010-10,10.834,
2010-11,11.801,
2010-12,12.316,
2011-01,12.777,
2011-02,12.467,
2011-03,11.456,
2011-04,11.185,
2011-05,11.491,
2011-06,12.394,
2011-07,12.566,
2011-08,13.231,
2011-09,14.193,
2011-10,14.184,
2011-11,15.920,
2011-12,16.515,
2012-01,16.490,
2012-02,16.315,
2012-03,15.731,
2012-04,15.658,
2012-05,17.939,
2012-06,16.178,
2012-07,17.251,
2012-08,17.126,
2012-09,17.195,
2012-10,19.597,
2012-11,18.087,
2012-12,18.139,
2013-01,16.411,
2013-02,17.075,
2013-03,17.382,
2013-04,17.078,
2013-05,18.111,
2013-06,19.482,
2013-07,15.944,
2013-08,17.167,
2013-09,17.574,
2013-10,17.635,
2013-11,17.041,
2013-12,17.452,
2014-01,16.096,
2014-02,17.736,
2014-03,17.008,
2014-04,17.737,
2014-05,17.722,
2014-06,18.210,
2014-07,17.814,
2014-08,18.239,
2014-09,17.945,
2014-10,18.085,
2014-11,17.634,
2014-12,16.305,
