"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.S._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.S._T.M.N_FLAGS
2000-09,-1086.963,
2000-10,1142.235,
2000-11,884.348,
2000-12,1053.231,
2001-01,-148.232,
2001-02,200.621,
2001-03,-58.488,
2001-04,845.139,
2001-05,1228.488,
2001-06,-1076.991,
2001-07,-50.088,
2001-08,-880.058,
2001-09,1354.564,
2001-10,-76.622,
2001-11,-1855.016,
2001-12,-978.528,
2002-01,348.827,
2002-02,2785.585,
2002-03,1369.374,
2002-04,413.052,
2002-05,-517.658,
2002-06,133.787,
2002-07,1389.348,
2002-08,396.360,
2002-09,-29.848,
2002-10,575.592,
2002-11,-645.479,
2002-12,-2327.144,
2003-01,1716.588,
2003-02,681.174,
2003-03,-1297.307,
2003-04,541.833,
2003-05,1497.332,
2003-06,650.784,
2003-07,-1787.620,
2003-08,-1080.424,
2003-09,-1734.487,
2003-10,-184.260,
2003-11,-2137.868,
2003-12,-900.215,
2004-01,-53.851,
2004-02,409.503,
2004-03,830.024,
2004-04,632.639,
2004-05,1177.123,
2004-06,4049.675,
2004-07,2747.541,
2004-08,4883.997,
2004-09,-437.568,
2004-10,-1001.475,
2004-11,60.840,
2004-12,-1360.038,
2005-01,1169.522,
2005-02,-1218.770,
2005-03,-3509.403,
2005-04,2198.443,
2005-05,-1562.133,
2005-06,590.736,
2005-07,1062.254,
2005-08,2061.372,
2005-09,2121.155,
2005-10,73.817,
2005-11,326.516,
2005-12,1775.732,
2006-01,-188.011,
2006-02,335.160,
2006-03,-294.901,
2006-04,3974.599,
2006-05,1295.175,
2006-06,2297.377,
2006-07,1783.565,
2006-08,-168.540,
2006-09,4.294,
2006-10,1871.332,
2006-11,710.810,
2006-12,-4530.519,
2007-01,6076.078,
2007-02,-772.419,
2007-03,512.991,
2007-04,299.854,
2007-05,877.894,
2007-06,1008.701,
2007-07,-1078.158,
2007-08,2746.880,
2007-09,4878.861,
2007-10,13312.656,
2007-11,5068.053,
2007-12,-6558.051,
2008-01,125.883,
2008-02,5219.912,
2008-03,2869.339,
2008-04,-8554.061,
2008-05,7789.839,
2008-06,2592.322,
2008-07,4468.846,
2008-08,-2107.293,
2008-09,-4757.088,
2008-10,-3452.701,
2008-11,-10517.911,
2008-12,-11334.138,
2009-01,494.272,
2009-02,-5150.281,
2009-03,-1080.194,
2009-04,725.411,
2009-05,-2353.866,
2009-06,-1378.819,
2009-07,2442.096,
2009-08,-3539.619,
2009-09,-1656.502,
2009-10,2792.027,
2009-11,548.322,
2009-12,-5570.982,
2010-01,5162.113,
2010-02,-4195.187,
2010-03,-867.724,
2010-04,-964.469,
2010-05,1631.000,
2010-06,-3673.323,
2010-07,1099.145,
2010-08,-795.666,
2010-09,1674.337,
2010-10,2096.632,
2010-11,-4518.512,
2010-12,-2768.493,
2011-01,3315.922,
2011-02,-1099.325,
2011-03,1775.017,
2011-04,7123.837,
2011-05,1993.137,
2011-06,-2546.184,
2011-07,2442.418,
2011-08,2742.219,
2011-09,-1558.058,
2011-10,2932.156,
2011-11,-6207.557,
2011-12,-6122.179,
2012-01,3400.744,
2012-02,-808.536,
2012-03,284.828,
2012-04,-2062.122,
2012-05,4234.813,
2012-06,-3049.865,
2012-07,1019.852,
2012-08,785.905,
2012-09,-22.975,
2012-10,133.254,
2012-11,-3148.753,
2012-12,-871.852,
2013-01,4128.085,
2013-02,-153.816,
2013-03,-132.177,
2013-04,-1249.072,
2013-05,2838.195,
2013-06,-1826.578,
2013-07,1414.847,
2013-08,1670.995,
2013-09,-3414.558,
2013-10,2392.414,
2013-11,1791.540,
2013-12,-3706.044,
2014-01,1718.386,
2014-02,2729.791,Provisional value
2014-03,447.149,Provisional value
2014-04,2744.332,Provisional value
2014-05,-3190.869,Provisional value
2014-06,642.484,Provisional value
2014-07,398.179,Provisional value
2014-08,-1246.413,Provisional value
2014-09,-805.356,
2014-10,136.985,
2014-11,973.537,
2014-12,-3797.064,Provisional value
