"",BBFN1.M.DE.N.1.A.TR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1991-12,0.104,
1992-01,0.100,
1992-02,0.102,
1992-03,0.101,
1992-04,0.109,
1992-05,0.110,
1992-06,0.103,
1992-07,0.107,
1992-08,0.101,
1992-09,0.103,
1992-10,0.105,
1992-11,0.095,
1992-12,0.108,
1993-01,0.107,
1993-02,0.106,
1993-03,0.106,
1993-04,0.111,
1993-05,0.115,
1993-06,0.124,
1993-07,0.119,
1993-08,0.126,
1993-09,0.134,
1993-10,0.141,
1993-11,0.133,
1993-12,0.143,
1994-01,0.141,
1994-02,0.140,
1994-03,0.139,
1994-04,0.146,
1994-05,0.149,
1994-06,0.153,
1994-07,0.155,
1994-08,0.154,
1994-09,0.157,
1994-10,0.159,
1994-11,0.163,
1994-12,0.139,
1995-01,0.140,
1995-02,0.135,
1995-03,0.141,
1995-04,0.137,
1995-05,0.146,
1995-06,0.145,
1995-07,0.142,
1995-08,0.143,
1995-09,0.144,
1995-10,0.141,
1995-11,0.128,
1995-12,0.120,
1996-01,0.121,
1996-02,0.123,
1996-03,0.130,
1996-04,0.118,
1996-05,0.119,
1996-06,0.115,
1996-07,0.118,
1996-08,0.125,
1996-09,0.132,
1996-10,0.139,
1996-11,0.133,
1996-12,0.127,
1997-01,0.133,
1997-02,0.138,
1997-03,0.127,
1997-04,0.142,
1997-05,0.140,
1997-06,0.150,
1997-07,0.147,
1997-08,0.176,
1997-09,0.179,
1997-10,0.193,
1997-11,0.198,
1997-12,0.193,
1998-01,0.192,
1998-02,0.198,
1998-03,0.243,
1998-04,0.175,
1998-05,0.208,
1998-06,0.235,
1998-07,0.248,
1998-08,0.293,
1998-09,0.290,
1998-10,0.304,
1998-11,0.316,
1998-12,0.305,
1999-01,0.303,
1999-02,0.362,
1999-03,0.355,
1999-04,0.472,
1999-05,0.445,
1999-06,0.446,
1999-07,0.485,
1999-08,0.499,
1999-09,0.494,
1999-10,0.469,
1999-11,0.480,
1999-12,0.474,
2000-01,0.483,
2000-02,0.501,
2000-03,0.481,
2000-04,0.480,
2000-05,0.491,
2000-06,0.492,
2000-07,0.485,
2000-08,0.481,
2000-09,0.460,
2000-10,0.473,
2000-11,0.530,
2000-12,0.539,
2001-01,0.558,
2001-02,0.563,
2001-03,0.569,
2001-04,0.585,
2001-05,0.595,
2001-06,0.571,
2001-07,0.557,
2001-08,0.602,
2001-09,0.543,
2001-10,0.510,
2001-11,0.529,
2001-12,0.649,
2002-01,0.643,
2002-02,0.642,
2002-03,0.631,
2002-04,0.651,
2002-05,0.640,
2002-06,0.644,
2002-07,0.675,
2002-08,0.671,
2002-09,0.659,
2002-10,0.642,
2002-11,0.593,
2002-12,0.510,
2003-01,0.490,
2003-02,0.533,
2003-03,0.415,
2003-04,0.414,
2003-05,0.511,
2003-06,0.506,
2003-07,0.502,
2003-08,0.489,
2003-09,0.471,
2003-10,0.460,
2003-11,0.487,
2003-12,0.454,
2004-01,0.452,
2004-02,0.472,
2004-03,0.434,
2004-04,0.443,
2004-05,0.442,
2004-06,0.419,
2004-07,0.437,
2004-08,0.443,
2004-09,0.400,
2004-10,0.454,
2004-11,0.447,
2004-12,0.452,
2005-01,0.448,
2005-02,0.464,
2005-03,0.485,
2005-04,0.510,
2005-05,0.504,
2005-06,0.493,
2005-07,0.494,
2005-08,0.469,
2005-09,0.451,
2005-10,0.425,
2005-11,0.439,
2005-12,0.365,
2006-01,0.357,
2006-02,0.381,
2006-03,0.395,
2006-04,0.394,
2006-05,0.398,
2006-06,0.405,
2006-07,0.430,
2006-08,0.415,
2006-09,0.401,
2006-10,0.401,
2006-11,0.425,
2006-12,0.417,
2007-01,0.400,
2007-02,0.414,
2007-03,0.450,
2007-04,0.448,
2007-05,0.535,
2007-06,0.574,
2007-07,0.566,
2007-08,0.548,
2007-09,0.553,
2007-10,0.519,
2007-11,0.533,
2007-12,0.598,
2008-01,0.581,
2008-02,0.611,
2008-03,0.651,
2008-04,0.665,
2008-05,0.671,
2008-06,0.745,
2008-07,0.727,
2008-08,0.726,
2008-09,0.752,
2008-10,0.745,
2008-11,0.747,
2008-12,0.728,
2009-01,0.728,
2009-02,0.699,
2009-03,0.749,
2009-04,0.771,
2009-05,0.783,
2009-06,0.798,
2009-07,0.756,
2009-08,0.746,
2009-09,0.713,
2009-10,0.675,
2009-11,0.679,
2009-12,0.687,
2010-01,0.688,
2010-02,0.693,
2010-03,0.713,
2010-04,0.715,
2010-05,0.768,
2010-06,0.823,
2010-07,0.823,
2010-08,0.801,
2010-09,0.749,
2010-10,0.763,
2010-11,0.785,
2010-12,0.783,
2011-01,0.808,
2011-02,0.857,
2011-03,0.862,
2011-04,0.873,
2011-05,0.856,
2011-06,0.833,
2011-07,0.851,
2011-08,0.912,
2011-09,0.762,
2011-10,0.770,
2011-11,0.798,
2011-12,0.874,
2012-01,0.902,
2012-02,0.944,
2012-03,1.023,
2012-04,1.068,
2012-05,1.105,
2012-06,1.124,
2012-07,1.112,
2012-08,1.120,
2012-09,1.126,
2012-10,1.137,
2012-11,1.169,
2012-12,1.186,
2013-01,1.219,
2013-02,1.181,
2013-03,1.213,
2013-04,1.191,
2013-05,1.188,
2013-06,1.169,
2013-07,1.093,
2013-08,0.862,
2013-09,0.832,
2013-10,1.150,
2013-11,1.097,
2013-12,1.087,
2014-01,1.087,
2014-02,1.104,
2014-03,1.151,
2014-04,1.172,
2014-05,1.227,
2014-06,1.250,
2014-07,1.242,
2014-08,1.223,
2014-09,1.230,
2014-10,1.236,
2014-11,1.179,
2014-12,1.166,
