"",BBDA1.M.DE.N.EX.S.A.W1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.W1.A.V.ABA.A_FLAGS
2012-01,86123667,
2012-02,91228466,
2012-03,98729356,
2012-04,87233520,
2012-05,92662716,
2012-06,94258682,
2012-07,93328549,
2012-08,90152082,
2012-09,91362316,
2012-10,98432108,
2012-11,93678057,
2012-12,78576885,
2013-01,88511292,
2013-02,88314452,
2013-03,94344212,
2013-04,93905981,
2013-05,88149701,
2013-06,92225765,
2013-07,92990203,
2013-08,84844486,
2013-09,94418947,
2013-10,98996995,
2013-11,94472623,
2013-12,81939926,
2014-01,90471302,
2014-02,92125604,
2014-03,95660542,
2014-04,93426599,
2014-05,91668718,
2014-06,93204912,
2014-07,100811900,
2014-08,83888026,
2014-09,102293248,
2014-10,103924684,
2014-11,95969389,
2014-12,90095562,
