"",BBFN1.M.DE.N.1.L.IR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2004-04,0.171,
2004-05,0.171,
2004-06,0.161,
2004-07,0.162,
2004-08,0.162,
2004-09,0.053,
2004-10,0.048,
2004-11,0.045,
2004-12,0.044,
2005-01,0.044,
2005-02,0.041,
2005-03,0.043,
2005-04,0.039,
2005-05,0.041,
2005-06,0.048,
2005-07,0.048,
2005-08,0.044,
2005-09,0.048,
2005-10,0.045,
2005-11,0.046,
2005-12,0.045,
2006-01,0.046,
2006-02,0.042,
2006-03,0.049,
2006-04,0.047,
2006-05,0.050,
2006-06,0.051,
2006-07,0.294,
2006-08,0.295,
2006-09,0.296,
2006-10,0.300,
2006-11,0.302,
2006-12,0.297,
2007-01,0.298,
2007-02,0.301,
2007-03,0.288,
2007-04,0.289,
2007-05,0.288,
2007-06,0.294,
2007-07,0.297,
2007-08,0.298,
2007-09,0.299,
2007-10,0.296,
2007-11,0.298,
2007-12,0.347,
2008-01,0.348,
2008-02,0.345,
2008-03,0.345,
2008-04,0.354,
2008-05,0.398,
2008-06,0.407,
2008-07,0.400,
2008-08,0.387,
2008-09,0.391,
2008-10,0.387,
2008-11,0.389,
2008-12,0.389,
2009-01,0.381,
2009-02,0.375,
2009-03,0.466,
2009-04,0.462,
2009-05,0.413,
2009-06,0.409,
2009-07,0.397,
2009-08,0.396,
2009-09,0.405,
2009-10,0.405,
2009-11,0.398,
2009-12,0.388,
2010-01,0.388,
2010-02,0.393,
2010-03,0.330,
2010-04,0.335,
2010-05,0.338,
2010-06,0.332,
2010-07,0.331,
2010-08,0.332,
2010-09,0.331,
2010-10,0.334,
2010-11,0.334,
2010-12,0.333,
2011-01,0.334,
2011-02,0.334,
2011-03,0.331,
2011-04,0.331,
2011-05,0.331,
2011-06,0.334,
2011-07,0.329,
2011-08,0.327,
2011-09,0.329,
2011-10,0.345,
2011-11,0.345,
2011-12,0.347,
2012-01,0.349,
2012-02,0.350,
2012-03,0.352,
2012-04,0.355,
2012-05,0.355,
2012-06,0.358,
2012-07,0.360,
2012-08,0.361,
2012-09,0.363,
2012-10,0.364,
2012-11,0.364,
2012-12,0.366,
2013-01,0.341,
2013-02,0.341,
2013-03,0.343,
2013-04,0.344,
2013-05,0.344,
2013-06,0.346,
2013-07,0.347,
2013-08,0.352,
2013-09,0.362,
2013-10,0.362,
2013-11,0.353,
2013-12,0.354,
2014-01,0.356,
2014-02,0.357,
2014-03,0.358,
2014-04,0.359,
2014-05,0.359,
2014-06,0.360,
2014-07,0.361,
2014-08,0.367,
2014-09,0.366,
2014-10,0.364,
2014-11,0.365,
2014-12,0.367,
