"",BBEX3.M.BOB.USD.CA.AB.A01,BBEX3.M.BOB.USD.CA.AB.A01_FLAGS
2003-09,7.750,
2003-10,7.770,
2003-11,7.790,
2003-12,7.840,
2004-01,7.860,
2004-02,7.870,
2004-03,7.900,
2004-04,7.910,
2004-05,7.920,
2004-06,7.940,
2004-07,7.950,
2004-08,7.980,
2004-09,8.000,
2004-10,8.030,
2004-11,8.040,
2004-12,8.060,
2005-01,8.070,
2005-02,8.080,
2005-03,8.100,
2005-04,8.100,
2005-05,8.100,
2005-06,8.100,
2005-07,8.090,
2005-08,8.090,
2005-09,8.080,
2005-10,8.080,
2005-11,8.080,
2005-12,8.080,
2006-01,8.080,
2006-02,8.070,
2006-03,8.070,
2006-04,8.060,
2006-05,8.060,
2006-06,8.060,
2006-07,8.060,
2006-08,8.050,
2006-09,8.050,
2006-10,8.050,
2006-11,8.050,
2006-12,8.030,
2007-01,8.010,
2007-02,7.990,
2007-03,7.990,
2007-04,7.990,
2007-05,7.970,
2007-06,7.950,
2007-07,7.870,
2007-08,7.810,
2007-09,7.810,
2007-10,7.770,
2007-11,7.730,
2007-12,7.670,
2008-01,7.630,
2008-02,7.590,
2008-03,7.500,
2008-04,7.400,
2008-05,7.310,
2008-06,7.220,
2008-07,7.140,
2008-08,7.110,
2008-09,7.090,
2008-10,7.070,
2008-11,7.070,
2008-12,7.070,
2009-01,7.070,
2009-02,7.070,
2009-03,7.070,
2009-04,7.070,
2009-05,7.070,
2009-06,7.070,
2009-07,7.070,
2009-08,7.070,
2009-09,7.070,
2009-10,7.070,
2009-11,7.070,
2009-12,7.070,
2010-01,7.070,
2010-02,7.070,
2010-03,7.070,
2010-04,7.070,
2010-05,7.070,
2010-06,7.070,
2010-07,7.070,
2010-08,7.070,
2010-09,7.070,
2010-10,7.070,
2010-11,7.060,
2010-12,7.040,
2011-01,7.040,
2011-02,7.020,
2011-03,7.000,
2011-04,6.990,
2011-05,6.990,
2011-06,6.980,
2011-07,6.970,
2011-08,6.970,
2011-09,6.970,
2011-10,6.970,
2011-11,6.960,
2011-12,6.960,
2012-01,6.960,
2012-02,6.960,
2012-03,6.960,
2012-04,6.960,
2012-05,6.960,
2012-06,6.960,
2012-07,6.960,
2012-08,6.960,
2012-09,6.960,
2012-10,6.960,
2012-11,6.960,
2012-12,6.960,
2013-01,6.960,
2013-02,6.960,
2013-03,6.960,
2013-04,6.960,
2013-05,6.960,
2013-06,6.960,
2013-07,6.960,
2013-08,6.960,
2013-09,6.960,
2013-10,6.960,
2013-11,6.960,
2013-12,6.960,
2014-01,6.960,
2014-02,6.960,
2014-03,6.960,
2014-04,6.960,
2014-05,6.960,
2014-06,6.960,
2014-07,6.960,
2014-08,6.960,
2014-09,6.960,
2014-10,6.960,
2014-11,6.960,
2014-12,6.960,
2015-01,6.960,
"","Source: Since March 2003: Banco Central de Bolivia, La Paz. 1990 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
