"",BBEX3.M.LVL.USD.CA.AC.A01,BBEX3.M.LVL.USD.CA.AC.A01_FLAGS
2003-12,0.54000,
2004-01,0.53900,
2004-02,0.53800,
2004-03,0.54300,
2004-04,0.55300,
2004-05,0.54700,
2004-06,0.54400,
2004-07,0.54800,
2004-08,0.55000,
2004-09,0.54400,
2004-10,0.53400,
2004-11,0.52200,
2004-12,0.51600,
2005-01,0.53900,
2005-02,0.53200,
2005-03,0.54300,
2005-04,0.54300,
2005-05,0.56100,
2005-06,0.58300,
2005-07,0.58200,
2005-08,0.57500,
2005-09,0.58300,
2005-10,0.57900,
2005-11,0.59400,
2005-12,0.59300,
2006-01,0.58100,
2006-02,0.59300,
2006-03,0.58200,
2006-04,0.56400,
2006-05,0.54800,
2006-06,0.56000,
2006-07,0.55400,
2006-08,0.54700,
2006-09,0.55200,
2006-10,0.55300,
2006-11,0.54200,
2006-12,0.53600,
2007-01,0.54200,
2007-02,0.53300,
2007-03,0.52800,
2007-04,0.51500,
2007-05,0.52300,
2007-06,0.52200,
2007-07,0.51500,
2007-08,0.51500,
2007-09,0.49700,
2007-10,0.48800,
2007-11,0.47400,
2007-12,0.48400,
2008-01,0.47600,
2008-02,0.46500,
2008-03,0.44500,
2008-04,0.44900,
2008-05,0.44900,
2008-06,0.44700,
2008-07,0.45100,
2008-08,0.47500,
2008-09,0.48600,
2008-10,0.53400,
2008-11,0.54400,
2008-12,0.49500,
2009-01,0.53600,
2009-02,0.55300,
2009-03,0.53200,
2009-04,0.53200,
2009-05,0.50800,
2009-06,0.50100,
2009-07,0.49800,
2009-08,0.49000,
2009-09,0.48000,
2009-10,0.47700,
2009-11,0.47100,
2009-12,0.48900,
2010-01,0.50200,
2010-02,0.52200,
2010-03,0.52100,
2010-04,0.53100,
2010-05,0.57100,
2010-06,0.57300,
2010-07,0.54000,
2010-08,0.55200,
2010-09,0.51700,
2010-10,0.50900,
2010-11,0.53100,
2010-12,0.53500,
2011-01,0.51200,
2011-02,0.50900,
2011-03,0.49900,
2011-04,0.47300,
2011-05,0.49200,
2011-06,0.48900,
2011-07,0.49000,
2011-08,0.48400,
2011-09,0.51600,
2011-10,0.49600,
2011-11,0.52600,
2011-12,0.54400,
2012-01,0.53400,
2012-02,0.52300,
2012-03,0.52800,
2012-04,0.53200,
2012-05,0.56400,
2012-06,0.56200,
2012-07,0.57200,
2012-08,0.56000,
2012-09,0.54600,
2012-10,0.54400,
2012-11,0.54300,
2012-12,0.53100,
2013-01,0.52100,
2013-02,0.53700,
2013-03,0.54700,
2013-04,0.53900,
2013-05,0.54200,
2013-06,0.53900,
2013-07,0.53000,
2013-08,0.52800,
2013-09,0.52100,
2013-10,0.51200,
2013-11,0.51700,
2013-12,0.51500,
"",General: Currency conversion with effect from 28 June 1993 at a rate of 200 Latvian roubles (LVR) = 1 lats (LVL); the Latvian rouble remained legal tender at this rate until 17 October 1993. Accession to the European Monetary Union on 1 January 2014; irrevocable euro conversion rate: EUR 1 = LVL 0.702804.,
"","Source: Bank of Latvia, Riga; until 1996, calculated on the basis of buying and selling rates.",
"",Comment on 1994-05: Exchange rate as of 1 June 1994.,
"",Comment on 1995-07: Exchange rate as of 28 July 1995.,
