"",BBEX3.M.MOP.USD.CA.AB.A01,BBEX3.M.MOP.USD.CA.AB.A01_FLAGS
1999-05,8.0081,
1999-06,8.0112,
1999-07,8.0148,
1999-08,8.0184,
1999-09,8.0215,
1999-10,8.0236,
1999-11,8.0246,
1999-12,8.0251,
2000-01,8.0419,
2000-02,8.0445,
2000-03,8.0482,
2000-04,8.0508,
2000-05,8.0544,
2000-06,8.0570,
2000-07,8.0601,
2000-08,8.0611,
2000-09,8.0595,
2000-10,8.0616,
2000-11,8.0616,
2000-12,8.0616,
2001-01,8.0616,
2001-02,8.0621,
2001-03,8.0616,
2001-04,8.0616,
2001-05,8.0621,
2001-06,8.0616,
2001-07,8.0621,
2001-08,8.0616,
2001-09,8.0616,
2001-10,8.0621,
2001-11,8.0611,
2001-12,8.0601,
2002-01,8.0614,
2002-02,8.0612,
2002-03,8.0616,
2002-04,8.0615,
2002-05,8.0619,
2002-06,8.0618,
2002-07,8.0620,
2002-08,8.0621,
2002-09,8.0619,
2002-10,8.0616,
2002-11,8.0608,
2002-12,8.0610,
2003-01,8.0617,
2003-02,8.0610,
2003-03,8.0613,
2003-04,8.0614,
2003-05,8.0607,
2003-06,8.0602,
2003-07,8.0613,
2003-08,8.0614,
2003-09,8.0421,
2003-10,8.0612,
2003-11,8.0579,
2003-12,8.0567,
2004-01,8.0698,
2004-02,8.0764,
2004-03,8.0908,
2004-04,8.0943,
2004-05,8.0879,
2004-06,8.0928,
2004-07,8.0934,
2004-08,8.0940,
2004-09,8.0933,
2004-10,8.0753,
2004-11,8.0707,
2004-12,8.0701,
2005-01,8.0937,
2005-02,8.0939,
2005-03,8.0933,
2005-04,8.0887,
2005-05,8.0729,
2005-06,8.0650,
2005-07,8.0681,
2005-08,8.0647,
2005-09,8.0511,
2005-10,8.0463,
2005-11,8.0467,
2005-12,8.0477,
2006-01,8.0489,
2006-02,8.0514,
2006-03,8.0526,
2006-04,8.0465,
2006-05,8.0492,
2006-06,8.0602,
2006-07,8.0646,
2006-08,8.0698,
2006-09,8.0824,
2006-10,8.0676,
2006-11,8.0590,
2006-12,8.0560,
2007-01,8.0937,
2007-02,8.0989,
2007-03,8.0983,
2007-04,8.1061,
2007-05,8.0920,
2007-06,8.1011,
2007-07,8.1091,
2007-08,8.0804,
2007-09,8.0413,
2007-10,8.0327,
2007-11,8.0728,
2007-12,8.0861,
2008-01,8.0854,
2008-02,8.0622,
2008-03,8.0652,
2008-04,8.0761,
2008-05,8.0882,
2008-06,8.0864,
2008-07,8.0871,
2008-08,8.0923,
2008-09,8.0456,
2008-10,8.0345,
2008-11,8.0356,
2008-12,8.0324,
2009-01,8.0386,
2009-02,8.0370,
2009-03,8.0325,
2009-04,8.0328,
2009-05,8.0353,
2009-06,8.0322,
2009-07,8.0327,
2009-08,8.0336,
2009-09,8.0327,
2009-10,8.0326,
2009-11,8.0330,
2009-12,8.0377,
2010-01,8.0564,
2010-02,8.0469,
2010-03,8.0471,
2010-04,8.0485,
2010-05,8.0734,
2010-06,8.0683,
2010-07,8.0492,
2010-08,8.0648,
2010-09,8.0431,
2010-10,8.0396,
2010-11,8.0478,
2010-12,8.0663,
2011-01,8.0760,
2011-02,8.0780,
2011-03,8.0681,
2011-04,8.0538,
2011-05,8.0615,
2011-06,8.0654,
2011-07,8.0766,
2011-08,8.0798,
2011-09,8.0782,
2011-10,8.0472,
2011-11,8.0731,
2011-12,8.0554,
2012-01,8.0399,
2012-02,8.0377,
2012-03,8.0477,
2012-04,8.0419,
2012-05,8.0484,
2012-06,8.0414,
2012-07,8.0377,
2012-08,8.0388,
2012-09,8.0361,
2012-10,8.0325,
2012-11,8.0324,
2012-12,8.0339,
2013-01,8.0408,
2013-02,8.0395,
2013-03,8.0459,
2013-04,8.0440,
2013-05,8.0464,
2013-06,8.0397,
2013-07,8.0380,
2013-08,8.0382,
2013-09,8.0367,
2013-10,8.0358,
2013-11,8.0350,
2013-12,8.0373,
2014-01,8.0476,
2014-02,8.0435,
2014-03,8.0405,
2014-04,8.0359,
2014-05,8.0354,
2014-06,8.0340,
2014-07,8.0326,
2014-08,8.0326,
2014-09,8.0459,
2014-10,8.0378,
2014-11,8.0354,
2014-12,8.0400,
2015-01,8.0095,
2015-02,8.0133,
"","Source: Since January 1977: Banco Nacional Ultramarino S.A., Macao 1975 - December 1976: Banco Nacional Ultramarino S.A., Lissabon.",
