"",BBDE1.M.DE.Y.BAA1.N2B050000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2B050000.G.C.I10.A_FLAGS
2007-04,115.8,
2007-05,117.8,
2007-06,126.0,
2007-07,128.9,
2007-08,134.5,
2007-09,129.4,
2007-10,121.3,
2007-11,115.3,
2007-12,111.4,
2008-01,110.9,
2008-02,112.4,
2008-03,111.2,
2008-04,112.4,
2008-05,111.4,
2008-06,104.9,
2008-07,112.4,
2008-08,116.1,
2008-09,107.1,
2008-10,109.7,
2008-11,107.4,
2008-12,101.7,
2009-01,104.7,
2009-02,106.9,
2009-03,101.8,
2009-04,97.5,
2009-05,99.2,
2009-06,106.7,
2009-07,103.8,
2009-08,96.5,
2009-09,102.9,
2009-10,101.4,
2009-11,100.4,
2009-12,105.8,
2010-01,107.4,
2010-02,92.9,
2010-03,83.6,
2010-04,99.2,
2010-05,98.5,
2010-06,97.3,
2010-07,116.6,
2010-08,108.5,
2010-09,106.4,
2010-10,98.7,
2010-11,99.0,
2010-12,89.3,
2011-01,89.4,
2011-02,95.0,
2011-03,97.4,
2011-04,98.4,
2011-05,102.4,
2011-06,99.0,
2011-07,100.9,
2011-08,94.2,
2011-09,104.6,
2011-10,100.7,
2011-11,96.2,
2011-12,95.8,
2012-01,104.0,
2012-02,108.9,
2012-03,115.4,
2012-04,95.9,
2012-05,94.3,
2012-06,94.7,
2012-07,87.8,
2012-08,82.1,
2012-09,83.2,
2012-10,78.4,
2012-11,75.3,
2012-12,76.4,
2013-01,64.7,
2013-02,66.5,
2013-03,83.6,
2013-04,79.9,
2013-05,67.9,
2013-06,71.0,
2013-07,76.4,
2013-08,75.0,
2013-09,65.5,
2013-10,66.3,
2013-11,62.4,
2013-12,62.4,
2014-01,78.1,
2014-02,68.9,
2014-03,64.5,
2014-04,74.2,
2014-05,72.1,
2014-06,67.3,
2014-07,58.3,
2014-08,68.6,
2014-09,70.4,
2014-10,71.0,Provisional value
2014-11,71.7,Provisional value
2014-12,75.4,Provisional value
