"",BBFB1.M.N.DE.W1.S1.S1.T.D.SI2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SI2._Z._Z._Z._T._X.N_FLAGS
1999-08,337.012,
1999-09,375.925,
1999-10,318.450,
1999-11,401.462,
1999-12,509.104,
2000-01,384.211,
2000-02,486.180,
2000-03,518.663,
2000-04,437.129,
2000-05,467.469,
2000-06,399.058,
2000-07,431.557,
2000-08,384.196,
2000-09,395.006,
2000-10,446.657,
2000-11,478.110,
2000-12,558.705,
2001-01,540.592,
2001-02,598.698,
2001-03,463.891,
2001-04,599.974,
2001-05,670.936,
2001-06,628.900,
2001-07,584.187,
2001-08,564.808,
2001-09,514.339,
2001-10,586.489,
2001-11,456.067,
2001-12,571.061,
2002-01,603.303,
2002-02,468.109,
2002-03,490.180,
2002-04,488.571,
2002-05,478.204,
2002-06,579.293,
2002-07,690.348,
2002-08,478.836,
2002-09,601.151,
2002-10,572.381,
2002-11,471.062,
2002-12,613.158,
2003-01,634.057,
2003-02,510.068,
2003-03,508.414,
2003-04,548.038,
2003-05,457.612,
2003-06,518.523,
2003-07,646.384,
2003-08,397.690,
2003-09,496.194,
2003-10,597.815,
2003-11,431.808,
2003-12,686.088,
2004-01,692.291,
2004-02,572.560,
2004-03,465.643,
2004-04,571.711,
2004-05,542.641,
2004-06,514.044,
2004-07,485.259,
2004-08,500.208,
2004-09,446.048,
2004-10,512.714,
2004-11,565.031,
2004-12,673.223,
2005-01,617.922,
2005-02,569.388,
2005-03,506.307,
2005-04,577.960,
2005-05,561.050,
2005-06,587.181,
2005-07,562.514,
2005-08,564.868,
2005-09,537.157,
2005-10,490.439,
2005-11,610.973,
2005-12,719.477,
2006-01,742.630,
2006-02,658.919,
2006-03,580.624,
2006-04,554.980,
2006-05,584.871,
2006-06,550.843,
2006-07,614.369,
2006-08,636.014,
2006-09,521.314,
2006-10,545.239,
2006-11,606.543,
2006-12,771.515,
2007-01,994.023,
2007-02,645.656,
2007-03,635.260,
2007-04,652.806,
2007-05,593.783,
2007-06,684.546,
2007-07,792.258,
2007-08,618.439,
2007-09,708.857,
2007-10,730.462,
2007-11,683.270,
2007-12,910.855,
2008-01,1020.434,
2008-02,656.202,
2008-03,630.217,
2008-04,817.645,
2008-05,677.558,
2008-06,683.470,
2008-07,937.167,
2008-08,595.781,
2008-09,709.405,
2008-10,872.300,
2008-11,768.605,
2008-12,1040.823,
2009-01,928.883,
2009-02,771.113,
2009-03,700.446,
2009-04,810.997,
2009-05,701.811,
2009-06,686.681,
2009-07,952.786,
2009-08,686.586,
2009-09,588.921,
2009-10,660.627,
2009-11,678.766,
2009-12,888.716,
2010-01,1093.526,
2010-02,937.044,
2010-03,717.191,
2010-04,846.742,
2010-05,773.344,
2010-06,869.041,
2010-07,979.922,
2010-08,905.138,
2010-09,867.523,
2010-10,755.054,
2010-11,1031.880,
2010-12,1245.415,
2011-01,1200.236,
2011-02,979.626,
2011-03,1045.330,
2011-04,978.338,
2011-05,1028.079,
2011-06,877.797,
2011-07,925.419,
2011-08,1072.059,
2011-09,904.078,
2011-10,879.485,
2011-11,1133.786,
2011-12,1149.252,
2012-01,1535.630,
2012-02,1098.268,
2012-03,1083.569,
2012-04,1145.009,
2012-05,1285.417,
2012-06,924.115,
2012-07,1272.133,
2012-08,1120.848,
2012-09,940.544,
2012-10,1055.103,
2012-11,1059.292,
2012-12,1128.938,
2013-01,1657.390,
2013-02,1731.105,
2013-03,1549.036,
2013-04,1482.182,
2013-05,1491.499,
2013-06,1471.747,
2013-07,1242.863,
2013-08,1213.772,
2013-09,983.250,
2013-10,1055.628,
2013-11,1124.683,
2013-12,1537.709,
2014-01,1153.126,
2014-02,1205.321,Provisional value
2014-03,1044.538,Provisional value
2014-04,1104.107,Provisional value
2014-05,1191.127,Provisional value
2014-06,1207.324,Provisional value
2014-07,1509.696,Provisional value
2014-08,1016.759,Provisional value
2014-09,1138.338,
2014-10,1104.876,
2014-11,1053.803,
2014-12,1523.058,Provisional value
