"",BBEX3.M.SEK.USD.CA.AC.A01,BBEX3.M.SEK.USD.CA.AC.A01_FLAGS
2001-07,10.55250,
2001-08,10.38000,
2001-09,10.66250,
2001-10,10.59000,
2001-11,10.66750,
2001-12,10.67000,
2002-01,10.63500,
2002-02,10.49500,
2002-03,10.33875,
2002-04,10.22125,
2002-05,9.72625,
2002-06,9.16375,
2002-07,9.42875,
2002-08,9.29875,
2002-09,9.28375,
2002-10,9.19875,
2002-11,9.13125,
2002-12,8.82625,
2003-01,8.49875,
2003-02,8.47625,
2003-03,8.50625,
2003-04,8.19875,
2003-05,7.71125,
2003-06,8.00375,
2003-07,8.10375,
2003-08,8.44375,
2003-09,7.66375,
2003-10,7.77625,
2003-11,7.55625,
2003-12,7.27625,
2004-01,7.41375,
2004-02,7.41375,
2004-03,7.56625,
2004-04,7.65875,
2004-05,7.41125,
2004-06,7.54875,
2004-07,7.66375,
2004-08,7.56375,
2004-09,7.35625,
2004-10,7.09875,
2004-11,6.73625,
2004-12,6.61375,
2005-01,6.99375,
2005-02,6.82375,
2005-03,7.06125,
2005-04,7.07625,
2005-05,7.39875,
2005-06,7.81875,
2005-07,7.74375,
2005-08,7.66375,
2005-09,7.78125,
2005-10,7.90125,
2005-11,8.08375,
2005-12,7.95375,
2006-01,7.63375,
2006-02,7.98375,
2006-03,7.74625,
2006-04,7.41375,
2006-05,7.19125,
2006-06,7.25625,
2006-07,7.23625,
2006-08,7.19375,
2006-09,7.31375,
2006-10,7.27125,
2006-11,6.88125,
2006-12,6.87375,
2007-01,6.99125,
2007-02,7.02375,
2007-03,7.00125,
2007-04,6.73875,
2007-05,6.92375,
2007-06,6.87625,
2007-07,6.70625,
2007-08,6.84875,
2007-09,6.49625,
2007-10,6.36625,
2007-11,6.37125,
2007-12,6.46875,
2008-01,6.35875,
2008-02,6.16625,
2008-03,5.95125,
2008-04,6.00875,
2008-05,6.03125,
2008-06,5.98125,
2008-07,6.05625,
2008-08,6.40375,
2008-09,6.78125,
2008-10,7.78625,
2008-11,7.97125,
2008-12,7.75375,
2009-01,8.23625,
2009-02,9.05375,
2009-03,8.28625,
2009-04,7.98625,
2009-05,7.66125,
2009-06,7.68875,
2009-07,7.37125,
2009-08,7.13625,
2009-09,7.00875,
2009-10,7.01625,
2009-11,6.96375,
2009-12,7.21375,
2010-01,7.33375,
2010-02,7.17875,
2010-03,7.25875,
2010-04,7.22625,
2010-05,7.83375,
2010-06,7.77375,
2010-07,7.23375,
2010-08,7.43375,
2010-09,6.73875,
2010-10,6.77625,
2010-11,7.00875,
2010-12,6.80375,
2011-01,6.53875,
2011-02,6.40375,
2011-03,6.30375,
2011-04,6.00625,
2011-05,6.16875,
2011-06,6.31025,
2011-07,6.37145,
2011-08,6.35455,
2011-09,6.85875,
2011-10,6.44355,
2011-11,6.92715,
2011-12,6.92465,
2012-01,6.75315,
2012-02,6.55975,
2012-03,6.62215,
2012-04,6.72215,
2012-05,7.23645,
2012-06,6.96445,
2012-07,6.80415,
2012-08,6.67655,
2012-09,6.52965,
2012-10,6.63415,
2012-11,6.65115,
2012-12,6.51685,
2013-01,6.36125,
2013-02,6.43645,
2013-03,6.51745,
2013-04,6.56085,
2013-05,6.58845,
2013-06,6.71485,
2013-07,6.57115,
2013-08,6.59485,
2013-09,6.43095,
2013-10,6.42205,
2013-11,6.57215,
2013-12,6.50965,
2014-01,6.52745,
2014-02,6.49205,
2014-03,6.50805,
2014-04,6.57025,
2014-05,6.65755,
2014-06,6.74185,
2014-07,6.89365,
2014-08,6.97395,
2014-09,7.23955,
2014-10,7.35155,
2014-11,7.45235,
2014-12,7.81295,
2015-01,8.26725,
"","Source: Calculated on the basis of the buying and selling rates of the Skandinaviska Enskilda Banken, Stockholm.",
"","Comment on 1992-11: On 20 November 1992, the Swedish central bank decided to abandon the unilateral pegging of the Swedish krona to the ECU and allow the Swedish krona to float. On the basis of the exchange rates on 19 and 20 November 1992, the Swedish krona depreciated by 11.0% against the US dollar (middle rate).",
