"",BBDA1.M.DE.N.IM.S.A.SE.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.SE.A.V.ABA.A_FLAGS
1998-07,738531,
1998-08,636477,
1998-09,653797,
1998-10,756862,
1998-11,687665,
1998-12,681895,
1999-01,637611,
1999-02,632178,
1999-03,725444,
1999-04,673176,
1999-05,772727,
1999-06,753851,
1999-07,665256,
1999-08,684583,
1999-09,624473,
1999-10,706118,
1999-11,723941,
1999-12,706021,
2000-01,722364,
2000-02,789267,
2000-03,790035,
2000-04,874570,
2000-05,901510,
2000-06,903582,
2000-07,757488,
2000-08,709362,
2000-09,850205,
2000-10,1001818,
2000-11,917728,
2000-12,983836,
2001-01,807176,
2001-02,842662,
2001-03,804317,
2001-04,803211,
2001-05,792937,
2001-06,715596,
2001-07,720609,
2001-08,701866,
2001-09,686101,
2001-10,713905,
2001-11,744613,
2001-12,665564,
2002-01,671861,
2002-02,641000,
2002-03,781965,
2002-04,802109,
2002-05,636337,
2002-06,838824,
2002-07,714603,
2002-08,684205,
2002-09,720587,
2002-10,834116,
2002-11,825648,
2002-12,716727,
2003-01,713875,
2003-02,782111,
2003-03,851948,
2003-04,858540,
2003-05,788031,
2003-06,800460,
2003-07,785920,
2003-08,711673,
2003-09,824397,
2003-10,762538,
2003-11,863748,
2003-12,758052,
2004-01,742759,
2004-02,821486,
2004-03,868667,
2004-04,793933,
2004-05,889527,
2004-06,904399,
2004-07,763903,
2004-08,848205,
2004-09,885413,
2004-10,894465,
2004-11,1009406,
2004-12,775131,
2005-01,876762,
2005-02,793003,
2005-03,875390,
2005-04,997724,
2005-05,1031683,
2005-06,964748,
2005-07,875439,
2005-08,849108,
2005-09,917630,
2005-10,1080105,
2005-11,1083666,
2005-12,960838,
2006-01,1044711,
2006-02,978186,
2006-03,1118604,
2006-04,1035939,
2006-05,1106750,
2006-06,1048159,
2006-07,969590,
2006-08,962809,
2006-09,1098491,
2006-10,1208389,
2006-11,1137037,
2006-12,1191061,
2007-01,1153529,
2007-02,1145210,
2007-03,1132857,
2007-04,1215231,
2007-05,1204704,
2007-06,1195612,
2007-07,1008533,
2007-08,1148638,
2007-09,1061322,
2007-10,1299597,
2007-11,1195048,
2007-12,1220888,
2008-01,1085992,
2008-02,1177320,
2008-03,1197496,
2008-04,1169197,
2008-05,1247364,
2008-06,1251671,
2008-07,1087865,
2008-08,1079869,
2008-09,1206525,
2008-10,1183397,
2008-11,1016311,
2008-12,969275,
2009-01,793625,
2009-02,820329,
2009-03,914061,
2009-04,792218,
2009-05,774500,
2009-06,842761,
2009-07,792102,
2009-08,783477,
2009-09,918124,
2009-10,913183,
2009-11,923622,
2009-12,898441,
2010-01,822091,
2010-02,936098,
2010-03,1168031,
2010-04,974499,
2010-05,1010362,
2010-06,1266456,
2010-07,1091504,
2010-08,1051062,
2010-09,1104985,
2010-10,1137239,
2010-11,1108405,
2010-12,1149023,
2011-01,1108804,
2011-02,1122220,
2011-03,1302603,
2011-04,1191533,
2011-05,1201317,
2011-06,1252745,
2011-07,1158508,
2011-08,1091364,
2011-09,1224288,
2011-10,1135480,
2011-11,1240605,
2011-12,1085939,
2012-01,1105417,
2012-02,1229639,
2012-03,1175972,
2012-04,1137551,
2012-05,1260084,
2012-06,1150617,
2012-07,1113894,
2012-08,1097306,
2012-09,1213384,
2012-10,1240631,
2012-11,1115877,
2012-12,933588,
2013-01,1139866,
2013-02,1047941,
2013-03,1200563,
2013-04,1207575,
2013-05,1278191,
2013-06,1251315,
2013-07,1146020,
2013-08,1052323,
2013-09,1192600,
2013-10,1295863,
2013-11,1157596,
2013-12,937796,
2014-01,1162096,
2014-02,1136770,
2014-03,1270962,
2014-04,1191452,
2014-05,1088851,
2014-06,1269973,
2014-07,1109518,
2014-08,1093004,
2014-09,1195038,
2014-10,1353878,
2014-11,1211734,
2014-12,1039849,
