"",BBEX3.D.ARS.EUR.CA.AB.000,BBEX3.D.ARS.EUR.CA.AB.000_FLAGS
2002-11-24,.,No value available
2002-11-25,3.4755,
2002-11-26,3.4497,
2002-11-27,3.4685,
2002-11-28,3.5482,
2002-11-29,3.6167,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,3.5621,
2002-12-03,3.5280,
2002-12-04,3.5307,
2002-12-05,3.5268,
2002-12-06,3.5568,
2002-12-07,.,No value available
2002-12-08,.,No value available
2002-12-09,3.5593,
2002-12-10,3.5496,
2002-12-11,3.5388,
2002-12-12,3.5655,
2002-12-13,3.5904,
2002-12-14,.,No value available
2002-12-15,.,No value available
2002-12-16,3.6154,
2002-12-17,3.6327,
2002-12-18,3.5851,
2002-12-19,3.5488,
2002-12-20,3.5797,
2002-12-21,.,No value available
2002-12-22,.,No value available
2002-12-23,3.5554,
2002-12-24,.,No value available
2002-12-25,.,No value available
2002-12-26,3.5244,
2002-12-27,3.5370,
2002-12-28,.,No value available
2002-12-29,.,No value available
2002-12-30,3.5389,
2002-12-31,.,No value available
2003-01-01,.,No value available
2003-01-02,3.4656,
2003-01-03,3.4716,
2003-01-04,.,No value available
2003-01-05,.,No value available
2003-01-06,3.4832,
2003-01-07,3.4155,
2003-01-08,3.4577,
2003-01-09,3.5017,
2003-01-10,3.5376,
2003-01-11,.,No value available
2003-01-12,.,No value available
2003-01-13,3.5151,
2003-01-14,3.4317,
2003-01-15,3.4115,
2003-01-16,3.4523,
2003-01-17,3.4341,
2003-01-18,.,No value available
2003-01-19,.,No value available
2003-01-20,3.4076,
2003-01-21,3.3207,
2003-01-22,3.3352,
2003-01-23,3.3808,
2003-01-24,3.4895,
2003-01-25,.,No value available
2003-01-26,.,No value available
2003-01-27,3.6019,
2003-01-28,3.5942,
2003-01-29,3.5870,
2003-01-30,3.5022,
2003-01-31,3.4440,
2003-02-01,.,No value available
2003-02-02,.,No value available
2003-02-03,3.4220,
2003-02-04,3.4505,
2003-02-05,3.4049,
2003-02-06,3.4143,
2003-02-07,3.4023,
2003-02-08,.,No value available
2003-02-09,.,No value available
2003-02-10,3.3610,
2003-02-11,3.3401,
2003-02-12,3.3345,
2003-02-13,3.4176,
2003-02-14,3.4277,
2003-02-15,.,No value available
2003-02-16,.,No value available
2003-02-17,3.3938,
2003-02-18,3.3887,
2003-02-19,3.4257,
2003-02-20,3.4735,
2003-02-21,3.4436,
2003-02-22,.,No value available
2003-02-23,.,No value available
2003-02-24,3.4220,
2003-02-25,3.4106,
2003-02-26,3.4220,
2003-02-27,3.4293,
2003-02-28,3.4407,
2003-03-01,.,No value available
2003-03-02,.,No value available
2003-03-03,3.4912,
2003-03-04,3.4643,
2003-03-05,3.4746,
2003-03-06,3.4983,
2003-03-07,3.4722,
2003-03-08,.,No value available
2003-03-09,.,No value available
2003-03-10,3.4706,
2003-03-11,3.4552,
2003-03-12,3.4313,
2003-03-13,3.3908,
2003-03-14,3.3471,
2003-03-15,.,No value available
2003-03-16,.,No value available
2003-03-17,3.2928,
2003-03-18,3.2519,
2003-03-19,3.1876,
2003-03-20,3.2154,
2003-03-21,3.1761,
2003-03-22,.,No value available
2003-03-23,.,No value available
2003-03-24,3.1814,
2003-03-25,3.1329,
2003-03-26,3.0960,
2003-03-27,3.0761,
2003-03-28,3.2145,
2003-03-29,.,No value available
2003-03-30,.,No value available
2003-03-31,.,No value available
2003-04-01,3.2226,
2003-04-02,3.1213,
2003-04-03,3.1140,
2003-04-04,3.1071,
2003-04-05,.,No value available
2003-04-06,.,No value available
2003-04-07,3.0856,
2003-04-08,3.1218,
2003-04-09,3.1416,
2003-04-10,3.1166,
2003-04-11,3.1207,
2003-04-12,.,No value available
2003-04-13,.,No value available
2003-04-14,3.1547,
2003-04-15,3.1913,
2003-04-16,.,No value available
2003-04-17,.,No value available
2003-04-18,.,No value available
2003-04-19,.,No value available
2003-04-20,.,No value available
2003-04-21,3.1365,
2003-04-22,3.1265,
2003-04-23,3.1089,
2003-04-24,3.1577,
2003-04-25,3.1549,
2003-04-26,.,No value available
2003-04-27,.,No value available
2003-04-28,3.1426,
2003-04-29,3.1487,
2003-04-30,3.1477,
2003-05-01,.,No value available
2003-05-02,3.1318,
2003-05-03,.,No value available
2003-05-04,.,No value available
2003-05-05,3.1587,
2003-05-06,3.1822,
2003-05-07,3.1736,
2003-05-08,3.1727,
2003-05-09,3.1942,
2003-05-10,.,No value available
2003-05-11,.,No value available
2003-05-12,3.2016,
2003-05-13,3.1913,
2003-05-14,3.2203,
2003-05-15,3.2569,
2003-05-16,3.3969,
2003-05-17,.,No value available
2003-05-18,.,No value available
2003-05-19,3.3992,
2003-05-20,3.3661,
2003-05-21,3.3297,
2003-05-22,3.3646,
2003-05-23,3.4298,
2003-05-24,.,No value available
2003-05-25,.,No value available
2003-05-26,3.4061,
2003-05-27,3.4055,
2003-05-28,.,No value available
2003-05-29,3.4240,
2003-05-30,3.3587,
2003-05-31,.,No value available
2003-06-01,.,No value available
2003-06-02,3.3505,
2003-06-03,3.3210,
2003-06-04,3.2998,
2003-06-05,3.3561,
2003-06-06,.,No value available
2003-06-07,.,No value available
2003-06-08,.,No value available
2003-06-09,3.3071,
2003-06-10,3.2897,
2003-06-11,3.3161,
2003-06-12,3.3351,
2003-06-13,3.3468,
2003-06-14,.,No value available
2003-06-15,.,No value available
2003-06-16,.,No value available
2003-06-17,3.3082,
2003-06-18,3.2637,
2003-06-19,3.2838,
2003-06-20,3.2502,
2003-06-21,.,No value available
2003-06-22,.,No value available
2003-06-23,3.2278,
2003-06-24,3.1827,
2003-06-25,3.2113,
2003-06-26,3.1915,
2003-06-27,.,No value available
2003-06-28,.,No value available
2003-06-29,.,No value available
2003-06-30,3.2144,
2003-07-01,3.2416,
2003-07-02,3.2248,
2003-07-03,3.2087,
2003-07-04,3.2106,
2003-07-05,.,No value available
2003-07-06,.,No value available
2003-07-07,3.1554,
2003-07-08,3.1349,
2003-07-09,.,No value available
2003-07-10,3.1448,
2003-07-11,3.1205,
2003-07-12,.,No value available
2003-07-13,.,No value available
2003-07-14,3.1254,
2003-07-15,3.1027,
2003-07-16,3.1164,
2003-07-17,3.1312,
2003-07-18,3.1620,
2003-07-19,.,No value available
2003-07-20,.,No value available
2003-07-21,3.1713,
2003-07-22,3.1458,
2003-07-23,3.1889,
2003-07-24,3.2180,
2003-07-25,3.2469,
2003-07-26,.,No value available
2003-07-27,.,No value available
2003-07-28,3.2603,
2003-07-29,3.2629,
2003-07-30,3.3015,
2003-07-31,3.2792,
2003-08-01,3.3057,
2003-08-02,.,No value available
2003-08-03,.,No value available
2003-08-04,3.3575,
2003-08-05,3.3303,
2003-08-06,3.3167,
2003-08-07,3.3338,
2003-08-08,3.3119,
2003-08-09,.,No value available
2003-08-10,.,No value available
2003-08-11,3.3123,
2003-08-12,3.2793,
2003-08-13,3.2647,
2003-08-14,3.2548,
2003-08-15,3.2577,
2003-08-16,.,No value available
2003-08-17,.,No value available
2003-08-18,.,No value available
2003-08-19,3.2211,
2003-08-20,3.2377,
2003-08-21,3.2199,
2003-08-22,3.2096,
2003-08-23,.,No value available
2003-08-24,.,No value available
2003-08-25,3.1827,
2003-08-26,3.2046,
2003-08-27,3.2196,
2003-08-28,3.2081,
2003-08-29,3.2424,
2003-08-30,.,No value available
2003-08-31,.,No value available
2003-09-01,3.2465,
2003-09-02,3.2279,
2003-09-03,3.2372,
2003-09-04,3.2265,
2003-09-05,3.2517,
2003-09-06,.,No value available
2003-09-07,.,No value available
2003-09-08,3.2622,
2003-09-09,3.3034,
2003-09-10,3.2867,
2003-09-11,3.2434,
2003-09-12,3.2811,
2003-09-13,.,No value available
2003-09-14,.,No value available
2003-09-15,3.2640,
2003-09-16,3.2332,
2003-09-17,3.2810,
2003-09-18,3.2726,
2003-09-19,3.3084,
2003-09-20,.,No value available
2003-09-21,.,No value available
2003-09-22,3.3338,
2003-09-23,3.3275,
2003-09-24,3.3174,
2003-09-25,3.3266,
2003-09-26,3.3329,
2003-09-27,.,No value available
2003-09-28,.,No value available
2003-09-29,3.3730,
2003-09-30,3.3951,
2003-10-01,3.3936,
2003-10-02,3.3948,
2003-10-03,3.3385,
2003-10-04,.,No value available
2003-10-05,.,No value available
2003-10-06,3.3551,
2003-10-07,3.3853,
2003-10-08,3.3724,
2003-10-09,3.3344,
2003-10-10,3.3491,
2003-10-11,.,No value available
2003-10-12,.,No value available
2003-10-13,.,No value available
2003-10-14,3.3301,
2003-10-15,3.3015,
2003-10-16,3.3055,
2003-10-17,3.3085,
2003-10-18,.,No value available
2003-10-19,.,No value available
2003-10-20,3.3286,
2003-10-21,3.3220,
2003-10-22,3.3678,
2003-10-23,3.3495,
2003-10-24,3.3577,
2003-10-25,.,No value available
2003-10-26,.,No value available
2003-10-27,3.3401,
2003-10-28,3.3257,
2003-10-29,3.3326,
2003-10-30,3.3390,
2003-10-31,3.3214,
2003-11-01,.,No value available
2003-11-02,.,No value available
2003-11-03,3.2693,
2003-11-04,3.2847,
2003-11-05,3.2721,
2003-11-06,.,No value available
2003-11-07,3.2797,
2003-11-08,.,No value available
2003-11-09,.,No value available
2003-11-10,3.2818,
2003-11-11,3.2930,
2003-11-12,3.3309,
2003-11-13,3.3526,
2003-11-14,3.3734,
2003-11-15,.,No value available
2003-11-16,.,No value available
2003-11-17,3.3618,
2003-11-18,3.4073,
2003-11-19,3.4210,
2003-11-20,3.4246,
2003-11-21,3.4434,
2003-11-22,.,No value available
2003-11-23,.,No value available
2003-11-24,3.4098,
2003-11-25,3.4436,
2003-11-26,3.5575,
2003-11-27,3.5284,
2003-11-28,3.5853,
2003-11-29,.,No value available
2003-11-30,.,No value available
2003-12-01,3.5632,
2003-12-02,3.5950,
2003-12-03,3.5892,
2003-12-04,3.5937,
2003-12-05,3.6028,
2003-12-06,.,No value available
2003-12-07,.,No value available
2003-12-08,.,No value available
2003-12-09,3.5915,
2003-12-10,3.5912,
2003-12-11,3.5887,
2003-12-12,3.6330,
2003-12-13,.,No value available
2003-12-14,.,No value available
2003-12-15,3.6453,
2003-12-16,3.6583,
2003-12-17,3.6755,
2003-12-18,3.6830,
2003-12-19,3.6737,
2003-12-20,.,No value available
2003-12-21,.,No value available
2003-12-22,3.6728,
2003-12-23,3.6699,
2003-12-24,3.6882,
2003-12-25,.,No value available
2003-12-26,3.6680,
2003-12-27,.,No value available
2003-12-28,.,No value available
2003-12-29,3.6746,
2003-12-30,3.6781,
2003-12-31,3.6836,
2004-01-01,.,No value available
2004-01-02,3.6836,
2004-01-03,.,No value available
2004-01-04,.,No value available
2004-01-05,3.6544,
2004-01-06,3.6623,
2004-01-07,3.6575,
2004-01-08,3.6948,
2004-01-09,3.7128,
2004-01-10,.,No value available
2004-01-11,.,No value available
2004-01-12,3.6427,
2004-01-13,3.6483,
2004-01-14,3.6573,
2004-01-15,3.6082,
2004-01-16,3.5664,
2004-01-17,.,No value available
2004-01-18,.,No value available
2004-01-19,3.5685,
2004-01-20,3.6403,
2004-01-21,3.6791,
2004-01-22,3.6743,
2004-01-23,3.6678,
2004-01-24,.,No value available
2004-01-25,.,No value available
2004-01-26,3.6477,
2004-01-27,3.6767,
2004-01-28,3.6894,
2004-01-29,3.6549,
2004-01-30,3.6489,
2004-01-31,.,No value available
2004-02-01,.,No value available
2004-02-02,3.6264,
2004-02-03,3.6833,
2004-02-04,3.6908,
2004-02-05,3.7248,
2004-02-06,3.7549,
2004-02-07,.,No value available
2004-02-08,.,No value available
2004-02-09,3.7333,
2004-02-10,3.7260,
2004-02-11,3.7676,
2004-02-12,3.7544,
2004-02-13,3.7204,
2004-02-14,.,No value available
2004-02-15,.,No value available
2004-02-16,3.7266,
2004-02-17,3.7606,
2004-02-18,3.7540,
2004-02-19,3.7292,
2004-02-20,3.6704,
2004-02-21,.,No value available
2004-02-22,.,No value available
2004-02-23,3.6757,
2004-02-24,3.6993,
2004-02-25,3.6547,
2004-02-26,3.6413,
2004-02-27,3.6453,
2004-02-28,.,No value available
2004-02-29,.,No value available
2004-03-01,3.6325,
2004-03-02,3.5621,
2004-03-03,3.5266,
2004-03-04,3.5632,
2004-03-05,3.6258,
2004-03-06,.,No value available
2004-03-07,.,No value available
2004-03-08,3.6254,
2004-03-09,3.6213,
2004-03-10,3.5755,
2004-03-11,3.5801,
2004-03-12,3.5586,
2004-03-13,.,No value available
2004-03-14,.,No value available
2004-03-15,3.5549,
2004-03-16,3.5518,
2004-03-17,3.5264,
2004-03-18,3.5781,
2004-03-19,3.5288,
2004-03-20,.,No value available
2004-03-21,.,No value available
2004-03-22,3.5447,
2004-03-23,3.5430,
2004-03-24,3.5036,
2004-03-25,3.5010,
2004-03-26,3.4911,
2004-03-27,.,No value available
2004-03-28,.,No value available
2004-03-29,3.4857,
2004-03-30,3.4858,
2004-03-31,3.5161,
2004-04-01,3.5135,
2004-04-02,3.4502,
2004-04-03,.,No value available
2004-04-04,.,No value available
2004-04-05,.,No value available
2004-04-06,3.4166,
2004-04-07,3.4152,
2004-04-08,.,No value available
2004-04-09,.,No value available
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,3.3911,
2004-04-13,3.3583,
2004-04-14,3.3561,
2004-04-15,3.3760,
2004-04-16,3.3840,
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,3.3958,
2004-04-20,3.3828,
2004-04-21,3.3814,
2004-04-22,3.3991,
2004-04-23,3.3760,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,3.3582,
2004-04-27,3.3800,
2004-04-28,3.3736,
2004-04-29,3.4105,
2004-04-30,3.4026,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,3.3998,
2004-05-04,3.4529,
2004-05-05,3.4853,
2004-05-06,3.5011,
2004-05-07,3.4716,
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,3.4602,
2004-05-11,3.4506,
2004-05-12,3.4837,
2004-05-13,3.4497,
2004-05-14,3.4523,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,3.4955,
2004-05-18,3.4762,
2004-05-19,3.4913,
2004-05-20,3.5117,
2004-05-21,3.5480,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,3.5613,
2004-05-25,.,No value available
2004-05-26,3.5864,
2004-05-27,3.6430,
2004-05-28,3.6227,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,3.6079,
2004-06-01,3.6207,
2004-06-02,3.5942,
2004-06-03,3.6260,
2004-06-04,3.6438,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,3.6609,
2004-06-08,3.6315,
2004-06-09,3.5769,
2004-06-10,3.5892,
2004-06-11,3.5676,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,3.5734,
2004-06-15,3.5867,
2004-06-16,3.5475,
2004-06-17,3.5689,
2004-06-18,3.5990,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,.,No value available
2004-06-22,3.5778,
2004-06-23,3.5566,
2004-06-24,3.5871,
2004-06-25,3.5874,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,3.6075,
2004-06-29,3.5954,
2004-06-30,3.5981,
2004-07-01,3.5929,
2004-07-02,3.6344,
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,3.6104,
2004-07-06,3.6159,
2004-07-07,3.6460,
2004-07-08,3.6664,
2004-07-09,.,No value available
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,3.6647,
2004-07-13,3.6296,
2004-07-14,3.6488,
2004-07-15,3.6332,
2004-07-16,3.6608,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,3.6667,
2004-07-20,3.6491,
2004-07-21,3.6118,
2004-07-22,3.6268,
2004-07-23,3.5951,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,3.6135,
2004-07-27,3.5831,
2004-07-28,3.5870,
2004-07-29,3.5837,
2004-07-30,3.5802,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,3.5925,
2004-08-03,3.6132,
2004-08-04,3.6427,
2004-08-05,3.6919,
2004-08-06,3.7562,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,3.7157,
2004-08-10,3.7103,
2004-08-11,3.6956,
2004-08-12,3.6870,
2004-08-13,3.7259,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,.,No value available
2004-08-17,3.7165,
2004-08-18,3.7099,
2004-08-19,3.7203,
2004-08-20,3.7044,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,3.6665,
2004-08-24,3.6167,
2004-08-25,3.6155,
2004-08-26,3.6418,
2004-08-27,3.6156,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,3.6255,
2004-08-31,3.6503,
2004-09-01,3.6613,
2004-09-02,3.6492,
2004-09-03,3.6135,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,3.6125,
2004-09-07,3.6171,
2004-09-08,3.6516,
2004-09-09,3.6576,
2004-09-10,3.6686,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,3.6746,
2004-09-14,3.6639,
2004-09-15,3.6183,
2004-09-16,3.6430,
2004-09-17,3.6406,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,3.6467,
2004-09-21,3.6844,
2004-09-22,3.6674,
2004-09-23,3.6895,
2004-09-24,3.6752,
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,3.6808,
2004-09-28,3.6800,
2004-09-29,3.6772,
2004-09-30,3.7051,
2004-10-01,3.6940,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,3.6435,
2004-10-05,3.6628,
2004-10-06,3.6520,
2004-10-07,3.6559,
2004-10-08,3.6854,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,.,No value available
2004-10-12,3.6528,
2004-10-13,3.6624,
2004-10-14,3.6845,
2004-10-15,3.6950,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,3.6926,
2004-10-19,3.7075,
2004-10-20,3.7255,
2004-10-21,3.7342,
2004-10-22,3.7431,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,3.7993,
2004-10-26,3.7909,
2004-10-27,3.7807,
2004-10-28,3.7974,
2004-10-29,3.7989,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,3.7834,
2004-11-02,3.7536,
2004-11-03,3.7819,
2004-11-04,3.8114,
2004-11-05,3.8290,
2004-11-06,.,No value available
2004-11-07,.,No value available
2004-11-08,3.8442,
2004-11-09,3.8291,
2004-11-10,3.8248,
2004-11-11,3.8289,
2004-11-12,3.8385,
2004-11-13,.,No value available
2004-11-14,.,No value available
2004-11-15,3.8188,
2004-11-16,3.8305,
2004-11-17,3.8207,
2004-11-18,3.8047,
2004-11-19,3.8394,
2004-11-20,.,No value available
2004-11-21,.,No value available
2004-11-22,3.8471,
2004-11-23,3.8502,
2004-11-24,3.8746,
2004-11-25,3.8974,
2004-11-26,3.9092,
2004-11-27,.,No value available
2004-11-28,.,No value available
2004-11-29,3.9236,
2004-11-30,3.9101,
2004-12-01,3.9193,
2004-12-02,3.9279,
2004-12-03,3.9883,
2004-12-04,.,No value available
2004-12-05,.,No value available
2004-12-06,4.0095,
2004-12-07,3.9983,
2004-12-08,.,No value available
2004-12-09,3.9512,
2004-12-10,3.9417,
2004-12-11,.,No value available
2004-12-12,.,No value available
2004-12-13,3.9566,
2004-12-14,3.9577,
2004-12-15,3.9908,
2004-12-16,3.9631,
2004-12-17,3.9567,
2004-12-18,.,No value available
2004-12-19,.,No value available
2004-12-20,3.9670,
2004-12-21,3.9678,
2004-12-22,3.9641,
2004-12-23,.,No value available
2004-12-24,3.9969,
2004-12-25,.,No value available
2004-12-26,.,No value available
2004-12-27,4.0367,
2004-12-28,4.0505,
2004-12-29,4.0428,
2004-12-30,4.0552,
2004-12-31,4.0592,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,4.0012,
2005-01-04,3.9401,
2005-01-05,3.9436,
2005-01-06,3.9089,
2005-01-07,3.8693,
