"",BBFN1.M.DE.N.1.L.BM.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BM.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1997-11,0.499,
1997-12,0.539,
1998-01,0.542,
1998-02,0.570,
1998-03,0.608,
1998-04,0.600,
1998-05,0.541,
1998-06,2.089,
1998-07,2.206,
1998-08,2.179,
1998-09,2.169,
1998-10,2.178,
1998-11,2.242,
1998-12,2.340,
1999-01,2.342,
1999-02,2.296,
1999-03,2.118,
1999-04,2.082,
1999-05,2.112,
1999-06,1.945,
1999-07,1.952,
1999-08,1.878,
1999-09,1.873,
1999-10,1.898,
1999-11,1.893,
1999-12,1.878,
2000-01,1.882,
2000-02,1.911,
2000-03,1.856,
2000-04,1.868,
2000-05,1.856,
2000-06,2.125,
2000-07,2.038,
2000-08,2.123,
2000-09,2.186,
2000-10,2.213,
2000-11,2.260,
2000-12,2.892,
2001-01,2.714,
2001-02,2.677,
2001-03,2.723,
2001-04,2.684,
2001-05,2.556,
2001-06,2.321,
2001-07,2.385,
2001-08,2.408,
2001-09,2.506,
2001-10,2.499,
2001-11,2.457,
2001-12,2.623,
2002-01,2.594,
2002-02,2.534,
2002-03,2.714,
2002-04,2.680,
2002-05,2.660,
2002-06,2.711,
2002-07,2.714,
2002-08,2.655,
2002-09,2.766,
2002-10,2.341,
2002-11,2.780,
2002-12,2.923,
2003-01,2.955,
2003-02,2.738,
2003-03,3.457,
2003-04,2.838,
2003-05,2.187,
2003-06,2.281,
2003-07,1.968,
2003-08,1.740,
2003-09,1.697,
2003-10,1.621,
2003-11,1.629,
2003-12,1.623,
2004-01,1.422,
2004-02,2.322,
2004-03,2.094,
2004-04,2.439,
2004-05,1.946,
2004-06,2.150,
2004-07,2.236,
2004-08,1.502,
2004-09,1.650,
2004-10,1.571,
2004-11,1.526,
2004-12,1.668,
2005-01,1.965,
2005-02,1.766,
2005-03,1.770,
2005-04,1.775,
2005-05,1.775,
2005-06,1.952,
2005-07,1.948,
2005-08,1.935,
2005-09,1.583,
2005-10,1.532,
2005-11,1.372,
2005-12,0.762,
2006-01,0.785,
2006-02,0.699,
2006-03,0.746,
2006-04,0.723,
2006-05,0.762,
2006-06,0.837,
2006-07,0.790,
2006-08,0.789,
2006-09,1.443,
2006-10,1.375,
2006-11,1.394,
2006-12,1.479,
2007-01,1.379,
2007-02,2.000,
2007-03,2.077,
2007-04,2.939,
2007-05,3.054,
2007-06,2.928,
2007-07,2.889,
2007-08,2.955,
2007-09,3.065,
2007-10,2.977,
2007-11,3.154,
2007-12,2.771,
2008-01,0.959,
2008-02,1.026,
2008-03,1.106,
2008-04,1.172,
2008-05,1.303,
2008-06,1.288,
2008-07,1.290,
2008-08,1.360,
2008-09,1.498,
2008-10,1.909,
2008-11,1.691,
2008-12,1.590,
2009-01,1.622,
2009-02,1.574,
2009-03,1.600,
2009-04,1.627,
2009-05,1.634,
2009-06,1.693,
2009-07,1.734,
2009-08,1.833,
2009-09,1.737,
2009-10,1.769,
2009-11,1.845,
2009-12,1.945,
2010-01,1.036,
2010-02,1.066,
2010-03,1.141,
2010-04,0.878,
2010-05,0.831,
2010-06,0.721,
2010-07,0.749,
2010-08,0.721,
2010-09,0.735,
2010-10,0.740,
2010-11,0.724,
2010-12,0.769,
2011-01,0.671,
2011-02,0.752,
2011-03,0.882,
2011-04,0.847,
2011-05,0.810,
2011-06,0.776,
2011-07,0.851,
2011-08,0.796,
2011-09,0.821,
2011-10,0.827,
2011-11,0.788,
2011-12,0.789,
2012-01,0.711,
2012-02,0.532,
2012-03,0.656,
2012-04,0.580,
2012-05,0.524,
2012-06,0.572,
2012-07,0.570,
2012-08,0.527,
2012-09,0.561,
2012-10,0.495,
2012-11,0.446,
2012-12,0.498,
2013-01,0.494,
2013-02,0.441,
2013-03,0.410,
2013-04,0.426,
2013-05,0.406,
2013-06,0.448,
2013-07,0.399,
2013-08,0.329,
2013-09,0.345,
2013-10,0.382,
2013-11,0.321,
2013-12,0.307,
2014-01,0.321,
2014-02,0.305,
2014-03,0.367,
2014-04,0.382,
2014-05,0.371,
2014-06,0.334,
2014-07,0.216,
2014-08,0.233,
2014-09,0.246,
2014-10,0.271,
2014-11,0.281,
2014-12,0.240,
