"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.T._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.T._T.N.N_FLAGS
1999-05,8605.150,
1999-06,-3699.137,
1999-07,9488.204,
1999-08,1026.675,
1999-09,5015.645,
1999-10,5534.766,
1999-11,867.265,
1999-12,1459.457,
2000-01,5541.113,
2000-02,6349.986,
2000-03,5920.425,
2000-04,7478.504,
2000-05,-3150.596,
2000-06,-9810.754,
2000-07,3912.890,
2000-08,9507.656,
2000-09,5909.018,
2000-10,5468.573,
2000-11,7880.743,
2000-12,11513.491,
2001-01,10484.071,
2001-02,5194.737,
2001-03,16854.550,
2001-04,9866.108,
2001-05,-498.079,
2001-06,1643.060,
2001-07,363.410,
2001-08,8558.087,
2001-09,6733.133,
2001-10,5998.939,
2001-11,13780.123,
2001-12,-3086.808,
2002-01,3336.234,
2002-02,5870.298,
2002-03,15332.991,
2002-04,-303.026,
2002-05,6999.156,
2002-06,-1266.995,
2002-07,-3004.266,
2002-08,-671.409,
2002-09,11242.379,
2002-10,4122.014,
2002-11,5275.424,
2002-12,-14149.935,
2003-01,8604.500,
2003-02,19571.058,
2003-03,5445.644,
2003-04,16224.240,
2003-05,9557.346,
2003-06,-13595.775,
2003-07,-6436.613,
2003-08,-3738.653,
2003-09,13216.687,
2003-10,99.787,
2003-11,11056.526,
2003-12,-3272.238,
2004-01,6624.742,
2004-02,7524.772,
2004-03,3960.806,
2004-04,5859.031,
2004-05,-20374.027,
2004-06,522.794,
2004-07,5580.006,
2004-08,8233.087,
2004-09,7924.738,
2004-10,-1523.477,
2004-11,19928.545,
2004-12,-18194.335,
2005-01,14490.692,
2005-02,7161.340,
2005-03,-9331.347,
2005-04,39178.515,
2005-05,-11427.235,
2005-06,-8690.920,
2005-07,10374.780,
2005-08,3349.531,
2005-09,9205.557,
2005-10,4171.266,
2005-11,3137.199,
2005-12,-1441.042,
2006-01,23524.888,
2006-02,-5921.089,
2006-03,5517.998,
2006-04,22710.647,
2006-05,793.614,
2006-06,7417.720,
2006-07,7612.082,
2006-08,6482.321,
2006-09,7954.507,
2006-10,10200.009,
2006-11,13995.168,
2006-12,-3337.292,
2007-01,25198.910,
2007-02,5929.964,
2007-03,8220.657,
2007-04,18692.138,
2007-05,8097.606,
2007-06,10554.776,
2007-07,395.619,
2007-08,22255.712,
2007-09,22137.998,
2007-10,11413.095,
2007-11,23949.350,
2007-12,-6577.416,
2008-01,19858.727,
2008-02,24672.710,
2008-03,16933.291,
2008-04,10247.888,
2008-05,14045.778,
2008-06,-7433.213,
2008-07,17845.902,
2008-08,15523.940,
2008-09,22724.809,
2008-10,6740.522,
2008-11,-4219.925,
2008-12,-21480.435,
2009-01,261.856,
2009-02,-14871.985,
2009-03,-2707.239,
2009-04,9707.896,
2009-05,682.775,
2009-06,15417.137,
2009-07,-9496.542,
2009-08,-11092.653,
2009-09,-11614.599,
2009-10,-7881.613,
2009-11,-9188.198,
2009-12,-15117.976,
2010-01,-3876.268,
2010-02,-1812.081,
2010-03,-6842.547,
2010-04,20847.450,
2010-05,11779.285,
2010-06,-34646.725,
2010-07,-26866.980,
2010-08,-586.983,
2010-09,-14868.535,
2010-10,-14582.009,
2010-11,8241.452,
2010-12,-28080.444,
2011-01,-1636.104,
2011-02,6294.977,
2011-03,-9862.082,
2011-04,21964.325,
2011-05,-1602.759,
2011-06,-9746.195,
2011-07,7185.095,
2011-08,9753.357,
2011-09,-4601.410,
2011-10,-10849.539,
2011-11,-1546.988,
2011-12,-4896.296,
2012-01,-2771.642,
2012-02,-6771.123,
2012-03,10680.515,
2012-04,2378.156,
2012-05,-9104.171,
2012-06,-8689.265,
2012-07,-1727.063,
2012-08,1674.965,
2012-09,884.128,
2012-10,-3443.739,
2012-11,8848.533,
2012-12,-30872.847,
2013-01,5144.952,
2013-02,-2071.662,
2013-03,2717.741,
2013-04,2049.352,
2013-05,-4534.699,
2013-06,-9967.797,
2013-07,-1241.210,
2013-08,-4817.768,
2013-09,-7838.131,
2013-10,-1730.269,
2013-11,3895.696,
2013-12,-11229.308,
2014-01,10112.699,
2014-02,3673.624,Provisional value
2014-03,-4012.915,Provisional value
2014-04,9542.758,Provisional value
2014-05,-2688.210,Provisional value
2014-06,393.406,Provisional value
2014-07,6737.784,Provisional value
2014-08,-3250.850,Provisional value
2014-09,-6931.179,
2014-10,-2677.145,
2014-11,3871.440,
2014-12,-22671.632,Provisional value
