"",BBEX3.M.CRC.USD.CA.AC.A01,BBEX3.M.CRC.USD.CA.AC.A01_FLAGS
2003-10,412.010,
2003-11,415.300,
2003-12,418.525,
2004-01,421.435,
2004-02,424.575,
2004-03,427.825,
2004-04,430.970,
2004-05,434.080,
2004-06,437.310,
2004-07,440.630,
2004-08,444.155,
2004-09,447.650,
2004-10,451.135,
2004-11,454.925,
2004-12,458.610,
2005-01,461.770,
2005-02,465.040,
2005-03,468.165,
2005-04,471.205,
2005-05,474.455,
2005-06,477.795,
2005-07,480.690,
2005-08,483.750,
2005-09,487.180,
2005-10,490.045,
2005-11,493.305,
2005-12,496.680,
2006-01,499.710,
2006-02,502.275,
2006-03,505.435,
2006-04,507.455,
2006-05,510.050,
2006-06,512.995,
2006-07,515.830,
2006-08,518.275,
2006-09,520.675,
2006-10,517.335,
2006-11,516.700,
2006-12,517.695,
2007-01,519.075,
2007-02,518.990,
2007-03,518.820,
2007-04,518.740,
2007-05,518.705,
2007-06,518.615,
2007-07,518.605,
2007-08,518.595,
2007-09,518.515,
2007-10,518.935,
2007-11,499.210,
2007-12,498.100,
2008-01,496.835,
2008-02,496.105,
2008-03,494.320,
2008-04,494.275,
2008-05,519.650,
2008-06,519.550,
2008-07,551.565,
2008-08,552.055,
2008-09,554.425,
2008-10,555.665,
2008-11,545.870,
2008-12,555.465,
2009-01,560.000,
2009-02,565.090,
2009-03,563.385,
2009-04,573.095,
2009-05,576.755,
2009-06,575.260,
2009-07,586.245,
2009-08,589.005,
2009-09,587.110,
2009-10,581.590,
2009-11,554.255,
2009-12,565.240,
2010-01,560.055,
2010-02,553.495,
2010-03,523.645,
2010-04,510.970,
2010-05,540.430,
2010-06,535.075,
2010-07,517.175,
2010-08,509.200,
2010-09,507.745,
2010-10,513.850,
2010-11,507.690,
2010-12,512.970,
2011-01,505.770,
2011-02,502.445,
2011-03,500.910,
2011-04,501.020,
2011-05,505.565,
2011-06,504.090,
2011-07,505.300,
2011-08,511.340,
2011-09,514.115,
2011-10,515.445,
2011-11,506.550,
2011-12,511.840,
2012-01,509.295,
2012-02,511.300,
2012-03,508.080,
2012-04,504.065,
2012-05,501.735,
2012-06,498.210,
2012-07,500.545,
2012-08,497.935,
2012-09,497.865,
2012-10,497.850,
2012-11,497.990,
2012-12,508.195,
2013-01,501.660,
2013-02,501.285,
2013-03,498.685,
2013-04,498.910,
2013-05,498.710,
2013-06,498.780,
2013-07,498.715,
2013-08,503.585,
2013-09,499.540,
2013-10,499.830,
2013-11,499.030,
2013-12,501.405,
2014-01,512.510,
2014-02,546.060,
2014-03,545.985,
2014-04,548.415,
2014-05,553.115,
2014-06,543.120,
2014-07,538.465,
2014-08,539.805,
2014-09,539.770,
2014-10,538.915,
2014-11,535.395,
2014-12,539.420,
2015-01,536.965,
"","Source: Calculated on the basis of the buying and selling rates of the following Banks: Since March 2003: Banco Central de Costa Rica, San José.  1991 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"",Comment on 1991-01: Exchange rate as of 17 January 1991.,
"",Comment on 1992-06: Exchange rate as of 26 June 1992.,
"",Comment on 1996-04: Exchange rate as of 26 April 1996.,
"",Comment on 1999-12: Exchange rate as of 28 December 1999.,
"",Comment on 2000-02: Exchange rate as of 25 February 2000.,
