"",BBDA1.M.DE.N.IM.S.A.W1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.W1.A.V.ABA.A_FLAGS
2010-12,68428684,
2011-01,69388862,
2011-02,72446865,
2011-03,79785477,
2011-04,73674669,
2011-05,77518623,
2011-06,75190853,
2011-07,75016891,
2011-08,73515609,
2011-09,77650175,
2011-10,78054831,
2011-11,77994747,
2011-12,72285230,
2012-01,72587891,
2012-02,75810773,
2012-03,81454060,
2012-04,72875921,
2012-05,76960565,
2012-06,76260555,
2012-07,76159337,
2012-08,73405432,
2012-09,74503581,
2012-10,82465454,
2012-11,76805849,
2012-12,66636057,
2013-01,75094146,
2013-02,71900361,
2013-03,75831449,
2013-04,76056807,
2013-05,74689461,
2013-06,75375805,
2013-07,76901593,
2013-08,71733764,
2013-09,74359340,
2013-10,81239356,
2013-11,76661872,
2013-12,68320483,
2014-01,75771490,
2014-02,75917210,
2014-03,78921153,
2014-04,76156608,
2014-05,74144014,
2014-06,76997461,
2014-07,77342702,
2014-08,70010687,
2014-09,80276359,
2014-10,81861195,
2014-11,78085925,
2014-12,71151143,
