"",BBDA1.M.DE.N.IM.S.A.B0.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.B0.A.V.ABA.A_FLAGS
2012-09,41354415,
2012-10,45112120,
2012-11,43790778,
2012-12,36617950,
2013-01,40976350,
2013-02,40921156,
2013-03,44351057,
2013-04,43446753,
2013-05,43472702,
2013-06,43497585,
2013-07,43322099,
2013-08,39256060,
2013-09,42524971,
2013-10,47651501,
2013-11,44229132,
2013-12,39813962,
2014-01,42398573,
2014-02,44923473,
2014-03,46783149,
2014-04,45065348,
2014-05,43361734,
2014-06,45657750,
2014-07,45162409,
2014-08,38708741,
2014-09,46631996,
2014-10,47864550,
2014-11,45900625,
2014-12,41054529,
