"",BBDA1.M.DE.N.EX.S.A.PT.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.PT.A.V.ABA.A_FLAGS
2003-10,552129,
2003-11,588083,
2003-12,514527,
2004-01,544223,
2004-02,474866,
2004-03,636193,
2004-04,568944,
2004-05,590756,
2004-06,560360,
2004-07,546160,
2004-08,527429,
2004-09,583651,
2004-10,572525,
2004-11,606800,
2004-12,508487,
2005-01,601923,
2005-02,581893,
2005-03,592396,
2005-04,621588,
2005-05,552184,
2005-06,742590,
2005-07,641460,
2005-08,527132,
2005-09,595706,
2005-10,676084,
2005-11,611908,
2005-12,610286,
2006-01,673130,
2006-02,546710,
2006-03,728744,
2006-04,638842,
2006-05,613667,
2006-06,635735,
2006-07,590722,
2006-08,511685,
2006-09,652624,
2006-10,651127,
2006-11,623108,
2006-12,519399,
2007-01,768806,
2007-02,676266,
2007-03,713712,
2007-04,703559,
2007-05,725566,
2007-06,685616,
2007-07,695337,
2007-08,603685,
2007-09,618203,
2007-10,667572,
2007-11,702260,
2007-12,775782,
2008-01,683522,
2008-02,685889,
2008-03,621142,
2008-04,815011,
2008-05,655100,
2008-06,679755,
2008-07,710738,
2008-08,611202,
2008-09,735827,
2008-10,704441,
2008-11,692983,
2008-12,537374,
2009-01,525393,
2009-02,505247,
2009-03,562066,
2009-04,511368,
2009-05,492782,
2009-06,482546,
2009-07,497940,
2009-08,437405,
2009-09,582641,
2009-10,567385,
2009-11,545083,
2009-12,485327,
2010-01,500551,
2010-02,528694,
2010-03,647182,
2010-04,525114,
2010-05,577442,
2010-06,1072254,
2010-07,672341,
2010-08,484164,
2010-09,623215,
2010-10,613086,
2010-11,642250,
2010-12,882227,
2011-01,606817,
2011-02,631414,
2011-03,699442,
2011-04,602077,
2011-05,664080,
2011-06,583244,
2011-07,552296,
2011-08,514861,
2011-09,582315,
2011-10,564644,
2011-11,580013,
2011-12,444504,
2012-01,545525,
2012-02,529720,
2012-03,594817,
2012-04,486515,
2012-05,541284,
2012-06,518311,
2012-07,480648,
2012-08,468105,
2012-09,491201,
2012-10,563497,
2012-11,545246,
2012-12,389047,
2013-01,532028,
2013-02,485038,
2013-03,553251,
2013-04,518937,
2013-05,546671,
2013-06,593148,
2013-07,533451,
2013-08,432028,
2013-09,536822,
2013-10,570999,
2013-11,579055,
2013-12,482753,
2014-01,595611,
2014-02,587806,
2014-03,592901,
2014-04,598222,
2014-05,604048,
2014-06,612846,
2014-07,599072,
2014-08,484937,
2014-09,609495,
2014-10,674155,
2014-11,625031,
2014-12,530956,
