"",BBEE1.M.I7.AAA.XZE01B.R.AACPE.M00,BBEE1.M.I7.AAA.XZE01B.R.AACPE.M00_FLAGS
2010-04,103.0674,
2010-05,100.0241,
2010-06,98.0458,
2010-07,99.7540,
2010-08,99.2796,
2010-09,99.4472,
2010-10,102.5894,
2010-11,101.1832,
2010-12,99.1643,
2011-01,99.0039,
2011-02,99.8985,
2011-03,101.6338,
2011-04,103.3642,
2011-05,102.1417,
2011-06,102.1628,
2011-07,101.0572,
2011-08,100.8526,
2011-09,99.9463,
2011-10,100.2437,
2011-11,99.8739,
2011-12,98.1675,
2012-01,96.3387,
2012-02,97.2707,
2012-03,97.3811,
2012-04,97.1627,
2012-05,95.6855,
2012-06,94.8935,
2012-07,93.2029,
2012-08,93.0808,
2012-09,94.9988,
2012-10,95.5346,
2012-11,94.9079,
2012-12,96.2991,
2013-01,97.9985,
2013-02,99.0393,
2013-03,97.8996,
2013-04,97.8750,
2013-05,98.0659,
2013-06,98.9574,
2013-07,98.9437,
2013-08,99.5262,
2013-09,99.1537,
2013-10,99.7661,
2013-11,99.4865,
2013-12,100.6576,
2014-01,100.2667,
2014-02,100.4045,
2014-03,101.3487,
2014-04,101.0333,
2014-05,100.1107,
2014-06,99.2510,
2014-07,98.7943,
2014-08,98.2014,
2014-09,96.6971,
2014-10,95.7578,Provisional value
2014-11,95.6608,Provisional value
2014-12,95.3494,Provisional value
2015-01,91.6469,Provisional value
"",Source: European Central Bank: EXR.M.E1.EUR.ERC0.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Japan, Lithuania, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland,the United Kingdom and the United States.                       Where consumer price indices were not yet available, estimates have been used.                                                        The weights used in these calculations are based on manufactured goodstrade and capture third-market effects.                            For details ofthe methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
