"",BBDE1.M.DE.N.GUA1.N2G470000.A.C.I10.L,BBDE1.M.DE.N.GUA1.N2G470000.A.C.I10.L_FLAGS
1964-09,46.9,
1964-10,56.6,
1964-11,56.6,
1964-12,75.3,
1965-01,44.8,
1965-02,44.0,
1965-03,52.2,
1965-04,56.7,
1965-05,52.7,
1965-06,51.1,
1965-07,56.0,
1965-08,49.0,
1965-09,52.3,
1965-10,57.9,
1965-11,61.5,
1965-12,76.9,
1966-01,47.1,
1966-02,46.9,
1966-03,57.2,
1966-04,57.1,
1966-05,56.0,
1966-06,52.5,
1966-07,56.4,
1966-08,52.1,
1966-09,54.0,
1966-10,58.4,
1966-11,61.8,
1966-12,77.0,
1967-01,49.2,
1967-02,46.9,
1967-03,57.2,
1967-04,54.1,
1967-05,55.2,
1967-06,54.4,
1967-07,55.0,
1967-08,52.5,
1967-09,54.5,
1967-10,57.9,
1967-11,62.0,
1967-12,82.7,
1968-01,48.3,
1968-02,48.2,
1968-03,56.7,
1968-04,59.9,
1968-05,59.0,
1968-06,53.8,
1968-07,58.2,
1968-08,56.4,
1968-09,55.5,
1968-10,64.0,
1968-11,68.8,
1968-12,82.9,
1969-01,54.0,
1969-02,50.7,
1969-03,61.6,
1969-04,62.5,
1969-05,64.4,
1969-06,58.6,
1969-07,64.5,
1969-08,59.3,
1969-09,62.2,
1969-10,71.1,
1969-11,72.5,
1969-12,91.6,
1970-01,57.3,
1970-02,54.8,
1970-03,66.4,
1970-04,68.6,
1970-05,66.5,
1970-06,66.7,
1970-07,71.1,
1970-08,61.2,
1970-09,67.0,
1970-10,76.8,
1970-11,78.3,
1970-12,97.8,
1971-01,61.2,
1971-02,59.5,
1971-03,73.3,
1971-04,75.0,
1971-05,71.6,
1971-06,69.4,
1971-07,74.0,
1971-08,64.5,
1971-09,71.4,
1971-10,78.0,
1971-11,83.0,
1971-12,97.0,
1972-01,64.1,
1972-02,65.1,
1972-03,79.8,
1972-04,71.7,
1972-05,76.1,
1972-06,73.9,
1972-07,73.8,
1972-08,73.4,
1972-09,74.2,
1972-10,80.0,
1972-11,83.9,
1972-12,102.8,
1973-01,69.4,
1973-02,67.3,
1973-03,79.3,
1973-04,77.3,
1973-05,77.9,
1973-06,75.1,
1973-07,72.8,
1973-08,70.2,
1973-09,72.4,
1973-10,82.0,
1973-11,84.0,
1973-12,97.9,
1974-01,67.9,
1974-02,63.1,
1974-03,75.1,
1974-04,77.7,
1974-05,77.0,
1974-06,69.1,
1974-07,75.7,
1974-08,69.9,
1974-09,70.9,
1974-10,82.9,
1974-11,83.3,
1974-12,96.9,
1975-01,68.9,
1975-02,65.6,
1975-03,76.6,
1975-04,79.1,
1975-05,77.6,
1975-06,73.0,
1975-07,76.7,
1975-08,69.9,
1975-09,76.1,
1975-10,86.8,
1975-11,85.7,
1975-12,104.8,
1976-01,72.2,
1976-02,69.4,
1976-03,81.2,
1976-04,82.9,
1976-05,78.0,
1976-06,76.7,
1976-07,79.7,
1976-08,71.7,
1976-09,79.0,
1976-10,83.9,
1976-11,91.0,
1976-12,110.5,
1977-01,71.5,
1977-02,70.5,
1977-03,85.8,
1977-04,81.5,
1977-05,82.4,
1977-06,80.6,
1977-07,81.9,
1977-08,76.6,
1977-09,81.9,
1977-10,85.5,
1977-11,93.2,
1977-12,116.1,
1978-01,74.9,
1978-02,72.6,
1978-03,89.0,
1978-04,84.4,
1978-05,83.7,
1978-06,85.0,
1978-07,81.7,
1978-08,79.4,
1978-09,85.1,
1978-10,89.8,
1978-11,94.8,
1978-12,114.8,
1979-01,78.4,
1979-02,74.2,
1979-03,92.4,
1979-04,87.9,
1979-05,90.0,
1979-06,88.3,
1979-07,82.7,
1979-08,82.1,
1979-09,81.8,
1979-10,94.3,
1979-11,97.5,
1979-12,113.1,
1980-01,83.4,
1980-02,77.6,
1980-03,86.3,
1980-04,85.8,
1980-05,85.3,
1980-06,79.4,
1980-07,87.5,
1980-08,80.1,
1980-09,85.9,
1980-10,97.4,
1980-11,97.1,
1980-12,120.4,
1981-01,81.4,
1981-02,77.6,
1981-03,85.5,
1981-04,86.3,
1981-05,82.5,
1981-06,80.0,
1981-07,86.7,
1981-08,79.4,
1981-09,83.3,
1981-10,95.3,
1981-11,94.5,
1981-12,119.5,
1982-01,77.1,
1982-02,73.1,
1982-03,88.1,
1982-04,85.1,
1982-05,78.9,
1982-06,78.0,
1982-07,81.0,
1982-08,75.8,
1982-09,79.2,
1982-10,87.7,
1982-11,93.3,
1982-12,117.2,
1983-01,74.2,
1983-02,72.6,
1983-03,89.9,
1983-04,79.2,
1983-05,80.5,
1983-06,81.2,
1983-07,78.7,
1983-08,77.5,
1983-09,83.6,
1983-10,89.0,
1983-11,94.3,
1983-12,116.5,
1984-01,76.4,
1984-02,76.1,
1984-03,84.4,
1984-04,82.7,
1984-05,82.3,
1984-06,80.4,
1984-07,81.2,
1984-08,79.9,
1984-09,81.8,
1984-10,90.6,
1984-11,93.9,
1984-12,114.4,
1985-01,79.9,
1985-02,72.5,
1985-03,84.3,
1985-04,84.5,
1985-05,84.7,
1985-06,77.8,
1985-07,85.0,
1985-08,82.3,
1985-09,81.2,
1985-10,93.3,
1985-11,97.0,
1985-12,111.8,
1986-01,80.1,
1986-02,73.7,
1986-03,84.3,
1986-04,88.5,
1986-05,87.2,
1986-06,81.2,
1986-07,86.5,
1986-08,80.3,
1986-09,86.2,
1986-10,95.1,
1986-11,94.9,
1986-12,119.6,
1987-01,82.2,
1987-02,76.4,
1987-03,86.0,
1987-04,93.1,
1987-05,86.0,
1987-06,84.0,
1987-07,92.0,
1987-08,84.1,
1987-09,87.5,
1987-10,99.6,
1987-11,100.9,
1987-12,124.5,
1988-01,83.4,
1988-02,81.6,
1988-03,98.7,
1988-04,89.5,
1988-05,91.1,
1988-06,87.7,
1988-07,90.5,
1988-08,88.0,
1988-09,92.4,
1988-10,97.5,
1988-11,105.1,
1988-12,127.9,
1989-01,86.0,
1989-02,82.5,
1989-03,97.9,
1989-04,91.9,
1989-05,92.8,
1989-06,91.2,
1989-07,90.6,
1989-08,92.2,
1989-09,93.5,
1989-10,100.2,
1989-11,108.5,
1989-12,128.5,
1990-01,90.5,
1990-02,86.4,
1990-03,103.7,
1990-04,98.1,
1990-05,101.0,
1990-06,94.4,
1990-07,101.2,
1990-08,101.2,
1990-09,100.5,
1990-10,110.8,
1990-11,117.6,
1990-12,134.9,
1991-01,101.7,
1991-02,94.2,
1991-03,110.4,
1991-04,105.6,
1991-05,105.1,
1991-06,101.0,
1991-07,106.3,
1991-08,102.0,
1991-09,101.0,
1991-10,115.2,
1991-11,117.0,
1991-12,133.2,
1992-01,101.1,
1992-02,95.7,
1992-03,103.3,
1992-04,106.3,
1992-05,100.9,
1992-06,98.6,
1992-07,105.7,
1992-08,96.6,
1992-09,104.4,
1992-10,114.6,
1992-11,114.1,
1992-12,142.1,
1993-01,93.7,
1993-02,89.7,
1993-03,106.8,
1993-04,106.4,
1993-05,97.0,
1993-06,97.9,
1993-07,103.9,
1993-08,96.6,
1993-09,103.6,
1993-10,107.5,
1993-11,115.3,
1993-12,136.9,
1994-01,92.7,
1994-02,91.4,
1994-03,111.5,
1994-04,99.1,
1994-05,100.4,
1994-06,98.6,
1994-07,98.7,
1994-08,98.4,
1994-09,102.9,
1994-10,104.8,
1994-11,110.0,
1994-12,133.2,
1995-01,94.4,
1995-02,92.8,
1995-03,108.0,
1995-04,102.1,
1995-05,105.8,
1995-06,100.4,
1995-07,100.0,
1995-08,101.4,
1995-09,102.9,
1995-10,104.4,
1995-11,112.1,
1995-12,129.4,
1996-01,96.1,
1996-02,94.4,
1996-03,104.2,
1996-04,103.8,
1996-05,102.7,
1996-06,96.5,
1996-07,102.6,
1996-08,100.5,
1996-09,100.1,
1996-10,107.0,
1996-11,110.8,
1996-12,126.1,
1997-01,96.9,
1997-02,89.1,
1997-03,100.8,
1997-04,104.4,
1997-05,100.3,
1997-06,97.5,
1997-07,101.2,
1997-08,93.0,
1997-09,99.6,
1997-10,107.6,
1997-11,105.0,
1997-12,125.6,
1998-01,95.2,
1998-02,89.1,
1998-03,104.1,
1998-04,102.2,
1998-05,99.9,
1998-06,95.0,
1998-07,103.1,
1998-08,94.9,
1998-09,100.2,
1998-10,106.8,
1998-11,108.8,
1998-12,128.3,
1999-01,93.0,
1999-02,89.9,
1999-03,109.2,
1999-04,99.4,
1999-05,97.6,
1999-06,97.4,
1999-07,101.6,
1999-08,95.5,
1999-09,97.8,
1999-10,105.7,
1999-11,109.3,
1999-12,128.4,
2000-01,91.5,
2000-02,94.4,
2000-03,104.8,
2000-04,102.3,
2000-05,107.1,
2000-06,95.7,
2000-07,98.8,
2000-08,100.1,
2000-09,100.7,
2000-10,104.3,
2000-11,110.0,
2000-12,126.4,
2001-01,97.2,
2001-02,90.2,
2001-03,106.4,
2001-04,102.4,
2001-05,105.1,
2001-06,97.8,
2001-07,99.6,
2001-08,100.2,
2001-09,98.4,
2001-10,105.5,
2001-11,111.6,
2001-12,124.2,
2002-01,92.4,
2002-02,87.0,
2002-03,101.8,
2002-04,100.8,
2002-05,100.2,
2002-06,94.3,
2002-07,100.8,
2002-08,98.0,
2002-09,97.7,
2002-10,106.1,
2002-11,107.3,
2002-12,120.9,
2003-01,91.9,
2003-02,86.4,
2003-03,98.1,
2003-04,101.7,
2003-05,101.2,
2003-06,92.6,
2003-07,99.8,
2003-08,93.8,
2003-09,98.7,
2003-10,105.9,
2003-11,103.1,
2003-12,121.2,
2004-01,92.9,
2004-02,88.3,
2004-03,104.2,
2004-04,103.9,
2004-05,96.5,
2004-06,98.5,
2004-07,101.9,
2004-08,95.4,
2004-09,100.1,
2004-10,104.7,
2004-11,108.1,
2004-12,124.0,
2005-01,93.4,
2005-02,89.3,
2005-03,104.6,
2005-04,104.1,
2005-05,100.4,
2005-06,101.0,
2005-07,100.1,
2005-08,100.6,
2005-09,101.6,
2005-10,104.6,
2005-11,108.8,
2005-12,124.6,
2006-01,95.2,
2006-02,89.6,
2006-03,104.7,
2006-04,101.7,
2006-05,104.3,
2006-06,100.3,
2006-07,99.6,
2006-08,101.5,
2006-09,100.5,
2006-10,104.4,
2006-11,108.6,
2006-12,126.3,
2007-01,93.8,
2007-02,89.6,
2007-03,107.0,
2007-04,101.9,
2007-05,100.2,
2007-06,99.5,
2007-07,98.9,
2007-08,100.7,
2007-09,97.8,
2007-10,106.6,
2007-11,106.6,
2007-12,118.4,
2008-01,95.4,
2008-02,93.2,
2008-03,99.4,
2008-04,102.4,
2008-05,102.0,
2008-06,96.1,
2008-07,100.8,
2008-08,97.3,
2008-09,101.4,
2008-10,106.7,
2008-11,104.3,
2008-12,122.4,
2009-01,92.7,
2009-02,85.9,
2009-03,97.9,
2009-04,101.8,
2009-05,96.9,
2009-06,93.1,
2009-07,99.5,
2009-08,93.3,
2009-09,97.1,
2009-10,104.2,
2009-11,100.9,
2009-12,119.7,
2010-01,88.1,
2010-02,86.7,
2010-03,104.3,
2010-04,98.6,
2010-05,97.4,
2010-06,98.7,
2010-07,102.9,
2010-08,96.3,
2010-09,99.1,
2010-10,103.9,
2010-11,104.3,
2010-12,119.5,
2011-01,91.0,
2011-02,89.3,
2011-03,101.3,
2011-04,103.3,
2011-05,101.8,
2011-06,96.7,
2011-07,100.4,
2011-08,99.6,
2011-09,100.3,
2011-10,103.5,
2011-11,105.2,
2011-12,120.5,
2012-01,92.8,
2012-02,91.5,
2012-03,105.6,
2012-04,98.4,
2012-05,101.1,
2012-06,101.1,
2012-07,99.4,
2012-08,99.6,
2012-09,97.2,
2012-10,105.1,
2012-11,105.7,
2012-12,116.8,
2013-01,94.8,
2013-02,88.5,
2013-03,102.5,
2013-04,100.9,
2013-05,101.3,
2013-06,98.2,
2013-07,102.7,
2013-08,100.0,
2013-09,97.4,
2013-10,104.9,
2013-11,107.4,
2013-12,117.0,
2014-01,95.7,Provisional value
2014-02,90.6,Provisional value
2014-03,101.8,Provisional value
2014-04,104.5,Provisional value
2014-05,103.6,Provisional value
2014-06,98.3,Provisional value
2014-07,103.9,Provisional value
2014-08,99.0,Provisional value
2014-09,100.1,Provisional value
2014-10,107.5,Provisional value
2014-11,106.1,Provisional value
2014-12,122.6,Provisional value
