"",BBFN1.M.DE.N.1.L.NO.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NO.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1998-02,.,No value available
1998-03,0.038,
1998-04,0.041,
1998-05,0.054,
1998-06,0.044,
1998-07,0.043,
1998-08,0.080,
1998-09,0.082,
1998-10,0.087,
1998-11,0.164,
1998-12,0.087,
1999-01,0.126,
1999-02,0.091,
1999-03,0.074,
1999-04,0.062,
1999-05,0.075,
1999-06,0.073,
1999-07,0.069,
1999-08,0.058,
1999-09,0.077,
1999-10,0.062,
1999-11,0.048,
1999-12,0.044,
2000-01,0.103,
2000-02,0.091,
2000-03,0.090,
2000-04,.,No value available
2000-05,0.079,
2000-06,0.093,
2000-07,0.071,
2000-08,0.068,
2000-09,0.936,
2000-10,0.904,
2000-11,0.910,
2000-12,0.987,
2001-01,0.096,
2001-02,0.116,
2001-03,0.136,
2001-04,0.124,
2001-05,0.074,
2001-06,0.083,
2001-07,0.079,
2001-08,0.094,
2001-09,0.114,
2001-10,0.117,
2001-11,0.123,
2001-12,0.186,
2002-01,0.155,
2002-02,0.130,
2002-03,0.121,
2002-04,0.146,
2002-05,0.123,
2002-06,0.184,
2002-07,0.133,
2002-08,0.149,
2002-09,0.165,
2002-10,0.148,
2002-11,0.157,
2002-12,0.150,
2003-01,0.128,
2003-02,0.186,
2003-03,0.204,
2003-04,0.178,
2003-05,0.185,
2003-06,0.184,
2003-07,0.189,
2003-08,0.230,
2003-09,0.207,
2003-10,0.173,
2003-11,0.226,
2003-12,0.304,
2004-01,0.305,
2004-02,0.274,
2004-03,0.229,
2004-04,0.160,
2004-05,0.191,
2004-06,0.327,
2004-07,0.304,
2004-08,0.240,
2004-09,0.317,
2004-10,0.272,
2004-11,0.227,
2004-12,0.290,
2005-01,0.327,
2005-02,0.293,
2005-03,0.341,
2005-04,0.199,
2005-05,0.187,
2005-06,0.196,
2005-07,0.222,
2005-08,0.274,
2005-09,0.284,
2005-10,0.220,
2005-11,0.274,
2005-12,0.774,
2006-01,0.849,
2006-02,0.872,
2006-03,0.857,
2006-04,0.851,
2006-05,0.753,
2006-06,0.768,
2006-07,0.705,
2006-08,0.290,
2006-09,0.313,
2006-10,0.295,
2006-11,0.316,
2006-12,0.385,
2007-01,0.365,
2007-02,0.382,
2007-03,0.808,
2007-04,0.819,
2007-05,0.873,
2007-06,1.031,
2007-07,1.025,
2007-08,0.954,
2007-09,1.066,
2007-10,1.020,
2007-11,1.025,
2007-12,1.114,
2008-01,1.046,
2008-02,1.020,
2008-03,1.047,
2008-04,1.012,
2008-05,1.021,
2008-06,1.108,
2008-07,1.117,
2008-08,1.123,
2008-09,1.131,
2008-10,1.019,
2008-11,1.015,
2008-12,0.972,
2009-01,1.052,
2009-02,1.038,
2009-03,0.445,
2009-04,0.490,
2009-05,0.523,
2009-06,0.475,
2009-07,0.520,
2009-08,0.604,
2009-09,0.640,
2009-10,0.638,
2009-11,0.569,
2009-12,0.669,
2010-01,0.668,
2010-02,0.616,
2010-03,0.704,
2010-04,0.683,
2010-05,0.647,
2010-06,0.698,
2010-07,0.671,
2010-08,0.730,
2010-09,0.799,
2010-10,0.941,
2010-11,0.943,
2010-12,1.015,
2011-01,0.926,
2011-02,1.011,
2011-03,0.967,
2011-04,1.035,
2011-05,0.927,
2011-06,1.064,
2011-07,1.199,
2011-08,1.196,
2011-09,1.185,
2011-10,1.295,
2011-11,1.224,
2011-12,1.215,
2012-01,1.182,
2012-02,0.942,
2012-03,1.194,
2012-04,1.208,
2012-05,1.121,
2012-06,1.242,
2012-07,1.120,
2012-08,1.186,
2012-09,1.206,
2012-10,1.394,
2012-11,1.133,
2012-12,1.448,
2013-01,1.372,
2013-02,1.298,
2013-03,1.333,
2013-04,1.366,
2013-05,1.388,
2013-06,1.102,
2013-07,0.884,
2013-08,1.002,
2013-09,1.039,
2013-10,1.131,
2013-11,1.206,
2013-12,1.388,
2014-01,1.519,
2014-02,1.709,
2014-03,2.112,
2014-04,1.855,
2014-05,1.562,
2014-06,1.536,
2014-07,1.521,
2014-08,1.541,
2014-09,1.483,
2014-10,1.466,
2014-11,1.523,
2014-12,1.412,
