"",BBDE1.M.DE.Y.BAA1.A2R200050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R200050.G.C.I10.A_FLAGS
1999-02,79.2,
1999-03,81.9,
1999-04,81.0,
1999-05,81.1,
1999-06,81.3,
1999-07,81.9,
1999-08,82.7,
1999-09,84.1,
1999-10,83.5,
1999-11,84.7,
1999-12,84.2,
2000-01,81.5,
2000-02,83.8,
2000-03,81.8,
2000-04,82.8,
2000-05,85.9,
2000-06,85.1,
2000-07,84.9,
2000-08,87.0,
2000-09,85.6,
2000-10,86.3,
2000-11,87.4,
2000-12,85.1,
2001-01,85.5,
2001-02,84.1,
2001-03,83.0,
2001-04,83.9,
2001-05,82.7,
2001-06,84.6,
2001-07,84.1,
2001-08,83.2,
2001-09,81.3,
2001-10,82.6,
2001-11,81.3,
2001-12,79.8,
2002-01,83.8,
2002-02,85.7,
2002-03,87.1,
2002-04,85.5,
2002-05,86.6,
2002-06,86.5,
2002-07,86.8,
2002-08,87.0,
2002-09,86.8,
2002-10,86.0,
2002-11,86.7,
2002-12,85.3,
2003-01,86.8,
2003-02,84.8,
2003-03,88.7,
2003-04,88.0,
2003-05,86.8,
2003-06,86.5,
2003-07,86.5,
2003-08,85.3,
2003-09,82.2,
2003-10,86.0,
2003-11,85.8,
2003-12,88.2,
2004-01,85.7,
2004-02,88.5,
2004-03,85.5,
2004-04,89.8,
2004-05,86.5,
2004-06,87.3,
2004-07,86.8,
2004-08,89.9,
2004-09,89.5,
2004-10,89.4,
2004-11,91.8,
2004-12,91.8,
2005-01,91.7,
2005-02,91.9,
2005-03,92.5,
2005-04,90.9,
2005-05,91.4,
2005-06,91.3,
2005-07,92.0,
2005-08,93.6,
2005-09,93.8,
2005-10,97.5,
2005-11,94.1,
2005-12,93.8,
2006-01,95.3,
2006-02,95.5,
2006-03,93.2,
2006-04,94.1,
2006-05,98.6,
2006-06,94.5,
2006-07,97.0,
2006-08,97.2,
2006-09,99.6,
2006-10,96.8,
2006-11,97.6,
2006-12,105.2,
2007-01,99.1,
2007-02,100.5,
2007-03,101.1,
2007-04,103.1,
2007-05,103.2,
2007-06,99.9,
2007-07,101.1,
2007-08,103.8,
2007-09,103.8,
2007-10,102.0,
2007-11,101.0,
2007-12,104.6,
2008-01,103.6,
2008-02,102.0,
2008-03,103.7,
2008-04,101.7,
2008-05,100.3,
2008-06,102.6,
2008-07,102.5,
2008-08,103.4,
2008-09,99.8,
2008-10,100.1,
2008-11,90.2,
2008-12,85.7,
2009-01,84.4,
2009-02,85.5,
2009-03,84.1,
2009-04,85.4,
2009-05,87.3,
2009-06,90.1,
2009-07,91.0,
2009-08,90.8,
2009-09,93.6,
2009-10,93.2,
2009-11,97.7,
2009-12,93.3,
2010-01,96.2,
2010-02,96.1,
2010-03,98.7,
2010-04,97.9,
2010-05,99.4,
2010-06,100.3,
2010-07,100.1,
2010-08,102.3,
2010-09,101.6,
2010-10,101.4,
2010-11,101.5,
2010-12,100.0,
2011-01,103.0,
2011-02,105.2,
2011-03,105.3,
2011-04,104.4,
2011-05,104.0,
2011-06,103.4,
2011-07,103.1,
2011-08,99.5,
2011-09,98.6,
2011-10,98.9,
2011-11,98.3,
2011-12,96.8,
2012-01,97.9,
2012-02,98.1,
2012-03,100.8,
2012-04,99.0,
2012-05,99.4,
2012-06,98.6,
2012-07,100.0,
2012-08,100.3,
2012-09,99.6,
2012-10,100.5,
2012-11,99.0,
2012-12,101.4,
2013-01,99.8,
2013-02,98.9,
2013-03,100.2,
2013-04,98.9,
2013-05,102.7,
2013-06,101.2,
2013-07,101.5,
2013-08,100.4,
2013-09,102.0,
2013-10,103.6,
2013-11,104.3,
2013-12,106.4,
2014-01,102.9,
2014-02,102.7,
2014-03,101.2,
2014-04,102.3,
2014-05,98.7,
2014-06,100.3,
2014-07,100.4,
2014-08,103.6,
2014-09,100.3,
2014-10,101.0,Provisional value
2014-11,101.8,Provisional value
2014-12,101.1,Provisional value
