"",BBEX3.M.SEK.USD.CA.AC.A02,BBEX3.M.SEK.USD.CA.AC.A02_FLAGS
1984-08,8.3554,
1984-09,8.5710,
1984-10,8.6850,
1984-11,8.5764,
1984-12,8.8450,
1985-01,9.0638,
1985-02,9.3145,
1985-03,9.4170,
1985-04,8.9601,
1985-05,9.0020,
1985-06,8.8511,
1985-07,8.4926,
1985-08,8.2994,
1985-09,8.3945,
1985-10,7.9540,
1985-11,7.8046,
1985-12,7.6822,
1986-01,7.5898,
1986-02,7.3995,
1986-03,7.2338,
1986-04,7.2406,
1986-05,7.1525,
1986-06,7.2085,
1986-07,7.0632,
1986-08,6.9275,
1986-09,6.9108,
1986-10,6.8791,
1986-11,6.9613,
1986-12,6.9142,
1987-01,6.6016,
1987-02,6.5068,
1987-03,6.4124,
1987-04,6.3130,
1987-05,6.2463,
1987-06,6.3421,
1987-07,6.4338,
1987-08,6.4837,
1987-09,6.3756,
1987-10,6.3534,
1987-11,6.0674,
1987-12,5.9476,
1988-01,5.9674,
1988-02,6.0486,
1988-03,5.9479,
1988-04,5.8855,
1988-05,5.9014,
1988-06,6.0800,
1988-07,6.3361,
1988-08,6.4743,
1988-09,6.4373,
1988-10,6.2757,
1988-11,6.0866,
1988-12,6.0764,
1989-01,6.2508,
1989-02,6.3151,
1989-03,6.3754,
1989-04,6.3623,
1989-05,6.5875,
1989-06,6.6856,
1989-07,6.4675,
1989-08,6.5376,
1989-09,6.6045,
1989-10,6.4484,
1989-11,6.4227,
1989-12,6.2912,
1990-01,6.1796,
1990-02,6.1103,
1990-03,6.1644,
1990-04,6.1189,
1990-05,6.0514,
1990-06,6.0926,
1990-07,5.9530,
1990-08,5.7757,
1990-09,5.7665,
1990-10,5.6438,
1990-11,5.5660,
1990-12,5.6150,
1991-01,5.6393,
1991-02,5.5336,
1991-03,5.8793,
1991-04,6.1211,
1991-05,6.1444,
1991-06,6.4241,
1991-07,6.4821,
1991-08,6.3435,
1991-09,6.1825,
1991-10,6.1640,
1991-11,5.9402,
1991-12,5.7568,
1992-01,5.7477,
1992-02,5.8774,
1992-03,6.0319,
1992-04,5.9679,
1992-05,5.8430,
1992-06,5.6936,
1992-07,5.4077,
1992-08,5.2927,
1992-09,5.3677,
1992-10,5.5842,
1992-11,6.2265,comment
1992-12,6.8786,
1993-01,7.2563,
1993-02,7.5419,
1993-03,7.7464,
1993-04,7.4495,
1993-05,7.3407,
1993-06,7.4198,
1993-07,7.9602,
1993-08,8.0580,
1993-09,8.0240,
1993-10,8.0173,
1993-11,8.2666,
1993-12,8.3619,
1994-01,8.1324,
1994-02,7.9800,
1994-03,7.9168,
1994-04,7.8867,
1994-05,7.7215,
1994-06,7.8108,
1994-07,7.7639,
1994-08,7.7416,
1994-09,7.5403,
1994-10,7.2669,
1994-11,7.3502,
1994-12,7.5233,
1995-01,7.4686,
1995-02,7.3894,
1995-03,7.2687,
1995-04,7.3467,
1995-05,7.2929,
1995-06,7.2621,
1995-07,7.1824,
1995-08,7.2309,
1995-09,7.1450,
1995-10,6.8408,
1995-11,6.6001,
1995-12,6.6320,
1996-01,6.7247,
1996-02,6.8840,
1996-03,6.7365,
1996-04,6.7251,
1996-05,6.8020,
1996-06,6.6836,
1996-07,6.6438,
1996-08,6.6215,
1996-09,6.6445,
1996-10,6.6020,
1996-11,6.6248,
1996-12,6.8168,
1997-01,7.0620,
1997-02,7.4024,
1997-03,7.6571,
1997-04,7.6814,
1997-05,7.6761,
1997-06,7.7473,
1997-07,7.8076,
1997-08,7.9992,
1997-09,7.7027,
1997-10,7.5760,
1997-11,7.5628,
1997-12,7.7870,
1998-01,8.0118,
1998-02,8.0813,
1998-03,7.9690,
1998-04,7.8268,
1998-05,7.6939,
1998-06,7.9106,
1998-07,7.9884,
1998-08,8.1304,
1998-09,7.9142,
1998-10,7.8533,
1998-11,7.9969,
1998-12,8.0566,
1999-01,7.8268,
1999-02,7.9484,
1999-03,8.2155,
1999-04,8.3269,
1999-05,8.4453,
1999-06,8.5094,
1999-07,8.4600,
1999-08,8.2593,
1999-09,8.2225,
1999-10,8.1487,
1999-11,8.3403,
1999-12,8.4855,
2000-01,8.4730,
2000-02,8.6487,
2000-03,8.6971,
2000-04,8.7231,
2000-05,9.0864,
2000-06,8.7492,
2000-07,8.9371,
2000-08,9.2727,
2000-09,9.6594,
2000-10,9.9621,
2000-11,10.0805,
2000-12,9.6630,
2001-01,9.4694,
2001-02,9.7382,
2001-03,10.0341,
2001-04,10.2069,
2001-05,10.3429,
2001-06,10.7778,
2001-07,10.7691,
2001-08,10.3368,
2001-09,10.6134,
2001-10,10.5655,
2001-11,10.5990,
2001-12,10.5619,
2002-01,10.4423,
2002-02,10.5628,
2002-03,10.3414,
2002-04,10.3117,
2002-05,10.0494,
2002-06,9.5603,
2002-07,9.3515,
2002-08,9.4653,
2002-09,9.3516,
2002-10,9.2806,
2002-11,9.0667,
2002-12,8.9471,
2003-01,8.6398,
2003-02,8.4943,
2003-03,8.5310,
2003-04,8.4384,
2003-05,7.9241,
2003-06,7.8120,
2003-07,8.0819,
2003-08,8.2901,
2003-09,8.0854,
2003-10,7.6942,
2003-11,7.6844,
2003-12,7.3644,
2004-01,7.2505,
2004-02,7.2611,
2004-03,7.5257,
2004-04,7.6514,
2004-05,7.6073,
2004-06,7.5345,
2004-07,7.4943,
2004-08,7.5457,
2004-09,7.4497,
2004-10,7.2570,
2004-11,6.9402,
2004-12,6.7042,
2005-01,6.9009,
2005-02,6.9790,
2005-03,6.8767,
2005-04,7.0809,
2005-05,7.2495,
2005-06,7.6091,
2005-07,7.8293,
2005-08,7.6015,
2005-09,7.6227,
2005-10,7.8380,
2005-11,8.1094,
2005-12,7.9536,
2006-01,7.6964,
2006-02,7.8203,
2006-03,7.8186,
2006-04,7.6076,
2006-05,7.3136,
2006-06,7.2953,
2006-07,7.2615,
2006-08,7.1863,
2006-09,7.2799,
2006-10,7.3372,
2006-11,7.0708,
2006-12,6.8388,
2007-01,6.9835,
2007-02,7.0241,
2007-03,7.0236,
2007-04,6.8402,
2007-05,6.8135,
2007-06,6.9659,
2007-07,6.7005,
2007-08,6.8448,
2007-09,6.6913,
2007-10,6.4545,
2007-11,6.3299,
2007-12,6.4724,
2008-01,6.4188,
2008-02,6.3539,
2008-03,6.0644,
2008-04,5.9491,
2008-05,5.9925,
2008-06,6.0270,
2008-07,5.9994,
2008-08,6.2730,
2008-09,6.6517,
2008-10,7.4065,
2008-11,7.9564,
2008-12,8.0051,
2009-01,8.1076,
2009-02,8.5209,
2009-03,8.5709,
2009-04,8.2544,
2009-05,7.7620,
2009-06,7.7548,
2009-07,7.7008,
2009-08,7.1683,
2009-09,7.0088,
2009-10,6.9550,
2009-11,6.9276,
2009-12,7.1256,
2010-01,7.1423,
2010-02,7.2719,
2010-03,7.1664,
2010-04,7.2073,
2010-05,7.7005,
2010-06,7.8380,
2010-07,7.4555,
2010-08,7.3049,
2010-09,7.0742,
2010-10,6.6768,
2010-11,6.8172,
2010-12,6.8596,
2011-01,6.6773,
2011-02,6.4436,
2011-03,6.3518,
2011-04,6.2161,
2011-05,6.2396,
2011-06,6.3406,
2011-07,6.3986,
2011-08,6.3981,
2011-09,6.6427,
2011-10,6.6578,
2011-11,6.7462,
2011-12,6.8467,
2012-01,6.8502,
2012-02,6.6719,
2012-03,6.7311,
2012-04,6.7308,
2012-05,7.0300,
2012-06,7.0786,
2012-07,6.9564,
2012-08,6.6880,
2012-09,6.6150,
2012-10,6.6447,
2012-11,6.7111,
2012-12,6.6162,
2013-01,6.4916,
2013-02,6.3704,
2013-03,6.4361,
2013-04,6.4904,
2013-05,6.6192,
2013-06,6.5782,
2013-07,6.6212,
2013-08,6.5365,
2013-09,6.4784,
2013-10,6.4123,
2013-11,6.5856,
2013-12,6.5423,
2014-01,6.4851,
2014-02,6.4989,
2014-03,6.4152,
2014-04,6.5411,
2014-05,6.5710,
2014-06,6.6858,
2014-07,6.8173,
2014-08,6.9003,
2014-09,7.1243,
2014-10,7.2383,
2014-11,7.4059,
2014-12,7.6053,
2015-01,8.1108,
"","Source: Skandinaviska Enskilda Banken, Stockholm",
"",Methodology: Calculated on the basis of daily buying and selling rates.,
"","Comment on 1992-11: On 20 November 1992, the Swedish central bank decided to abandon the unilateral pegging of the Swedish krona to the ECU and allow the Swedish krona to float. On the basis of the exchange rates on 19 and 20 November 1992, the Swedish krona depreciated by 11.0% against the US dollar (middle rate).",
