"",BBEX3.M.TWD.USD.CA.AB.A01,BBEX3.M.TWD.USD.CA.AB.A01_FLAGS
1992-02,25.200,
1992-03,25.580,
1992-04,25.290,
1992-05,24.940,
1992-06,24.700,
1992-07,25.010,
1992-08,25.140,
1992-09,25.240,
1992-10,25.420,
1992-11,25.500,
1992-12,25.470,
1993-01,25.540,
1993-02,25.790,
1993-03,26.200,
1993-04,25.900,
1993-05,26.100,
1993-06,26.450,
1993-07,26.990,
1993-08,26.990,
1993-09,26.990,
1993-10,26.910,
1993-11,26.980,
1993-12,26.730,
1994-01,26.490,
1994-02,26.510,
1994-03,26.410,
1994-04,26.450,
1994-05,27.130,
1994-06,26.880,
1994-07,26.620,
1994-08,26.200,
1994-09,26.210,
1994-10,26.090,
1994-11,26.300,
1994-12,26.310,
1995-01,26.350,
1995-02,26.370,
1995-03,26.040,
1995-04,25.460,
1995-05,25.640,
1995-06,25.880,
1995-07,26.520,
1995-08,27.550,
1995-09,27.110,
1995-10,27.010,
1995-11,27.360,
1995-12,27.340,
1996-01,27.520,
1996-02,27.550,
1996-03,27.290,
1996-04,27.210,
1996-05,27.780,
1996-06,27.540,
1996-07,27.590,
1996-08,27.520,
1996-09,27.540,
1996-10,27.590,
1996-11,27.540,
1996-12,27.545,
1997-01,27.495,
1997-02,27.555,
1997-03,27.605,
1997-04,27.710,
1997-05,27.900,
1997-06,27.860,
1997-07,28.610,
1997-08,28.700,
1997-09,28.650,
1997-10,31.040,
1997-11,32.180,
1997-12,32.640,
1998-01,33.890,
1998-02,32.090,
1998-03,33.010,
1998-04,33.030,
1998-05,34.050,
1998-06,34.540,
1998-07,34.410,
1998-08,34.870,
1998-09,34.500,
1998-10,32.430,
1998-11,32.490,
1998-12,32.265,
1999-01,32.340,
1999-02,33.020,
1999-03,33.210,
1999-04,32.740,
1999-05,32.770,
1999-06,32.320,
1999-07,32.220,
1999-08,31.890,
1999-09,31.840,
1999-10,31.780,
1999-11,31.720,
1999-12,31.480,
2000-01,30.760,
2000-02,30.780,
2000-03,30.510,
2000-04,30.690,
2000-05,30.890,
2000-06,30.850,
2000-07,31.100,
2000-08,31.120,
2000-09,31.370,
2000-10,32.450,
2000-11,33.100,
2000-12,33.110,
2001-01,32.420,
2001-02,32.370,
2001-03,32.870,
2001-04,32.970,
2001-05,34.020,
2001-06,34.520,
2001-07,34.820,
2001-08,34.610,
2001-09,34.580,
2001-10,34.560,
2001-11,34.500,
2001-12,35.070,
2002-01,35.000,
2002-02,35.160,
2002-03,35.050,
2002-04,34.770,
2002-05,34.120,
2002-06,33.610,
2002-07,33.860,
2002-08,34.240,
2002-09,34.960,
2002-10,34.850,
2002-11,34.850,
2002-12,34.800,
2003-01,34.740,
2003-02,34.800,
2003-03,34.840,
2003-04,34.900,
2003-05,34.770,
2003-06,34.650,
2003-07,34.440,
2003-08,34.230,
2003-09,33.800,
2003-10,34.000,
2003-11,34.270,
2003-12,34.050,
2004-01,33.430,
2004-02,33.380,
2004-03,33.180,
2004-04,33.350,
2004-05,33.440,
2004-06,33.780,
2004-07,34.230,
2004-08,34.110,
2004-09,34.030,
2004-10,33.580,
2004-11,32.250,
2004-12,31.810,
2005-01,31.860,
2005-02,31.220,
2005-03,31.760,
2005-04,31.440,
2005-05,31.380,
2005-06,31.700,
2005-07,31.950,
2005-08,32.800,
2005-09,33.250,
2005-10,33.690,
2005-11,33.590,
2005-12,32.880,
2006-01,32.080,
2006-02,32.530,
2006-03,32.520,
2006-04,31.920,
2006-05,32.090,
2006-06,32.500,
2006-07,32.790,
2006-08,32.940,
2006-09,33.060,
2006-10,33.290,
2006-11,32.570,
2006-12,32.690,
2007-01,32.980,
2007-02,32.980,
2007-03,33.110,
2007-04,33.330,
2007-05,33.010,
2007-06,32.900,
2007-07,32.870,
2007-08,33.110,
2007-09,32.620,
2007-10,32.480,
2007-11,32.320,
2007-12,32.530,
2008-01,32.220,
2008-02,30.810,
2008-03,30.520,
2008-04,30.470,
2008-05,30.480,
2008-06,30.410,
2008-07,30.630,
2008-08,31.560,
2008-09,32.320,
2008-10,32.780,
2008-11,33.340,
2008-12,32.800,
2009-01,33.630,
2009-02,34.950,
2009-03,34.050,
2009-04,33.350,
2009-05,32.620,
2009-06,32.910,
2009-07,32.830,
2009-08,32.940,
2009-09,32.300,
2009-10,32.540,
2009-11,32.250,
2009-12,32.220,
2010-01,32.070,
2010-02,32.130,
2010-03,31.810,
2010-04,31.410,
2010-05,32.040,
2010-06,32.250,
2010-07,32.020,
2010-08,32.080,
2010-09,31.280,
2010-10,30.710,
2010-11,30.480,
2010-12,29.210,
2011-01,29.080,
2011-02,29.920,
2011-03,29.500,
2011-04,28.730,
2011-05,28.700,
2011-06,28.830,
2011-07,28.870,
2011-08,29.080,
2011-09,30.540,
2011-10,29.800,
2011-11,30.350,
2011-12,30.320,
2012-01,29.690,
2012-02,29.490,
2012-03,29.570,
2012-04,29.150,
2012-05,29.870,
2012-06,29.960,
2012-07,30.080,
2012-08,29.980,
2012-09,29.370,
2012-10,29.280,
2012-11,29.120,
2012-12,29.080,
2013-01,29.590,
2013-02,29.700,
2013-03,29.910,
2013-04,29.500,
2013-05,29.980,
2013-06,30.020,
2013-07,30.000,
2013-08,29.950,
2013-09,29.610,
2013-10,29.450,
2013-11,29.650,
2013-12,29.840,
2014-01,30.330,
2014-02,30.350,
2014-03,30.520,
2014-04,30.240,
2014-05,30.020,
2014-06,29.900,
2014-07,30.020,
2014-08,29.940,
2014-09,30.490,
2014-10,30.430,
2014-11,30.960,
2014-12,31.700,
2015-01,31.530,
"","Source: The Central Bank of China, Taipeh, Taiwan.",
