"",BBEX3.M.LAK.USD.CA.AC.A01,BBEX3.M.LAK.USD.CA.AC.A01_FLAGS
1997-05,1020.500,
1997-06,1080.500,
1997-07,1174.000,
1997-08,1305.000,
1997-09,1452.000,
1997-10,1749.500,
1997-11,1818.000,
1997-12,2134.500,
1998-01,2496.000,
1998-02,2432.000,
1998-03,2431.000,
1998-04,2480.000,
1998-05,3242.000,
1998-06,3430.000,
1998-07,3572.000,
1998-08,3800.000,
1998-09,4155.000,
1998-10,4205.000,
1998-11,4200.000,
1998-12,4275.500,
1999-01,4374.000,
1999-02,4463.000,
1999-03,5365.000,
1999-04,6715.000,
1999-05,8030.000,
1999-06,9430.000,
1999-07,9350.000,
1999-08,9350.000,
1999-09,6950.000,
1999-10,7700.000,
1999-11,7705.000,
1999-12,7565.000,
2000-01,7545.000,
2000-02,7570.000,
2000-03,7560.000,
2000-04,7580.000,
2000-05,7735.000,
2000-06,7815.000,
2000-07,8010.000,
2000-08,7980.000,
2000-09,8085.000,
2000-10,8162.500,
2000-11,8262.500,
2000-12,8217.500,
2001-01,8227.500,
2001-02,8237.500,
2001-03,8375.000,
2001-04,8520.000,
2001-05,8530.000,
2001-06,8674.000,
2001-07,9135.000,
2001-08,9167.500,
2001-09,9540.000,
2001-10,9550.000,
2001-11,9530.000,
2001-12,9500.000,
2002-01,9540.000,
2002-02,9545.000,
2002-03,9480.000,
2002-04,9480.000,
2002-05,9585.000,
2002-06,10005.000,
2002-07,10300.000,
2002-08,10520.000,
2002-09,10910.000,
2002-10,10760.000,
2002-11,10817.500,
2002-12,10727.500,
2003-01,10657.500,
2003-02,10637.500,
2003-03,10697.500,
2003-04,10697.500,
2003-05,10567.500,
2003-06,10637.500,
2003-07,10697.500,
2003-08,10630.000,
2003-09,10520.000,
2003-10,10517.500,
2003-11,10503.500,
2003-12,10474.500,
2004-01,10428.000,
2004-02,10433.000,
2004-03,10468.000,
2004-04,10448.000,
2004-05,10586.500,
2004-06,10723.000,
2004-07,10758.000,
2004-08,10860.500,
2004-09,10880.500,
2004-10,10840.500,
2004-11,10538.000,
2004-12,10385.000,
2005-01,10818.000,
2005-02,10317.500,
2005-03,10395.000,
2005-04,10505.000,
2005-05,10540.000,
2005-06,10732.500,
2005-07,10905.000,
2005-08,10847.500,
2005-09,10884.500,
2005-10,10849.500,
2005-11,10837.000,
2005-12,10802.000,
2006-01,10476.000,
2006-02,10476.000,
2006-03,10346.000,
2006-04,10040.000,
2006-05,10120.000,
2006-06,10160.000,
2006-07,10095.000,
2006-08,10070.000,
2006-09,10045.000,
2006-10,9920.000,
2006-11,9832.500,
2006-12,9707.500,
2007-01,9705.000,
2007-02,9673.500,
2007-03,9643.500,
2007-04,9618.000,
2007-05,9583.000,
2007-06,9615.000,
2007-07,9542.000,
2007-08,9623.000,
2007-09,9623.000,
2007-10,9605.000,
2007-11,9457.000,
2007-12,9345.000,
2008-01,9216.000,
2008-02,8958.000,
2008-03,8748.000,
2008-04,8736.000,
2008-05,8678.000,
2008-06,8697.000,
2008-07,8611.000,
2008-08,8657.000,
2008-09,8547.000,
2008-10,8569.000,
2008-11,8556.000,
2008-12,8470.000,
2009-01,8500.000,
2009-02,8540.000,
2009-03,8567.000,
2009-04,8555.500,
2009-05,8533.500,
2009-06,8518.500,
2009-07,8518.000,
2009-08,8516.000,
2009-09,8506.000,
2009-10,8488.000,
2009-11,8483.000,
2009-12,8490.000,
2010-01,8484.000,
2010-02,8488.000,
2010-03,8458.000,
2010-04,8282.000,
2010-05,8290.000,
2010-06,8257.000,
2010-07,8238.000,
2010-08,8191.500,
2010-09,8119.000,
2010-10,8051.500,
2010-11,8051.500,
2010-12,8057.000,
2011-01,8061.500,
2011-02,8053.500,
2011-03,8050.500,
2011-04,8032.500,
2011-05,8027.500,
2011-06,8027.500,
2011-07,8009.500,
2011-08,8006.500,
2011-09,8021.500,
2011-10,8008.500,
2011-11,8019.500,
2011-12,8024.500,
2012-01,8002.000,
2012-02,7984.500,
2012-03,7993.500,
2012-04,7988.500,
2012-05,8036.500,
2012-06,8023.500,
2012-07,8016.500,
2012-08,8016.500,
2012-09,8004.500,
2012-10,8003.500,
2012-11,8001.500,
2012-12,7986.500,
2013-01,7938.500,
2013-02,7892.500,
2013-03,7752.500,
2013-04,7652.000,
2013-05,7689.000,
2013-06,7761.000,
2013-07,7796.500,
2013-08,7842.000,
2013-09,7850.000,
2013-10,7904.000,
2013-11,8001.000,
2013-12,8023.500,
2014-01,8030.500,
2014-02,8032.500,
2014-03,8042.500,
2014-04,8046.500,
2014-05,8060.500,
2014-06,8047.500,
2014-07,8048.500,
2014-08,8046.500,
2014-09,8051.000,
2014-10,8048.000,
2014-11,8054.000,
2014-12,8094.000,
2015-01,8108.500,
2015-02,8108.500,
"","Source: Calculated on the basis of buying and selling rates of th Banque pour le Commerce Exterieur Lao, Vientiane.",
