"",BBFB1.M.N.DE.W1.S1.S1.T.C.NP._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.NP._Z._Z._Z._T._X.N_FLAGS
2009-06,276.908,
2009-07,311.909,
2009-08,404.527,
2009-09,476.032,
2009-10,485.547,
2009-11,477.468,
2009-12,1837.229,
2010-01,1780.455,
2010-02,572.716,
2010-03,746.001,
2010-04,861.287,
2010-05,440.468,
2010-06,508.119,
2010-07,409.814,
2010-08,436.104,
2010-09,460.549,
2010-10,401.423,
2010-11,726.653,
2010-12,1405.100,
2011-01,1413.410,
2011-02,594.562,
2011-03,601.047,
2011-04,531.453,
2011-05,726.048,
2011-06,449.659,
2011-07,527.568,
2011-08,529.003,
2011-09,521.385,
2011-10,530.541,
2011-11,699.382,
2011-12,939.680,
2012-01,1213.679,
2012-02,589.308,
2012-03,619.205,
2012-04,564.040,
2012-05,622.399,
2012-06,587.370,
2012-07,606.012,
2012-08,882.394,
2012-09,546.611,
2012-10,914.850,
2012-11,697.395,
2012-12,1419.416,
2013-01,408.810,
2013-02,368.839,
2013-03,555.616,
2013-04,449.215,
2013-05,471.334,
2013-06,555.867,
2013-07,520.731,
2013-08,554.128,
2013-09,856.965,
2013-10,848.746,
2013-11,805.191,
2013-12,1813.508,
2014-01,930.504,
2014-02,898.518,Provisional value
2014-03,782.500,Provisional value
2014-04,630.896,Provisional value
2014-05,939.279,Provisional value
2014-06,753.453,Provisional value
2014-07,847.413,Provisional value
2014-08,672.961,Provisional value
2014-09,600.009,
2014-10,908.235,
2014-11,973.517,
2014-12,2519.741,Provisional value
