"",BBSF2.M.1.P.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
1995-11,598,
1995-12,609,
1996-01,613,
1996-02,617,
1996-03,624,
1996-04,627,
1996-05,629,
1996-06,631,
1996-07,634,
1996-08,640,
1996-09,642,
1996-10,651,
1996-11,650,
1996-12,652,
1997-01,663,
1997-02,664,
1997-03,665,
1997-04,673,
1997-05,682,
1997-06,692,
1997-07,702,
1997-08,704,
1997-09,716,
1997-10,722,
1997-11,729,
1997-12,732,
1998-01,744,
1998-02,750,
1998-03,777,
1998-04,776,
1998-05,775,
1998-06,773,
1998-07,767,
1998-08,767,
1998-09,765,
1998-10,777,
1998-11,792,
1998-12,805,
1999-01,813,
1999-02,828,
1999-03,832,
1999-04,836,
1999-05,850,
1999-06,858,
1999-07,878,
1999-08,884,
1999-09,895,
1999-10,906,
1999-11,922,
1999-12,928,
2000-01,945,
2000-02,960,
2000-03,972,
2000-04,995,
2000-05,1011,
2000-06,1028,
2000-07,1043,
2000-08,1052,
2000-09,1061,
2000-10,1088,
2000-11,1106,
2000-12,1119,
2001-01,1136,
2001-02,1152,
2001-03,1160,
2001-04,1177,
2001-05,1197,
2001-06,1201,
2001-07,1242,
2001-08,1253,
2001-09,1254,
2001-10,1260,
2001-11,1268,
2001-12,1275,
2002-01,1279,
2002-02,1286,
2002-03,1285,
2002-04,1295,
2002-05,1300,
2002-06,1305,
2002-07,1323,
2002-08,1333,
2002-09,1330,
2002-10,1334,
2002-11,1338,
2002-12,1324,
2003-01,1325,
2003-02,1314,
2003-03,1306,
2003-04,1313,
2003-05,1322,
2003-06,1318,
2003-07,1306,
2003-08,1311,
2003-09,1300,
2003-10,1297,
2003-11,1293,
2003-12,1281,
2004-01,1282,
2004-02,1285,
2004-03,1281,
2004-04,1279,
2004-05,1277,
2004-06,1272,
2004-07,1270,
2004-08,1276,
2004-09,1275,
2004-10,1277,
2004-11,1281,
2004-12,1282,
2005-01,1294,
2005-02,1299,
2005-03,1294,
2005-04,1295,
2005-05,1302,
2005-06,1313,
2005-07,1315,
2005-08,1326,
2005-09,1330,
2005-10,1338,
2005-11,1346,
2005-12,1361,
2006-01,1384,
2006-02,1405,
2006-03,1416,
2006-04,1423,
2006-05,1439,
2006-06,1447,
2006-07,1460,
2006-08,1466,
2006-09,1480,
2006-10,1501,
2006-11,1502,
2006-12,1517,
2007-01,1525,
2007-02,1524,
2007-03,1535,
2007-04,1546,
2007-05,1569,
2007-06,1578,
2007-07,1590,
2007-08,1619,
2007-09,1635,
2007-10,1724,
2007-11,1763,
2007-12,1849,
2008-01,1876,
2008-02,1897,
2008-03,1927,
2008-04,1961,
2008-05,1982,
2008-06,1997,
2008-07,2017,
2008-08,2031,
2008-09,2068,
2008-10,2085,
2008-11,2102,
2008-12,2130,
2009-01,2129,
2009-02,2145,
2009-03,2164,
2009-04,2167,
2009-05,2161,
2009-06,2179,
2009-07,2180,
2009-08,2189,
2009-09,2188,
2009-10,2188,
2009-11,2187,
2009-12,2186,
2010-01,2174,
2010-02,2169,
2010-03,2175,
2010-04,2167,
2010-05,2177,
2010-06,2188,
2010-07,2194,
2010-08,2208,
2010-09,2206,
2010-10,2211,
2010-11,2225,
2010-12,2210,
2011-01,2204,
2011-02,2195,
2011-03,2194,
2011-04,2177,
2011-05,2178,
2011-06,2155,
2011-07,2146,
2011-08,2139,
2011-09,2141,
2011-10,2146,
2011-11,2150,
2011-12,2147,
2012-01,2152,
2012-02,2160,
2012-03,2155,
2012-04,2187,
2012-05,2180,
2012-06,2182,
2012-07,2193,
2012-08,2196,
2012-09,2178,
2012-10,2180,
2012-11,2176,
2012-12,2168,
2013-01,2155,
2013-02,2151,
2013-03,2149,
2013-04,2148,
2013-05,2141,
2013-06,2120,
2013-07,2160,
2013-08,2171,
2013-09,2147,
2013-10,2124,
2013-11,2103,
2013-12,2115,
2014-01,2119,
2014-02,2127,
2014-03,2128,
2014-04,2149,
2014-05,2146,
2014-06,2142,
2014-07,2138,
2014-08,2137,
2014-09,2131,
2014-10,2143,
2014-11,2128,
