"",BBDE1.M.DE.W.BAA1.A2R240050.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2R240050.G.C.I10.A_FLAGS
2000-07,93.5,
2000-08,88.4,
2000-09,99.1,
2000-10,98.9,
2000-11,100.8,
2000-12,82.7,
2001-01,91.4,
2001-02,93.2,
2001-03,101.9,
2001-04,94.3,
2001-05,94.1,
2001-06,99.2,
2001-07,93.9,
2001-08,88.3,
2001-09,98.8,
2001-10,97.7,
2001-11,95.5,
2001-12,78.4,
2002-01,86.9,
2002-02,89.1,
2002-03,98.1,
2002-04,93.7,
2002-05,90.7,
2002-06,98.6,
2002-07,95.7,
2002-08,88.1,
2002-09,99.9,
2002-10,97.8,
2002-11,99.1,
2002-12,83.1,
2003-01,88.2,
2003-02,89.0,
2003-03,98.8,
2003-04,92.1,
2003-05,90.2,
2003-06,96.2,
2003-07,96.3,
2003-08,85.2,
2003-09,96.7,
2003-10,100.8,
2003-11,99.9,
2003-12,81.6,
2004-01,91.1,
2004-02,92.5,
2004-03,101.8,
2004-04,96.1,
2004-05,96.2,
2004-06,100.7,
2004-07,99.9,
2004-08,89.1,
2004-09,100.3,
2004-10,101.3,
2004-11,100.7,
2004-12,82.2,
2005-01,94.0,
2005-02,92.9,
2005-03,103.7,
2005-04,96.5,
2005-05,94.3,
2005-06,99.7,
2005-07,99.4,
2005-08,89.9,
2005-09,102.5,
2005-10,105.9,
2005-11,103.8,
2005-12,86.6,
2006-01,94.8,
2006-02,97.4,
2006-03,106.9,
2006-04,103.9,
2006-05,102.6,
2006-06,107.3,
2006-07,107.6,
2006-08,100.1,
2006-09,112.2,
2006-10,114.2,
2006-11,115.0,
2006-12,96.5,
2007-01,104.6,
2007-02,106.6,
2007-03,116.9,
2007-04,109.6,
2007-05,110.4,
2007-06,114.7,
2007-07,113.9,
2007-08,106.7,
2007-09,117.8,
2007-10,118.8,
2007-11,118.9,
2007-12,98.0,
2008-01,109.3,
2008-02,112.0,
2008-03,124.4,
2008-04,117.3,
2008-05,115.1,
2008-06,120.0,
2008-07,115.8,
2008-08,110.2,
2008-09,117.1,
2008-10,115.0,
2008-11,106.9,
2008-12,78.2,
2009-01,80.4,
2009-02,80.4,
2009-03,85.4,
2009-04,79.2,
2009-05,82.1,
2009-06,86.6,
2009-07,85.8,
2009-08,82.7,
2009-09,93.8,
2009-10,94.9,
2009-11,97.1,
2009-12,77.8,
2010-01,85.9,
2010-02,88.7,
2010-03,102.4,
2010-04,97.8,
2010-05,99.7,
2010-06,103.6,
2010-07,103.1,
2010-08,96.8,
2010-09,106.7,
2010-10,110.4,
2010-11,109.6,
2010-12,88.7,
2011-01,100.1,
2011-02,103.4,
2011-03,115.2,
2011-04,108.6,
2011-05,110.4,
2011-06,113.2,
2011-07,114.7,
2011-08,105.2,
2011-09,114.1,
2011-10,116.9,
2011-11,116.8,
2011-12,91.9,
2012-01,101.3,
2012-02,104.4,
2012-03,114.5,
2012-04,106.7,
2012-05,109.4,
2012-06,112.2,
2012-07,111.2,
2012-08,101.8,
2012-09,112.3,
2012-10,112.0,
2012-11,110.8,
2012-12,91.1,
2013-01,99.3,
2013-02,102.3,
2013-03,114.5,
2013-04,107.4,
2013-05,107.0,
2013-06,113.1,
2013-07,110.9,
2013-08,102.5,
2013-09,114.9,
2013-10,115.5,
2013-11,117.5,
2013-12,94.6,
2014-01,105.3,
2014-02,108.4,
2014-03,120.9,
2014-04,112.7,
2014-05,110.5,
2014-06,115.3,
2014-07,115.1,
2014-08,104.9,
2014-09,115.2,
2014-10,117.4,Provisional value
2014-11,119.1,Provisional value
2014-12,96.6,Provisional value
