"",BBDA1.M.DE.Y.IM.S.A.S1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.S1.A.V.ABA.A_FLAGS
2006-03,10.47,
2006-04,10.63,
2006-05,10.66,
2006-06,10.75,
2006-07,10.61,
2006-08,10.05,
2006-09,11.05,
2006-10,10.87,
2006-11,11.63,
2006-12,11.29,
2007-01,11.21,
2007-02,12.37,
2007-03,11.51,
2007-04,11.21,
2007-05,10.74,
2007-06,10.86,
2007-07,11.16,
2007-08,11.94,
2007-09,11.43,
2007-10,11.52,
2007-11,10.93,
2007-12,11.96,
2008-01,11.59,
2008-02,11.58,
2008-03,11.89,
2008-04,10.99,
2008-05,11.30,
2008-06,11.31,
2008-07,11.84,
2008-08,11.92,
2008-09,11.85,
2008-10,12.17,
2008-11,12.21,
2008-12,11.64,
2009-01,10.76,
2009-02,10.66,
2009-03,9.72,
2009-04,9.98,
2009-05,9.27,
2009-06,9.58,
2009-07,10.18,
2009-08,9.97,
2009-09,11.31,
2009-10,10.25,
2009-11,10.22,
2009-12,10.65,
2010-01,10.97,
2010-02,11.27,
2010-03,14.10,
2010-04,12.45,
2010-05,14.24,
2010-06,14.94,
2010-07,13.81,
2010-08,14.46,
2010-09,14.59,
2010-10,13.56,
2010-11,15.04,
2010-12,13.42,
2011-01,14.31,
2011-02,14.35,
2011-03,14.41,
2011-04,14.78,
2011-05,14.62,
2011-06,14.58,
2011-07,14.89,
2011-08,14.64,
2011-09,14.05,
2011-10,14.73,
2011-11,14.09,
2011-12,13.34,
2012-01,13.80,
2012-02,14.68,
2012-03,14.13,
2012-04,13.63,
2012-05,14.28,
2012-06,14.57,
2012-07,13.84,
2012-08,14.48,
2012-09,13.85,
2012-10,13.89,
2012-11,13.39,
2012-12,13.73,
2013-01,14.28,
2013-02,13.59,
2013-03,13.30,
2013-04,13.75,
2013-05,13.67,
2013-06,13.29,
2013-07,14.38,
2013-08,13.55,
2013-09,13.80,
2013-10,13.35,
2013-11,13.10,
2013-12,13.37,
2014-01,14.06,
2014-02,13.50,
2014-03,14.27,
2014-04,13.59,
2014-05,13.83,
2014-06,14.30,
2014-07,14.22,
2014-08,14.21,
2014-09,14.85,
2014-10,14.29,
2014-11,13.86,
2014-12,14.76,
