"",BBFB1.M.N.DE.W1.S1.S1.T.D.D41.P.F3.L._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D41.P.F3.L._T._X.N_FLAGS
1997-04,2238.915,
1997-05,2255.864,
1997-06,2250.989,
1997-07,2276.087,
1997-08,2317.376,
1997-09,2289.940,
1997-10,2268.273,
1997-11,2227.715,
1997-12,2273.521,
1998-01,2222.761,
1998-02,2322.965,
1998-03,2357.732,
1998-04,2359.858,
1998-05,2313.506,
1998-06,2350.643,
1998-07,2363.507,
1998-08,2477.054,
1998-09,2482.213,
1998-10,2481.737,
1998-11,2519.944,
1998-12,2540.227,
1999-01,2609.326,
1999-02,2690.112,
1999-03,2692.360,
1999-04,2719.230,
1999-05,2730.261,
1999-06,2723.885,
1999-07,2717.471,
1999-08,2809.071,
1999-09,2873.243,
1999-10,2881.831,
1999-11,2896.789,
1999-12,2933.676,
2000-01,2949.136,
2000-02,3090.037,
2000-03,3140.969,
2000-04,3216.928,
2000-05,3271.379,
2000-06,3321.943,
2000-07,3400.107,
2000-08,3501.320,
2000-09,3513.079,
2000-10,3524.801,
2000-11,3509.913,
2000-12,3470.373,
2001-01,3514.627,
2001-02,3585.765,
2001-03,3642.840,
2001-04,3582.211,
2001-05,3571.686,
2001-06,3509.108,
2001-07,3521.650,
2001-08,3624.630,
2001-09,3696.173,
2001-10,3682.536,
2001-11,3677.171,
2001-12,3666.323,
2002-01,3660.476,
2002-02,3716.048,
2002-03,3708.307,
2002-04,3715.567,
2002-05,3733.746,
2002-06,3721.744,
2002-07,3718.213,
2002-08,3782.422,
2002-09,3839.122,
2002-10,3864.761,
2002-11,3795.997,
2002-12,3791.243,
2003-01,3749.136,
2003-02,3727.414,
2003-03,3756.628,
2003-04,3783.053,
2003-05,3800.230,
2003-06,3773.688,
2003-07,3776.524,
2003-08,3771.589,
2003-09,3692.142,
2003-10,3675.551,
2003-11,3695.466,
2003-12,3619.993,
2004-01,3626.474,
2004-02,3706.098,
2004-03,3671.565,
2004-04,3626.373,
2004-05,3614.896,
2004-06,3610.878,
2004-07,3582.473,
2004-08,3637.805,
2004-09,3699.068,
2004-10,3674.194,
2004-11,3719.319,
2004-12,3668.538,
2005-01,3623.581,
2005-02,3684.274,
2005-03,3706.123,
2005-04,3767.713,
2005-05,3810.482,
2005-06,3750.539,
2005-07,3878.845,
2005-08,3891.225,
2005-09,3787.802,
2005-10,3834.956,
2005-11,3845.045,
2005-12,3835.147,
2006-01,3792.051,
2006-02,3905.864,
2006-03,3850.801,
2006-04,3846.979,
2006-05,3828.713,
2006-06,3825.344,
2006-07,3834.867,
2006-08,3940.173,
2006-09,3927.016,
2006-10,3930.080,
2006-11,3956.161,
2006-12,3995.498,
2007-01,4026.113,
2007-02,4113.488,
2007-03,4140.551,
2007-04,4188.704,
2007-05,4322.140,
2007-06,4354.622,
2007-07,4414.627,
2007-08,4532.920,
2007-09,4492.170,
2007-10,4514.467,
2007-11,4674.028,
2007-12,4737.361,
2008-01,4774.380,
2008-02,4786.980,
2008-03,4675.936,
2008-04,4683.289,
2008-05,4700.471,
2008-06,4663.947,
2008-07,4703.658,
2008-08,4709.185,
2008-09,4620.997,
2008-10,4579.839,
2008-11,4495.711,
2008-12,4405.242,
2009-01,4239.373,
2009-02,3641.344,
2009-03,3606.623,
2009-04,3541.445,
2009-05,3448.763,
2009-06,3446.967,
2009-07,3318.689,
2009-08,3358.599,
2009-09,3371.240,
2009-10,3328.126,
2009-11,3288.967,
2009-12,3305.483,
2010-01,3311.229,
2010-02,3906.362,
2010-03,3904.252,
2010-04,3868.672,
2010-05,3877.425,
2010-06,3867.542,
2010-07,3780.083,
2010-08,3741.986,
2010-09,3730.734,
2010-10,3750.443,
2010-11,3782.667,
2010-12,3796.864,
2011-01,3777.261,
2011-02,3704.344,
2011-03,3695.877,
2011-04,3694.327,
2011-05,3748.348,
2011-06,3782.988,
2011-07,3724.143,
2011-08,3713.810,
2011-09,3726.392,
2011-10,3738.520,
2011-11,3687.700,
2011-12,3658.385,
2012-01,3665.905,
2012-02,3584.246,
2012-03,3600.680,
2012-04,3582.609,
2012-05,3658.014,
2012-06,3622.633,
2012-07,3635.179,
2012-08,3564.830,
2012-09,3537.929,
2012-10,3527.279,
2012-11,3457.052,
2012-12,3434.346,
2013-01,3429.931,
2013-02,3458.749,
2013-03,3448.859,
2013-04,3434.048,
2013-05,3453.997,
2013-06,3401.610,
2013-07,3367.739,
2013-08,3381.774,
2013-09,3376.985,
2013-10,3383.334,
2013-11,3426.220,
2013-12,3400.030,
2014-01,3337.303,
2014-02,3290.428,Provisional value
2014-03,3335.326,Provisional value
2014-04,3333.778,Provisional value
2014-05,3268.411,Provisional value
2014-06,3294.581,Provisional value
2014-07,3295.025,Provisional value
2014-08,3135.858,Provisional value
2014-09,3199.742,
2014-10,3156.240,
2014-11,3166.893,
2014-12,3177.586,Provisional value
