"",BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A_FLAGS
1999-05,3351502,
1999-06,3543338,
1999-07,3709651,
1999-08,3511638,
1999-09,3731385,
1999-10,3737255,
1999-11,4156833,
1999-12,3520211,
2000-01,3558881,
2000-02,4217428,
2000-03,4324853,
2000-04,3870550,
2000-05,4366900,
2000-06,4120904,
2000-07,3974537,
2000-08,3893222,
2000-09,3898868,
2000-10,4488373,
2000-11,4775730,
2000-12,3886402,
2001-01,4124805,
2001-02,4493296,
2001-03,4431619,
2001-04,4477757,
2001-05,4468192,
2001-06,4185908,
2001-07,4664736,
2001-08,4437492,
2001-09,4312787,
2001-10,4643785,
2001-11,4539738,
2001-12,3983681,
2002-01,4226608,
2002-02,4473761,
2002-03,4571285,
2002-04,4465814,
2002-05,3943294,
2002-06,4507845,
2002-07,4503562,
2002-08,4853827,
2002-09,4835089,
2002-10,4608173,
2002-11,4721743,
2002-12,4049860,
2003-01,4682922,
2003-02,4909389,
2003-03,4973415,
2003-04,4301682,
2003-05,4279201,
2003-06,4238249,
2003-07,4950458,
2003-08,4183767,
2003-09,4878767,
2003-10,4978538,
2003-11,4760696,
2003-12,4459823,
2004-01,4435499,
2004-02,5040105,
2004-03,5357861,
2004-04,4941583,
2004-05,4833510,
2004-06,5148663,
2004-07,5448661,
2004-08,4566327,
2004-09,4911909,
2004-10,5087032,
2004-11,5685721,
2004-12,4528884,
2005-01,4851157,
2005-02,5058184,
2005-03,5169035,
2005-04,5056773,
2005-05,4837300,
2005-06,5168585,
2005-07,5259925,
2005-08,4791707,
2005-09,5226832,
2005-10,5032721,
2005-11,5351705,
2005-12,4589686,
2006-01,5311086,
2006-02,5232462,
2006-03,5872700,
2006-04,5226994,
2006-05,5365917,
2006-06,5448856,
2006-07,5510876,
2006-08,5358564,
2006-09,5459090,
2006-10,5475212,
2006-11,5502680,
2006-12,4961923,
2007-01,5626181,
2007-02,5939650,
2007-03,6137407,
2007-04,5657230,
2007-05,5619590,
2007-06,5856566,
2007-07,6190863,
2007-08,5776676,
2007-09,5831162,
2007-10,6126012,
2007-11,6141534,
2007-12,4857222,
2008-01,5687813,
2008-02,5732811,
2008-03,5615624,
2008-04,5750289,
2008-05,5021436,
2008-06,5789049,
2008-07,6068549,
2008-08,4947935,
2008-09,5687259,
2008-10,5564274,
2008-11,4516580,
2008-12,3793822,
2009-01,4150359,
2009-02,4058198,
2009-03,4616830,
2009-04,4146997,
2009-05,3991928,
2009-06,4436742,
2009-07,4987428,
2009-08,4109642,
2009-09,5070693,
2009-10,4908921,
2009-11,4498502,
2009-12,4263629,
2010-01,4323983,
2010-02,4534549,
2010-03,5319932,
2010-04,4504686,
2010-05,4492834,
2010-06,5175582,
2010-07,5026478,
2010-08,4741345,
2010-09,5488620,
2010-10,5357590,
2010-11,5171954,
2010-12,4528294,
2011-01,5125255,
2011-02,5406266,
2011-03,6309448,
2011-04,5056309,
2011-05,5529522,
2011-06,5212786,
2011-07,5405253,
2011-08,5228000,
2011-09,5854545,
2011-10,5621224,
2011-11,5790616,
2011-12,5030438,
2012-01,5861457,
2012-02,6243726,
2012-03,6385603,
2012-04,5949571,
2012-05,6158142,
2012-06,5964668,
2012-07,6458430,
2012-08,6424523,
2012-09,6218280,
2012-10,6296233,
2012-11,6137716,
2012-12,5184193,
2013-01,6284020,
2013-02,6387189,
2013-03,6263364,
2013-04,6210107,
2013-05,5864465,
2013-06,6278531,
2013-07,6686426,
2013-08,5847098,
2013-09,6561435,
2013-10,6853080,
2013-11,6403065,
2013-12,5849690,
2014-01,6807893,
2014-02,7277539,
2014-03,7124083,
2014-04,6583025,
2014-05,6720637,
2014-06,6602471,
2014-07,7841327,
2014-08,6208041,
2014-09,7628793,
2014-10,7394785,
2014-11,7295007,
2014-12,6583002,
