"",BBDE1.M.DE.Y.AEB5.A2R290050.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2R290050.F.C.I10.A_FLAGS
1998-07,54.4,
1998-08,52.1,
1998-09,55.4,
1998-10,58.6,
1998-11,52.6,
1998-12,59.8,
1999-01,50.9,
1999-02,57.0,
1999-03,57.2,
1999-04,58.9,
1999-05,54.3,
1999-06,60.0,
1999-07,58.3,
1999-08,68.7,
1999-09,64.7,
1999-10,61.3,
1999-11,64.2,
1999-12,65.5,
2000-01,59.0,
2000-02,63.7,
2000-03,71.2,
2000-04,68.5,
2000-05,65.8,
2000-06,68.2,
2000-07,73.5,
2000-08,68.0,
2000-09,71.3,
2000-10,74.1,
2000-11,76.9,
2000-12,84.9,
2001-01,76.7,
2001-02,80.5,
2001-03,74.5,
2001-04,75.1,
2001-05,76.7,
2001-06,82.3,
2001-07,74.6,
2001-08,76.1,
2001-09,72.2,
2001-10,69.4,
2001-11,73.9,
2001-12,73.3,
2002-01,75.2,
2002-02,73.4,
2002-03,80.4,
2002-04,75.7,
2002-05,88.3,
2002-06,80.6,
2002-07,80.8,
2002-08,87.4,
2002-09,78.5,
2002-10,80.0,
2002-11,82.0,
2002-12,75.5,
2003-01,80.0,
2003-02,78.0,
2003-03,76.3,
2003-04,78.3,
2003-05,74.2,
2003-06,80.3,
2003-07,75.3,
2003-08,81.4,
2003-09,77.8,
2003-10,77.2,
2003-11,77.4,
2003-12,79.3,
2004-01,78.6,
2004-02,74.5,
2004-03,78.2,
2004-04,83.5,
2004-05,85.4,
2004-06,82.6,
2004-07,81.6,
2004-08,77.4,
2004-09,87.1,
2004-10,82.5,
2004-11,78.8,
2004-12,93.4,
2005-01,80.9,
2005-02,81.1,
2005-03,88.9,
2005-04,82.5,
2005-05,86.7,
2005-06,89.7,
2005-07,94.9,
2005-08,84.8,
2005-09,99.2,
2005-10,95.4,
2005-11,100.7,
2005-12,94.9,
2006-01,98.3,
2006-02,101.2,
2006-03,96.1,
2006-04,99.5,
2006-05,96.7,
2006-06,94.8,
2006-07,103.6,
2006-08,108.1,
2006-09,96.6,
2006-10,94.5,
2006-11,99.2,
2006-12,103.2,
2007-01,99.6,
2007-02,110.3,
2007-03,100.8,
2007-04,108.9,
2007-05,110.0,
2007-06,119.6,
2007-07,105.5,
2007-08,109.9,
2007-09,111.1,
2007-10,118.2,
2007-11,122.4,
2007-12,117.2,
2008-01,116.2,
2008-02,119.8,
2008-03,113.3,
2008-04,112.1,
2008-05,117.1,
2008-06,103.5,
2008-07,104.9,
2008-08,103.5,
2008-09,89.2,
2008-10,79.3,
2008-11,76.3,
2008-12,72.4,
2009-01,58.7,
2009-02,61.8,
2009-03,68.8,
2009-04,68.1,
2009-05,76.5,
2009-06,80.8,
2009-07,78.2,
2009-08,81.3,
2009-09,87.7,
2009-10,79.7,
2009-11,83.2,
2009-12,83.0,
2010-01,88.0,
2010-02,85.2,
2010-03,95.2,
2010-04,97.2,
2010-05,97.8,
2010-06,104.9,
2010-07,99.1,
2010-08,111.9,
2010-09,101.8,
2010-10,99.4,
2010-11,110.7,
2010-12,102.2,
2011-01,109.0,
2011-02,110.6,
2011-03,103.7,
2011-04,112.6,
2011-05,103.3,
2011-06,123.2,
2011-07,105.0,
2011-08,112.3,
2011-09,104.3,
2011-10,112.5,
2011-11,102.8,
2011-12,107.8,
2012-01,100.8,
2012-02,104.3,
2012-03,115.7,
2012-04,108.4,
2012-05,106.6,
2012-06,109.3,
2012-07,106.0,
2012-08,107.7,
2012-09,98.5,
2012-10,117.1,
2012-11,109.2,
2012-12,108.5,
2013-01,109.6,
2013-02,115.4,
2013-03,115.8,
2013-04,112.8,
2013-05,111.0,
2013-06,128.1,
2013-07,118.0,
2013-08,108.1,
2013-09,127.5,
2013-10,122.6,
2013-11,124.8,
2013-12,125.6,
2014-01,125.1,
2014-02,128.2,
2014-03,117.5,
2014-04,131.0,
2014-05,134.3,
2014-06,116.1,
2014-07,137.8,
2014-08,112.7,
2014-09,120.2,
2014-10,123.0,
2014-11,126.0,
2014-12,131.9,Provisional value
