"",BBFN1.M.DE.N.1.A.HK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1992-01,0.360,
1992-02,0.306,
1992-03,0.306,
1992-04,0.360,
1992-05,0.308,
1992-06,0.338,
1992-07,0.365,
1992-08,0.339,
1992-09,0.418,
1992-10,0.340,
1992-11,0.430,
1992-12,0.405,
1993-01,0.353,
1993-02,0.321,
1993-03,0.322,
1993-04,0.285,
1993-05,0.304,
1993-06,0.318,
1993-07,0.274,
1993-08,0.261,
1993-09,0.238,
1993-10,0.259,
1993-11,0.219,
1993-12,0.187,
1994-01,0.406,
1994-02,0.383,
1994-03,0.491,
1994-04,0.533,
1994-05,0.374,
1994-06,0.424,
1994-07,0.500,
1994-08,1.035,
1994-09,1.136,
1994-10,1.427,
1994-11,1.258,
1994-12,0.726,
1995-01,0.921,
1995-02,1.325,
1995-03,1.093,
1995-04,1.010,
1995-05,1.147,
1995-06,1.176,
1995-07,1.233,
1995-08,1.150,
1995-09,1.329,
1995-10,0.997,
1995-11,0.843,
1995-12,0.494,
1996-01,0.550,
1996-02,0.599,
1996-03,0.666,
1996-04,0.828,
1996-05,0.560,
1996-06,0.647,
1996-07,0.708,
1996-08,0.717,
1996-09,0.580,
1996-10,0.629,
1996-11,0.719,
1996-12,0.551,
1997-01,0.572,
1997-02,0.592,
1997-03,0.750,
1997-04,0.998,
1997-05,1.151,
1997-06,0.979,
1997-07,0.988,
1997-08,1.003,
1997-09,1.206,
1997-10,0.859,
1997-11,0.803,
1997-12,0.748,
1998-01,0.790,
1998-02,0.711,
1998-03,0.637,
1998-04,0.540,
1998-05,0.612,
1998-06,0.535,
1998-07,0.582,
1998-08,0.464,
1998-09,0.364,
1998-10,0.254,
1998-11,0.251,
1998-12,0.277,
1999-01,0.278,
1999-02,0.281,
1999-03,0.371,
1999-04,0.394,
1999-05,0.397,
1999-06,0.386,
1999-07,0.378,
1999-08,0.374,
1999-09,0.402,
1999-10,0.411,
1999-11,0.391,
1999-12,0.382,
2000-01,0.415,
2000-02,0.396,
2000-03,0.414,
2000-04,0.412,
2000-05,0.447,
2000-06,0.455,
2000-07,0.456,
2000-08,0.465,
2000-09,0.477,
2000-10,0.501,
2000-11,0.472,
2000-12,0.405,
2001-01,0.389,
2001-02,0.360,
2001-03,0.370,
2001-04,0.387,
2001-05,0.395,
2001-06,0.420,
2001-07,0.414,
2001-08,0.414,
2001-09,0.409,
2001-10,0.406,
2001-11,0.382,
2001-12,0.366,
2002-01,0.366,
2002-02,0.394,
2002-03,0.384,
2002-04,0.459,
2002-05,0.378,
2002-06,0.349,
2002-07,0.377,
2002-08,0.368,
2002-09,0.338,
2002-10,0.345,
2002-11,0.324,
2002-12,0.317,
2003-01,0.543,
2003-02,0.541,
2003-03,0.570,
2003-04,0.592,
2003-05,0.620,
2003-06,0.622,
2003-07,0.562,
2003-08,0.565,
2003-09,0.534,
2003-10,0.529,
2003-11,0.555,
2003-12,0.508,
2004-01,0.527,
2004-02,0.381,
2004-03,0.419,
2004-04,0.446,
2004-05,0.365,
2004-06,0.373,
2004-07,0.418,
2004-08,0.392,
2004-09,0.386,
2004-10,0.313,
2004-11,0.301,
2004-12,0.308,
2005-01,0.358,
2005-02,0.327,
2005-03,0.346,
2005-04,0.384,
2005-05,0.294,
2005-06,0.291,
2005-07,0.291,
2005-08,0.283,
2005-09,0.255,
2005-10,0.274,
2005-11,0.290,
2005-12,0.269,
2006-01,0.260,
2006-02,0.293,
2006-03,0.278,
2006-04,0.363,
2006-05,0.383,
2006-06,0.356,
2006-07,0.346,
2006-08,0.353,
2006-09,0.373,
2006-10,0.372,
2006-11,0.357,
2006-12,0.359,
2007-01,0.399,
2007-02,0.363,
2007-03,0.471,
2007-04,0.455,
2007-05,0.535,
2007-06,0.465,
2007-07,0.504,
2007-08,0.474,
2007-09,0.463,
2007-10,0.481,
2007-11,0.516,
2007-12,0.523,
2008-01,0.501,
2008-02,0.494,
2008-03,0.498,
2008-04,0.595,
2008-05,0.600,
2008-06,0.620,
2008-07,0.598,
2008-08,0.658,
2008-09,0.689,
2008-10,0.685,
2008-11,0.662,
2008-12,0.613,
2009-01,0.612,
2009-02,0.616,
2009-03,0.603,
2009-04,0.610,
2009-05,0.604,
2009-06,0.570,
2009-07,0.579,
2009-08,0.648,
2009-09,0.569,
2009-10,0.554,
2009-11,0.543,
2009-12,0.565,
2010-01,0.593,
2010-02,0.652,
2010-03,0.672,
2010-04,0.696,
2010-05,0.737,
2010-06,0.760,
2010-07,0.756,
2010-08,0.751,
2010-09,0.695,
2010-10,0.696,
2010-11,0.747,
2010-12,0.749,
2011-01,0.742,
2011-02,0.771,
2011-03,0.779,
2011-04,0.775,
2011-05,0.819,
2011-06,0.814,
2011-07,0.813,
2011-08,0.778,
2011-09,0.787,
2011-10,0.726,
2011-11,0.729,
2011-12,0.737,
2012-01,0.739,
2012-02,0.743,
2012-03,0.741,
2012-04,0.756,
2012-05,0.791,
2012-06,0.849,
2012-07,0.905,
2012-08,0.904,
2012-09,1.461,
2012-10,0.933,
2012-11,0.949,
2012-12,0.962,
2013-01,0.953,
2013-02,0.962,
2013-03,0.949,
2013-04,0.865,
2013-05,0.875,
2013-06,0.892,
2013-07,0.724,
2013-08,0.828,
2013-09,0.863,
2013-10,0.877,
2013-11,0.924,
2013-12,0.880,
2014-01,0.868,
2014-02,0.963,
2014-03,1.061,
2014-04,1.006,
2014-05,0.959,
2014-06,1.127,
2014-07,1.052,
2014-08,1.071,
2014-09,1.096,
2014-10,1.266,
2014-11,1.360,
2014-12,1.219,
