"",BBFN1.M.DE.N.1.L.HK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2010-12,1.096,
2011-01,1.013,
2011-02,1.059,
2011-03,1.143,
2011-04,1.070,
2011-05,1.106,
2011-06,1.095,
2011-07,1.091,
2011-08,1.131,
2011-09,1.149,
2011-10,1.164,
2011-11,1.279,
2011-12,1.223,
2012-01,1.172,
2012-02,1.184,
2012-03,1.272,
2012-04,1.185,
2012-05,1.245,
2012-06,1.255,
2012-07,1.283,
2012-08,1.292,
2012-09,1.646,
2012-10,1.340,
2012-11,1.346,
2012-12,1.465,
2013-01,1.402,
2013-02,1.392,
2013-03,1.763,
2013-04,1.807,
2013-05,1.875,
2013-06,1.669,
2013-07,1.519,
2013-08,1.800,
2013-09,1.956,
2013-10,1.792,
2013-11,1.726,
2013-12,1.713,
2014-01,1.723,
2014-02,1.819,
2014-03,1.841,
2014-04,1.916,
2014-05,1.932,
2014-06,1.731,
2014-07,1.831,
2014-08,1.812,
2014-09,1.983,
2014-10,2.158,
2014-11,2.182,
2014-12,2.299,
