"",BBFB1.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
1999-03,40491.725,
1999-04,39364.605,
1999-05,37576.484,
1999-06,42780.976,
1999-07,41726.414,
1999-08,36902.504,
1999-09,40201.207,
1999-10,42552.667,
1999-11,45974.374,
1999-12,41658.315,
2000-01,39510.714,
2000-02,43632.957,
2000-03,49242.203,
2000-04,42475.888,
2000-05,49240.926,
2000-06,46338.373,
2000-07,47523.714,
2000-08,44480.595,
2000-09,45801.926,
2000-10,53485.222,
2000-11,53125.069,
2000-12,47341.407,
2001-01,48385.625,
2001-02,49444.344,
2001-03,52672.031,
2001-04,50170.093,
2001-05,50630.880,
2001-06,50061.242,
2001-07,52225.083,
2001-08,47935.581,
2001-09,46438.431,
2001-10,53368.058,
2001-11,51500.020,
2001-12,46389.973,
2002-01,46982.573,
2002-02,47875.301,
2002-03,50748.301,
2002-04,52685.458,
2002-05,48993.628,
2002-06,52909.310,
2002-07,53316.119,
2002-08,47891.382,
2002-09,51707.028,
2002-10,55223.460,
2002-11,55617.370,
2002-12,47898.484,
2003-01,49676.678,
2003-02,50381.792,
2003-03,51925.046,
2003-04,50570.280,
2003-05,50321.434,
2003-06,50722.701,
2003-07,54041.830,
2003-08,46931.895,
2003-09,54070.626,
2003-10,54799.009,
2003-11,55361.164,
2003-12,50874.515,
2004-01,51642.346,
2004-02,52832.866,
2004-03,61136.907,
2004-04,57345.709,
2004-05,57318.290,
2004-06,59758.351,
2004-07,58841.710,
2004-08,52268.933,
2004-09,57790.490,
2004-10,60195.510,
2004-11,62044.294,
2004-12,54905.447,
2005-01,56465.273,
2005-02,56353.505,
2005-03,60732.564,
2005-04,60321.263,
2005-05,59918.610,
2005-06,64742.973,
2005-07,61008.160,
2005-08,59289.497,
2005-09,65790.595,
2005-10,64289.864,
2005-11,67690.726,
2005-12,63346.322,
2006-01,64862.751,
2006-02,66210.042,
2006-03,71454.382,
2006-04,65995.555,
2006-05,68381.183,
2006-06,69087.121,
2006-07,68141.249,
2006-08,64733.357,
2006-09,75007.892,
2006-10,79178.937,
2006-11,79204.155,
2006-12,69225.104,
2007-01,73548.116,
2007-02,73983.355,
2007-03,80652.577,
2007-04,75235.974,
2007-05,75695.129,
2007-06,78328.096,
2007-07,77517.755,
2007-08,74385.233,
2007-09,79243.717,
2007-10,83806.406,
2007-11,84332.636,
2007-12,70047.803,
2008-01,79928.342,
2008-02,80161.612,
2008-03,80042.340,
2008-04,85268.146,
2008-05,76997.283,
2008-06,84764.528,
2008-07,82761.282,
2008-08,72206.684,
2008-09,83695.176,
2008-10,85724.354,
2008-11,72600.852,
2008-12,64584.010,
2009-01,61484.495,
2009-02,61439.236,
2009-03,66247.488,
2009-04,61792.527,
2009-05,57529.609,
2009-06,63507.128,
2009-07,67520.447,
2009-08,57101.433,
2009-09,68108.366,
2009-10,69694.621,
2009-11,69455.267,
2009-12,66508.421,
2010-01,60140.296,
2010-02,67410.664,
2010-03,81796.616,
2010-04,72627.219,
2010-05,73682.328,
2010-06,81917.150,
2010-07,78205.958,
2010-08,71920.473,
2010-09,83826.635,
2010-10,83235.301,
2010-11,85380.982,
2010-12,78196.318,
2011-01,76969.866,
2011-02,81906.788,
2011-03,95811.536,
2011-04,82158.942,
2011-05,89368.444,
2011-06,85732.158,
2011-07,83270.325,
2011-08,82835.986,
2011-09,92182.002,
2011-10,86085.083,
2011-11,91076.401,
2011-12,82589.356,
2012-01,84515.420,
2012-02,90176.100,
2012-03,97339.812,
2012-04,85250.331,
2012-05,90501.895,
2012-06,92535.730,
2012-07,91082.651,
2012-08,88618.501,
2012-09,89612.208,
2012-10,96462.227,
2012-11,91099.150,
2012-12,76750.141,
2013-01,87565.816,
2013-02,86757.958,
2013-03,93903.247,
2013-04,93535.169,
2013-05,87780.517,
2013-06,91008.866,
2013-07,91911.191,
2013-08,84293.282,
2013-09,93840.336,
2013-10,98067.431,
2013-11,93513.276,
2013-12,81470.595,
2014-01,89813.567,
2014-02,91297.369,
2014-03,94396.516,
2014-04,92290.905,
2014-05,91216.021,
2014-06,92156.405,
2014-07,99113.953,
2014-08,83178.582,
2014-09,101709.060,
2014-10,103895.456,
2014-11,94559.858,
2014-12,89365.011,Provisional value
