"",BBFN1.M.DE.N.1.A.JP.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JP.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2008-06,2.493,
2008-07,2.301,
2008-08,3.004,
2008-09,2.507,
2008-10,2.804,
2008-11,3.081,
2008-12,3.386,
2009-01,2.741,
2009-02,2.501,
2009-03,2.975,
2009-04,2.638,
2009-05,2.802,
2009-06,2.889,
2009-07,2.645,
2009-08,2.572,
2009-09,2.736,
2009-10,2.603,
2009-11,2.642,
2009-12,2.760,
2010-01,2.713,
2010-02,2.555,
2010-03,2.659,
2010-04,2.955,
2010-05,3.223,
2010-06,3.202,
2010-07,3.163,
2010-08,3.200,
2010-09,3.144,
2010-10,3.062,
2010-11,3.078,
2010-12,2.919,
2011-01,2.711,
2011-02,2.625,
2011-03,2.609,
2011-04,2.423,
2011-05,2.414,
2011-06,2.458,
2011-07,2.700,
2011-08,2.743,
2011-09,2.593,
2011-10,2.846,
2011-11,2.897,
2011-12,2.976,
2012-01,2.803,
2012-02,2.604,
2012-03,2.574,
2012-04,2.712,
2012-05,2.384,
2012-06,2.447,
2012-07,2.158,
2012-08,2.094,
2012-09,2.064,
2012-10,2.133,
2012-11,1.903,
2012-12,1.864,
2013-01,1.839,
2013-02,1.903,
2013-03,2.003,
2013-04,1.901,
2013-05,1.609,
2013-06,1.659,
2013-07,1.511,
2013-08,1.498,
2013-09,1.805,
2013-10,1.555,
2013-11,1.632,
2013-12,1.572,
2014-01,1.645,
2014-02,1.659,
2014-03,1.649,
2014-04,1.610,
2014-05,1.628,
2014-06,1.676,
2014-07,1.747,
2014-08,1.625,
2014-09,1.563,
2014-10,1.418,
2014-11,1.297,
2014-12,1.341,
