"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4P.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4P.P.F._Z._T._X.N_FLAGS
1999-03,3137.950,
1999-04,3232.666,
1999-05,5371.780,
1999-06,3397.455,
1999-07,3430.322,
1999-08,3197.010,
1999-09,3185.764,
1999-10,3181.017,
1999-11,3855.588,
1999-12,4023.095,
2000-01,3344.413,
2000-02,4126.773,
2000-03,3690.088,
2000-04,4680.367,
2000-05,5488.438,
2000-06,4469.242,
2000-07,4392.720,
2000-08,4188.124,
2000-09,3957.250,
2000-10,3918.737,
2000-11,4326.353,
2000-12,4398.414,
2001-01,4060.305,
2001-02,4773.951,
2001-03,4250.980,
2001-04,5407.305,
2001-05,6031.321,
2001-06,4653.387,
2001-07,4499.197,
2001-08,4239.021,
2001-09,3936.803,
2001-10,3903.798,
2001-11,4196.446,
2001-12,4259.522,
2002-01,4361.127,
2002-02,4195.820,
2002-03,4127.872,
2002-04,4712.421,
2002-05,6363.383,
2002-06,4801.944,
2002-07,4448.405,
2002-08,4396.963,
2002-09,4388.965,
2002-10,4254.020,
2002-11,4573.765,
2002-12,4517.181,
2003-01,4806.756,
2003-02,4364.991,
2003-03,4121.416,
2003-04,5728.868,
2003-05,6187.744,
2003-06,5410.721,
2003-07,4368.552,
2003-08,4353.254,
2003-09,4249.785,
2003-10,3918.541,
2003-11,4269.896,
2003-12,4395.797,
2004-01,4716.174,
2004-02,4221.805,
2004-03,4254.188,
2004-04,6392.412,
2004-05,5545.214,
2004-06,5037.773,
2004-07,3990.688,
2004-08,3933.439,
2004-09,4126.851,
2004-10,3819.088,
2004-11,4329.130,
2004-12,4286.995,
2005-01,4538.002,
2005-02,4159.088,
2005-03,4238.641,
2005-04,7174.100,
2005-05,6393.837,
2005-06,4609.524,
2005-07,4246.379,
2005-08,4223.708,
2005-09,4149.171,
2005-10,3998.627,
2005-11,4274.845,
2005-12,4373.593,
2006-01,4934.187,
2006-02,4382.276,
2006-03,5170.803,
2006-04,5723.289,
2006-05,11212.197,
2006-06,5289.908,
2006-07,4361.691,
2006-08,4433.236,
2006-09,4324.835,
2006-10,4251.131,
2006-11,4533.800,
2006-12,4618.956,
2007-01,5641.161,
2007-02,4648.383,
2007-03,4803.411,
2007-04,9133.018,
2007-05,15055.985,
2007-06,5750.083,
2007-07,5605.138,
2007-08,5324.442,
2007-09,4982.135,
2007-10,5055.109,
2007-11,5571.288,
2007-12,5617.233,
2008-01,7043.935,
2008-02,5614.728,
2008-03,5721.856,
2008-04,11501.729,
2008-05,14385.070,
2008-06,6685.222,
2008-07,6180.391,
2008-08,5566.553,
2008-09,5450.396,
2008-10,5391.354,
2008-11,5574.115,
2008-12,5424.780,
2009-01,6315.837,
2009-02,4566.399,
2009-03,4311.096,
2009-04,9400.820,
2009-05,11846.897,
2009-06,4289.304,
2009-07,3904.886,
2009-08,3737.630,
2009-09,3713.506,
2009-10,3679.325,
2009-11,3752.822,
2009-12,4061.550,
2010-01,4652.459,
2010-02,4259.289,
2010-03,4378.553,
2010-04,8132.033,
2010-05,11515.044,
2010-06,5217.958,
2010-07,4242.977,
2010-08,4039.228,
2010-09,4084.445,
2010-10,4128.055,
2010-11,4247.806,
2010-12,4558.794,
2011-01,5651.338,
2011-02,4262.518,
2011-03,4358.699,
2011-04,7544.209,
2011-05,16282.001,
2011-06,5193.301,
2011-07,4588.252,
2011-08,4229.443,
2011-09,4326.232,
2011-10,4259.824,
2011-11,4451.091,
2011-12,4752.623,
2012-01,5850.772,
2012-02,3990.498,
2012-03,4208.398,
2012-04,9050.554,
2012-05,11649.390,
2012-06,4766.244,
2012-07,4272.546,
2012-08,3807.463,
2012-09,3904.321,
2012-10,3836.793,
2012-11,3880.992,
2012-12,4156.976,
2013-01,5058.570,
2013-02,3916.876,
2013-03,4100.428,
2013-04,9105.784,
2013-05,8413.503,
2013-06,5173.071,
2013-07,4220.669,
2013-08,3843.570,
2013-09,4834.197,
2013-10,3873.340,
2013-11,3702.036,
2013-12,3776.279,
2014-01,5038.901,
2014-02,3686.576,Provisional value
2014-03,3603.810,Provisional value
2014-04,7079.018,Provisional value
2014-05,13082.438,Provisional value
2014-06,5348.162,Provisional value
2014-07,4208.507,Provisional value
2014-08,3492.543,Provisional value
2014-09,3418.113,
2014-10,3525.420,
2014-11,3359.797,
2014-12,3703.698,Provisional value
