"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F519._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F519._Z._T._X.N_FLAGS
2003-04,-26.409,
2003-05,-13.399,
2003-06,-22.273,
2003-07,-14.983,
2003-08,81.610,
2003-09,-38.684,
2003-10,-37.483,
2003-11,-7.366,
2003-12,-4.822,
2004-01,-16.857,
2004-02,74.535,
2004-03,-6.576,
2004-04,1.752,
2004-05,-9.036,
2004-06,26.021,
2004-07,-8.235,
2004-08,-4.424,
2004-09,32.301,
2004-10,-9.039,
2004-11,-8.534,
2004-12,-15.782,
2005-01,-11.191,
2005-02,19.627,
2005-03,-10.560,
2005-04,27.849,
2005-05,12.663,
2005-06,3.897,
2005-07,7.287,
2005-08,0.770,
2005-09,67.619,
2005-10,206.996,
2005-11,49.464,
2005-12,452.734,
2006-01,80.093,
2006-02,199.608,
2006-03,116.727,
2006-04,386.136,
2006-05,186.881,
2006-06,85.014,
2006-07,3203.188,
2006-08,210.847,
2006-09,174.624,
2006-10,536.493,
2006-11,380.551,
2006-12,821.786,
2007-01,777.420,
2007-02,1669.272,
2007-03,497.423,
2007-04,29.394,
2007-05,518.381,
2007-06,407.587,
2007-07,321.793,
2007-08,380.344,
2007-09,3173.477,
2007-10,266.712,
2007-11,127.748,
2007-12,390.585,
2008-01,28.374,
2008-02,1676.715,
2008-03,178.315,
2008-04,29.002,
2008-05,25.070,
2008-06,35.701,
2008-07,162.560,
2008-08,7.145,
2008-09,52.899,
2008-10,58.857,
2008-11,5.570,
2008-12,-134.533,
2009-01,-4.014,
2009-02,-2.281,
2009-03,-32.683,
2009-04,6.779,
2009-05,-14.085,
2009-06,-13.299,
2009-07,-72.951,
2009-08,-44.815,
2009-09,-63.474,
2009-10,-28.227,
2009-11,-1.242,
2009-12,58.184,
2010-01,-2.346,
2010-02,-15.434,
2010-03,274.960,
2010-04,-32.579,
2010-05,-12.284,
2010-06,-47.649,
2010-07,14.335,
2010-08,-63.895,
2010-09,82.727,
2010-10,-98.171,
2010-11,-13.629,
2010-12,12.367,
2011-01,-28.572,
2011-02,-25.998,
2011-03,6.148,
2011-04,13.421,
2011-05,57.496,
2011-06,-13.485,
2011-07,3.135,
2011-08,-119.707,
2011-09,-22.867,
2011-10,-5.349,
2011-11,-9.555,
2011-12,83.608,
2012-01,-75.687,
2012-02,-6.683,
2012-03,-42.356,
2012-04,19.081,
2012-05,-20.525,
2012-06,-0.481,
2012-07,48.868,
2012-08,-245.596,
2012-09,44.336,
2012-10,-57.237,
2012-11,0.573,
2012-12,-502.739,
2013-01,-60.041,
2013-02,-225.238,
2013-03,-125.555,
2013-04,23.568,
2013-05,-37.186,
2013-06,49.354,
2013-07,264.495,
2013-08,-63.555,
2013-09,65.682,
2013-10,6.144,
2013-11,30.904,
2013-12,-176.304,
2014-01,-125.505,
2014-02,-126.948,Provisional value
2014-03,17.569,Provisional value
2014-04,45.060,Provisional value
2014-05,9.313,Provisional value
2014-06,-442.431,Provisional value
2014-07,-111.608,Provisional value
2014-08,9.152,Provisional value
2014-09,-267.675,
2014-10,-253.715,
2014-11,-191.157,
2014-12,-60.610,Provisional value
