"",BBDA1.M.DE.N.IM.S.A.FR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.FR.A.V.ABA.A_FLAGS
2005-01,4127360,
2005-02,4004553,
2005-03,4240672,
2005-04,4760860,
2005-05,4482007,
2005-06,4694692,
2005-07,4254645,
2005-08,3900286,
2005-09,4325937,
2005-10,4956881,
2005-11,5167940,
2005-12,4784472,
2006-01,4530835,
2006-02,4489236,
2006-03,5578526,
2006-04,5224933,
2006-05,4928302,
2006-06,5636112,
2006-07,4832616,
2006-08,4294176,
2006-09,5191852,
2006-10,5956166,
2006-11,6178033,
2006-12,5260795,
2007-01,4895378,
2007-02,5444552,
2007-03,5747296,
2007-04,5696076,
2007-05,4771825,
2007-06,5436014,
2007-07,5482421,
2007-08,4625394,
2007-09,5056824,
2007-10,5829908,
2007-11,5276309,
2007-12,4610507,
2008-01,5346246,
2008-02,5850304,
2008-03,4905488,
2008-04,5966259,
2008-05,5081429,
2008-06,5311205,
2008-07,5968513,
2008-08,4370693,
2008-09,5316801,
2008-10,5683272,
2008-11,4932698,
2008-12,4635700,
2009-01,4544641,
2009-02,4671605,
2009-03,4784848,
2009-04,4843473,
2009-05,4059892,
2009-06,4552994,
2009-07,4132414,
2009-08,4041116,
2009-09,4555715,
2009-10,5218799,
2009-11,3931652,
2009-12,4001348,
2010-01,4420777,
2010-02,4726969,
2010-03,5037250,
2010-04,4755291,
2010-05,4756397,
2010-06,5714261,
2010-07,5998296,
2010-08,4377740,
2010-09,4956346,
2010-10,5133745,
2010-11,5483288,
2010-12,5312198,
2011-01,4649245,
2011-02,5567001,
2011-03,5968465,
2011-04,4875372,
2011-05,6007742,
2011-06,6745343,
2011-07,4942815,
2011-08,4882446,
2011-09,5838437,
2011-10,5848660,
2011-11,5491807,
2011-12,5130963,
2012-01,5137439,
2012-02,5117185,
2012-03,5881934,
2012-04,5638647,
2012-05,5626238,
2012-06,5239023,
2012-07,5516301,
2012-08,5055253,
2012-09,5097001,
2012-10,5438520,
2012-11,5870081,
2012-12,4417838,
2013-01,5041467,
2013-02,4976283,
2013-03,6140498,
2013-04,5306486,
2013-05,5494370,
2013-06,5695671,
2013-07,5603118,
2013-08,4542128,
2013-09,4610979,
2013-10,6271684,
2013-11,5342487,
2013-12,4993138,
2014-01,5382924,
2014-02,5787284,
2014-03,6763076,
2014-04,5739631,
2014-05,4648051,
2014-06,6624171,
2014-07,5481073,
2014-08,4376835,
2014-09,5912503,
2014-10,5869896,
2014-11,5842092,
2014-12,5124937,
