"",BBEX3.M.USD.GBP.CA.AB.A02,BBEX3.M.USD.GBP.CA.AB.A02_FLAGS
2006-04,1.7694,
2006-05,1.8696,
2006-06,1.8434,
2006-07,1.8451,
2006-08,1.8934,
2006-09,1.8849,
2006-10,1.8772,
2006-11,1.9124,
2006-12,1.9636,
2007-01,1.9590,
2007-02,1.9592,
2007-03,1.9479,
2007-04,1.9877,
2007-05,1.9837,
2007-06,1.9872,
2007-07,2.0354,
2007-08,2.0111,
2007-09,2.0200,
2007-10,2.0452,
2007-11,2.0715,
2007-12,2.0193,
2008-01,1.9706,
2008-02,1.9641,
2008-03,2.0014,
2008-04,1.9818,
2008-05,1.9650,
2008-06,1.9676,
2008-07,1.9897,
2008-08,1.8868,
2008-09,1.8002,
2008-10,1.6889,
2008-11,1.5290,
2008-12,1.4906,
2009-01,1.4494,
2009-02,1.4418,
2009-03,1.4200,
2009-04,1.4729,
2009-05,1.5458,
2009-06,1.6383,
2009-07,1.6387,
2009-08,1.6535,
2009-09,1.6314,
2009-10,1.6194,
2009-11,1.6612,
2009-12,1.6221,
2010-01,1.6164,
2010-02,1.5631,
2010-03,1.5066,
2010-04,1.5341,
2010-05,1.4661,
2010-06,1.4762,
2010-07,1.5303,
2010-08,1.5654,
2010-09,1.5578,
2010-10,1.5861,
2010-11,1.5956,
2010-12,1.5599,
2011-01,1.5790,
2011-02,1.6138,
2011-03,1.6161,
2011-04,1.6378,
2011-05,1.6341,
2011-06,1.6219,
2011-07,1.6151,
2011-08,1.6362,
2011-09,1.5779,
2011-10,1.5775,
2011-11,1.5801,
2011-12,1.5589,
2012-01,1.5524,
2012-02,1.5807,
2012-03,1.5832,
2012-04,1.6018,
2012-05,1.5911,
2012-06,1.5558,
2012-07,1.5601,
2012-08,1.5719,
2012-09,1.6115,
2012-10,1.6074,
2012-11,1.5966,
2012-12,1.6148,
2013-01,1.5975,
2013-02,1.5488,
2013-03,1.5083,
2013-04,1.5311,
2013-05,1.5186,
2013-06,1.5497,
2013-07,1.5187,
2013-08,1.5507,
2013-09,1.5877,
2013-10,1.6091,
2013-11,1.6113,
2013-12,1.6385,
2014-01,1.6476,
2014-02,1.6569,
2014-03,1.6619,
2014-04,1.6750,
2014-05,1.6843,
2014-06,1.6918,
2014-07,1.7076,
2014-08,1.6702,
2014-09,1.6306,
2014-10,1.6079,
2014-11,1.5776,
2014-12,1.5632,
2015-01,1.5161,
"","Source: Since April 2008: Thomson Reuters  1983 - March 2008 Reuters 1980 - 1982 The Wallstreet Journal, NewYork",
"",Methodology: Calculated on the basis of daily rates.,
