"",BBDA1.M.DE.N.EX.S.A.B0.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.B0.A.V.ABA.A_FLAGS
2010-01,40564402,
2010-02,43379689,
2010-03,51705130,
2010-04,45379544,
2010-05,46302883,
2010-06,51582021,
2010-07,47219965,
2010-08,43192952,
2010-09,51255961,
2010-10,52211474,
2010-11,51843706,
2010-12,48281327,
2011-01,49132397,
2011-02,51211404,
2011-03,59330768,
2011-04,51310334,
2011-05,54803319,
2011-06,53873471,
2011-07,49609812,
2011-08,48726069,
2011-09,56693133,
2011-10,52490642,
2011-11,55419145,
2011-12,47352306,
2012-01,51045378,
2012-02,53405863,
2012-03,56772960,
2012-04,50436932,
2012-05,53702432,
2012-06,53138765,
2012-07,51358481,
2012-08,48574682,
2012-09,52012820,
2012-10,56146292,
2012-11,52488094,
2012-12,43591037,
2013-01,52022082,
2013-02,51318288,
2013-03,53585503,
2013-04,52541161,
2013-05,50093239,
2013-06,53370881,
2013-07,51883277,
2013-08,46766422,
2013-09,54633327,
2013-10,57416602,
2013-11,53464426,
2013-12,46376934,
2014-01,54497591,
2014-02,54692351,
2014-03,55511915,
2014-04,54637402,
2014-05,53141997,
2014-06,54771885,
2014-07,56918775,
2014-08,47664405,
2014-09,58644334,
2014-10,59713812,
2014-11,56181103,
2014-12,50786467,
