"",BBFN1.M.DE.N.1.A.EG.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.EG.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1989-07,0.189,
1989-08,0.190,
1989-09,0.191,
1989-10,0.177,
1989-11,0.183,
1989-12,0.169,
1990-01,0.166,
1990-02,0.173,
1990-03,0.155,
1990-04,0.156,
1990-05,0.162,
1990-06,0.158,
1990-07,0.157,
1990-08,0.155,
1990-09,0.135,
1990-10,0.126,
1990-11,0.133,
1990-12,0.125,
1991-01,0.128,
1991-02,0.123,
1991-03,0.117,
1991-04,0.117,
1991-05,0.116,
1991-06,0.115,
1991-07,0.115,
1991-08,0.107,
1991-09,0.105,
1991-10,0.103,
1991-11,0.096,
1991-12,0.096,
1992-01,0.097,
1992-02,0.092,
1992-03,0.094,
1992-04,0.089,
1992-05,0.081,
1992-06,0.082,
1992-07,0.082,
1992-08,0.073,
1992-09,0.071,
1992-10,0.072,
1992-11,0.069,
1992-12,0.070,
1993-01,0.071,
1993-02,0.071,
1993-03,0.068,
1993-04,0.066,
1993-05,0.061,
1993-06,0.058,
1993-07,0.057,
1993-08,0.056,
1993-09,0.054,
1993-10,0.049,
1993-11,0.050,
1993-12,0.049,
1994-01,0.046,
1994-02,0.046,
1994-03,0.046,
1994-04,0.042,
1994-05,0.040,
1994-06,0.039,
1994-07,0.038,
1994-08,0.038,
1994-09,0.035,
1994-10,0.034,
1994-11,0.048,
1994-12,0.039,
1995-01,0.053,
1995-02,0.053,
1995-03,0.047,
1995-04,0.048,
1995-05,0.046,
1995-06,0.041,
1995-07,0.041,
1995-08,0.041,
1995-09,0.039,
1995-10,0.037,
1995-11,0.037,
1995-12,0.037,
1996-01,0.040,
1996-02,0.038,
1996-03,0.045,
1996-04,0.044,
1996-05,0.039,
1996-06,0.039,
1996-07,0.038,
1996-08,0.039,
1996-09,0.034,
1996-10,0.030,
1996-11,0.028,
1996-12,0.023,
1997-01,0.038,
1997-02,0.035,
1997-03,0.034,
1997-04,0.033,
1997-05,0.033,
1997-06,0.029,
1997-07,0.026,
1997-08,0.027,
1997-09,0.025,
1997-10,0.024,
1997-11,0.020,
1997-12,0.021,
1998-01,0.037,
1998-02,0.040,
1998-03,0.040,
1998-04,0.040,
1998-05,0.040,
1998-06,0.042,
1998-07,0.044,
1998-08,0.044,
1998-09,0.044,
1998-10,0.043,
1998-11,0.013,
1998-12,0.047,
1999-01,0.048,
1999-02,0.048,
1999-03,0.047,
1999-04,0.016,
1999-05,0.015,
1999-06,0.019,
1999-07,0.019,
1999-08,0.020,
1999-09,0.020,
1999-10,0.020,
1999-11,0.020,
1999-12,0.020,
2000-01,0.020,
2000-02,0.020,
2000-03,0.010,
2000-04,0.010,
2000-05,0.010,
2000-06,0.010,
2000-07,0.011,
2000-08,0.011,
2000-09,0.037,
2000-10,0.018,
2000-11,0.028,
2000-12,0.028,
2001-01,0.028,
2001-02,0.028,
2001-03,0.016,
2001-04,0.021,
2001-05,0.018,
2001-06,0.022,
2001-07,0.023,
2001-08,0.020,
2001-09,0.017,
2001-10,0.036,
2001-11,0.038,
2001-12,0.041,
2002-01,0.039,
2002-02,0.039,
2002-03,0.040,
2002-04,0.042,
2002-05,0.041,
2002-06,0.042,
2002-07,0.050,
2002-08,0.052,
2002-09,0.052,
2002-10,0.050,
2002-11,0.050,
2002-12,0.051,
2003-01,0.047,
2003-02,0.050,
2003-03,0.051,
2003-04,0.052,
2003-05,0.063,
2003-06,0.059,
2003-07,0.071,
2003-08,0.095,
2003-09,0.094,
2003-10,0.092,
2003-11,0.090,
2003-12,0.087,
2004-01,0.087,
2004-02,0.085,
2004-03,0.082,
2004-04,0.082,
2004-05,0.074,
2004-06,0.081,
2004-07,0.075,
2004-08,0.076,
2004-09,0.078,
2004-10,0.078,
2004-11,0.082,
2004-12,0.080,
2005-01,0.076,
2005-02,0.076,
2005-03,0.078,
2005-04,0.078,
2005-05,0.078,
2005-06,0.079,
2005-07,0.068,
2005-08,0.066,
2005-09,0.067,
2005-10,0.067,
2005-11,0.077,
2005-12,0.079,
2006-01,0.075,
2006-02,0.075,
2006-03,0.075,
2006-04,0.073,
2006-05,0.072,
2006-06,0.069,
2006-07,0.074,
2006-08,0.074,
2006-09,0.076,
2006-10,0.076,
2006-11,0.075,
2006-12,0.095,
2007-01,0.092,
2007-02,0.092,
2007-03,0.097,
2007-04,0.091,
2007-05,0.089,
2007-06,0.089,
2007-07,0.087,
2007-08,0.086,
2007-09,0.085,
2007-10,0.084,
2007-11,0.082,
2007-12,0.082,
2008-01,0.082,
2008-02,0.053,
2008-03,0.053,
2008-04,0.053,
2008-05,0.049,
2008-06,0.049,
2008-07,0.048,
2008-08,0.047,
2008-09,0.046,
2008-10,0.045,
2008-11,0.041,
2008-12,0.041,
2009-01,0.042,
2009-02,0.042,
2009-03,0.041,
2009-04,0.041,
2009-05,0.038,
2009-06,0.037,
2009-07,0.037,
2009-08,0.038,
2009-09,0.037,
2009-10,0.036,
2009-11,0.037,
2009-12,0.038,
2010-01,0.038,
2010-02,0.037,
2010-03,0.037,
2010-04,0.037,
2010-05,0.035,
2010-06,0.034,
2010-07,0.034,
2010-08,0.039,
2010-09,0.037,
2010-10,0.038,
2010-11,0.038,
2010-12,0.043,
2011-01,0.042,
2011-02,0.041,
2011-03,0.041,
2011-04,0.041,
2011-05,0.041,
2011-06,0.041,
2011-07,0.041,
2011-08,0.039,
2011-09,0.047,
2011-10,0.048,
2011-11,0.046,
2011-12,0.048,
2012-01,0.050,
2012-02,0.049,
2012-03,0.051,
2012-04,0.051,
2012-05,0.050,
2012-06,0.057,
2012-07,0.057,
2012-08,0.056,
2012-09,0.055,
2012-10,0.054,
2012-11,0.053,
2012-12,0.053,
2013-01,0.052,
2013-02,0.053,
2013-03,0.053,
2013-04,0.052,
2013-05,0.052,
2013-06,0.057,
2013-07,0.077,
2013-08,0.077,
2013-09,0.080,
2013-10,0.080,
2013-11,0.080,
2013-12,0.078,
2014-01,0.076,
2014-02,0.076,
2014-03,0.078,
2014-04,0.079,
2014-05,0.078,
2014-06,0.079,
2014-07,0.079,
2014-08,0.080,
2014-09,0.081,
2014-10,0.080,
2014-11,0.080,
2014-12,0.075,
