"",BBFB1.M.N.DE.W1.S1.S1.T.B.SK._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SK._Z._Z._Z._T._X.N_FLAGS
1998-12,-228.103,
1999-01,-452.126,
1999-02,-151.880,
1999-03,-167.546,
1999-04,-150.076,
1999-05,-258.646,
1999-06,-269.417,
1999-07,-164.823,
1999-08,-204.491,
1999-09,-262.702,
1999-10,-238.279,
1999-11,-159.348,
1999-12,-663.327,
2000-01,-290.942,
2000-02,-248.547,
2000-03,-187.788,
2000-04,-190.904,
2000-05,-201.601,
2000-06,-204.898,
2000-07,-179.627,
2000-08,-174.662,
2000-09,-190.986,
2000-10,-217.776,
2000-11,-273.381,
2000-12,-1114.655,
2001-01,-226.917,
2001-02,-214.049,
2001-03,-357.527,
2001-04,-155.903,
2001-05,-157.106,
2001-06,-184.543,
2001-07,-140.856,
2001-08,-170.260,
2001-09,-78.382,
2001-10,-210.487,
2001-11,-590.235,
2001-12,-1424.370,
2002-01,-154.286,
2002-02,-148.501,
2002-03,-118.579,
2002-04,-151.349,
2002-05,-104.383,
2002-06,-169.440,
2002-07,-115.690,
2002-08,-93.786,
2002-09,-71.564,
2002-10,-124.261,
2002-11,-51.559,
2002-12,-530.578,
2003-01,-208.651,
2003-02,-106.983,
2003-03,-81.374,
2003-04,-98.208,
2003-05,-42.719,
2003-06,16.445,
2003-07,-94.149,
2003-08,-102.119,
2003-09,-178.965,
2003-10,-222.404,
2003-11,-74.740,
2003-12,-507.997,
2004-01,-190.904,
2004-02,-101.782,
2004-03,-83.936,
2004-04,-120.617,
2004-05,-100.951,
2004-06,-140.320,
2004-07,-207.190,
2004-08,-77.716,
2004-09,-90.221,
2004-10,-122.223,
2004-11,25.700,
2004-12,-555.119,
2005-01,-168.561,
2005-02,-140.041,
2005-03,-81.901,
2005-04,-145.818,
2005-05,-104.097,
2005-06,-107.905,
2005-07,-101.927,
2005-08,-154.834,
2005-09,-139.124,
2005-10,-187.245,
2005-11,-141.238,
2005-12,-399.035,
2006-01,-298.199,
2006-02,-163.178,
2006-03,-86.768,
2006-04,-118.779,
2006-05,-110.347,
2006-06,-92.873,
2006-07,-118.752,
2006-08,-122.071,
2006-09,-113.111,
2006-10,-109.896,
2006-11,-118.320,
2006-12,-1528.333,
2007-01,-152.115,
2007-02,-271.711,
2007-03,-103.440,
2007-04,-100.373,
2007-05,-73.615,
2007-06,-38.879,
2007-07,-124.136,
2007-08,-173.452,
2007-09,-92.722,
2007-10,-104.742,
2007-11,-86.547,
2007-12,97.300,
2008-01,-152.036,
2008-02,-193.539,
2008-03,-130.113,
2008-04,-98.233,
2008-05,-76.973,
2008-06,-115.029,
2008-07,-119.197,
2008-08,-105.269,
2008-09,-147.837,
2008-10,-143.992,
2008-11,-57.847,
2008-12,81.192,
2009-01,-158.576,
2009-02,-107.303,
2009-03,-142.543,
2009-04,-119.978,
2009-05,-83.521,
2009-06,-63.057,
2009-07,-121.923,
2009-08,-136.302,
2009-09,-94.519,
2009-10,-114.006,
2009-11,-47.894,
2009-12,85.020,
2010-01,-235.075,
2010-02,-108.574,
2010-03,-108.181,
2010-04,-155.543,
2010-05,-93.516,
2010-06,-97.431,
2010-07,-169.967,
2010-08,-143.139,
2010-09,-45.524,
2010-10,-98.814,
2010-11,-59.714,
2010-12,65.283,
2011-01,-249.994,
2011-02,-129.911,
2011-03,-111.137,
2011-04,-98.826,
2011-05,-60.299,
2011-06,-87.204,
2011-07,-134.898,
2011-08,-118.398,
2011-09,-141.057,
2011-10,-103.808,
2011-11,-69.555,
2011-12,42.477,
2012-01,-216.015,
2012-02,-144.439,
2012-03,-112.256,
2012-04,-90.783,
2012-05,-79.935,
2012-06,-130.743,
2012-07,-144.966,
2012-08,-127.451,
2012-09,-62.252,
2012-10,-77.126,
2012-11,-57.668,
2012-12,43.004,
2013-01,-163.977,
2013-02,-86.430,
2013-03,-97.028,
2013-04,-76.077,
2013-05,-67.746,
2013-06,-34.531,
2013-07,-54.941,
2013-08,-149.153,
2013-09,-114.634,
2013-10,-66.502,
2013-11,-65.015,
2013-12,126.634,
2014-01,-185.128,
2014-02,-117.585,Provisional value
2014-03,-130.271,Provisional value
2014-04,-88.433,Provisional value
2014-05,-69.468,Provisional value
2014-06,-60.087,Provisional value
2014-07,-135.681,Provisional value
2014-08,-138.700,Provisional value
2014-09,-115.525,
2014-10,-102.250,
2014-11,-69.154,
2014-12,0.730,Provisional value
