"",BBEX3.M.JMD.USD.CA.AA.A01,BBEX3.M.JMD.USD.CA.AA.A01_FLAGS
2001-09,45.8511,
2001-10,47.4054,
2001-11,47.0475,
2001-12,47.1748,
2002-01,47.3554,
2002-02,47.3662,
2002-03,47.4619,
2002-04,45.4099,
2002-05,48.1214,
2002-06,48.4546,
2002-07,48.5305,
2002-08,48.9016,
2002-09,49.0600,
2002-10,49.3000,
2002-11,49.8100,
2002-12,50.5500,
2003-01,52.7300,
2003-02,53.5000,
2003-03,55.9200,
2003-04,56.8400,
2003-05,59.0800,
2003-06,58.5600,
2003-07,58.9300,
2003-08,59.0700,
2003-09,59.5000,
2003-10,60.0800,
2003-11,60.4600,
2003-12,60.4200,
2004-01,60.4700,
2004-02,60.7300,
2004-03,60.7900,
2004-04,60.3900,
2004-05,60.6400,
2004-06,60.8000,
2004-07,61.3700,
2004-08,61.4700,
2004-09,61.6500,
2004-10,61.6600,
2004-11,61.6300,
2004-12,61.2700,
2005-01,61.5900,
2005-02,61.5800,
2005-03,61.2100,
2005-04,61.3600,
2005-05,61.4500,
2005-06,61.4900,
2005-07,62.0600,
2005-08,61.9300,
2005-09,62.6000,
2005-10,63.8200,
2005-11,64.4200,
2005-12,64.1800,
2006-01,64.6400,
2006-02,65.0600,
2006-03,65.2600,
2006-04,65.3900,
2006-05,65.5300,
2006-06,65.7700,
2006-07,65.7300,
2006-08,65.7700,
2006-09,65.8900,
2006-10,66.3200,
2006-11,66.6900,
2006-12,66.9200,
2007-01,67.3400,
2007-02,67.2700,
2007-03,67.5600,
2007-04,67.8300,
2007-05,67.9800,
2007-06,68.2700,
2007-07,68.6400,
2007-08,69.5600,
2007-09,70.1200,
2007-10,70.9100,
2007-11,71.0500,
2007-12,70.1800,
2008-01,71.4431,
2008-02,71.0962,
2008-03,70.7938,
2008-04,71.0806,
2008-05,71.2438,
2008-06,71.5373,
2008-07,71.6605,
2008-08,71.7337,
2008-09,72.2822,
2008-10,75.9634,
2008-11,77.2675,
2008-12,79.9621,
2009-01,85.6058,
2009-02,87.8110,
2009-03,87.9542,
2009-04,88.5542,
2009-05,88.8676,
2009-06,88.5937,
2009-07,88.6143,
2009-08,88.5997,
2009-09,88.6512,
2009-10,88.9669,
2009-11,89.1740,
2009-12,89.0556,
2010-01,89.2669,
2010-02,89.4310,
2010-03,88.9567,
2010-04,88.7943,
2010-05,87.6962,
2010-06,85.4446,
2010-07,85.6727,
2010-08,85.1237,
2010-09,85.7955,
2010-10,85.1424,
2010-11,85.7418,
2010-12,85.3408,
2011-01,85.2440,
2011-02,85.5196,
2011-03,85.3967,
2011-04,85.3557,
2011-05,85.3908,
2011-06,85.5440,
2011-07,85.6750,
2011-08,85.7875,
2011-09,85.9385,
2011-10,86.0680,
2011-11,86.3023,
2011-12,86.1351,
2012-01,86.4015,
2012-02,86.6220,
2012-03,86.9308,
2012-04,86.9913,
2012-05,87.6535,
2012-06,88.2004,
2012-07,89.0754,
2012-08,89.4082,
2012-09,89.5075,
2012-10,90.5185,
2012-11,91.2208,
2012-12,92.1498,
2013-01,93.0770,
2013-02,96.2865,
2013-03,97.9353,
2013-04,98.7650,
2013-05,98.6611,
2013-06,100.5591,
2013-07,101.3621,
2013-08,101.6506,
2013-09,102.8744,
2013-10,104.3199,
2013-11,105.4110,
2013-12,105.7165,
2014-01,106.9819,
2014-02,107.7507,
2014-03,108.9943,
2014-04,109.5394,
2014-05,110.9514,
2014-06,111.5190,
2014-07,112.3644,
2014-08,112.4629,
2014-09,112.3869,
2014-10,112.2259,
2014-11,113.1302,
2014-12,114.1193,
2015-01,115.5293,
"","Source: Since 2000: Bank of Jamaica, Kingston. 1997 - 1999: National Commercial Bank Jamaica Limited, Kingston. 1990 - 1996: Mutual Security Bank Limited, Kingston.",
