"",BBDA1.M.DE.N.EX.S.A.PL.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.PL.A.V.ABA.A_FLAGS
2002-09,1446047,
2002-10,1509154,
2002-11,1400111,
2002-12,1194871,
2003-01,1352792,
2003-02,1250508,
2003-03,1218986,
2003-04,1283583,
2003-05,1377593,
2003-06,1439092,
2003-07,1454499,
2003-08,1369604,
2003-09,1464733,
2003-10,1401961,
2003-11,1417056,
2003-12,1331423,
2004-01,1413714,
2004-02,1393744,
2004-03,1754188,
2004-04,1679549,
2004-05,1724666,
2004-06,1428172,
2004-07,1520624,
2004-08,1508726,
2004-09,1569771,
2004-10,1680026,
2004-11,1721883,
2004-12,1381241,
2005-01,1576297,
2005-02,1613235,
2005-03,1770038,
2005-04,1787345,
2005-05,1789215,
2005-06,1812564,
2005-07,1788963,
2005-08,1827521,
2005-09,2017789,
2005-10,2141185,
2005-11,2177889,
2005-12,2046742,
2006-01,2100081,
2006-02,2089596,
2006-03,2368802,
2006-04,2288396,
2006-05,2412347,
2006-06,2406784,
2006-07,2334514,
2006-08,2365235,
2006-09,2613075,
2006-10,2951931,
2006-11,2697430,
2006-12,2390603,
2007-01,2651959,
2007-02,2707994,
2007-03,3030671,
2007-04,2911964,
2007-05,2973116,
2007-06,3038058,
2007-07,3034278,
2007-08,3088981,
2007-09,3180095,
2007-10,3449489,
2007-11,3346573,
2007-12,2780074,
2008-01,3344247,
2008-02,3332191,
2008-03,3469133,
2008-04,3664881,
2008-05,3390329,
2008-06,3516261,
2008-07,3536929,
2008-08,3390054,
2008-09,3720996,
2008-10,3752466,
2008-11,3100596,
2008-12,2532253,
2009-01,2471452,
2009-02,2435331,
2009-03,2699892,
2009-04,2549476,
2009-05,2455113,
2009-06,2413049,
2009-07,2586903,
2009-08,2487216,
2009-09,2963089,
2009-10,2928443,
2009-11,2713990,
2009-12,2417828,
2010-01,2482949,
2010-02,2621124,
2010-03,3311825,
2010-04,2936039,
2010-05,3053855,
2010-06,3378095,
2010-07,3085353,
2010-08,3212289,
2010-09,3460176,
2010-10,3649890,
2010-11,3399040,
2010-12,3074886,
2011-01,3293659,
2011-02,3458011,
2011-03,4002346,
2011-04,3594181,
2011-05,3812191,
2011-06,3679803,
2011-07,3538524,
2011-08,3638318,
2011-09,3929803,
2011-10,3736400,
2011-11,3671911,
2011-12,3147527,
2012-01,3380283,
2012-02,3469319,
2012-03,3646962,
2012-04,3371077,
2012-05,3600638,
2012-06,3420052,
2012-07,3471419,
2012-08,3549410,
2012-09,3464546,
2012-10,3965157,
2012-11,3537793,
2012-12,2946536,
2013-01,3414839,
2013-02,3253782,
2013-03,3606998,
2013-04,3481693,
2013-05,3434909,
2013-06,3635512,
2013-07,3515381,
2013-08,3525363,
2013-09,3782306,
2013-10,4116464,
2013-11,3654131,
2013-12,3051234,
2014-01,3691962,
2014-02,3709178,
2014-03,3955059,
2014-04,3824453,
2014-05,3741068,
2014-06,3977089,
2014-07,4230994,
2014-08,3656041,
2014-09,4377595,
2014-10,4430899,
2014-11,4183850,
2014-12,3765629,
