"",BBSF2.M.1.P.00000.REN01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
1978-08,32,
1978-09,32,
1978-10,32,
1978-11,33,
1978-12,33,
1979-01,33,
1979-02,33,
1979-03,34,
1979-04,35,
1979-05,35,
1979-06,35,
1979-07,35,
1979-08,35,
1979-09,35,
1979-10,36,
1979-11,37,
1979-12,37,
1980-01,38,
1980-02,38,
1980-03,38,
1980-04,38,
1980-05,38,
1980-06,38,
1980-07,39,
1980-08,39,
1980-09,39,
1980-10,39,
1980-11,39,
1980-12,38,
1981-01,38,
1981-02,38,
1981-03,38,
1981-04,38,
1981-05,38,
1981-06,38,
1981-07,38,
1981-08,38,
1981-09,39,
1981-10,39,
1981-11,40,
1981-12,40,
1982-01,40,
1982-02,40,
1982-03,40,
1982-04,41,
1982-05,41,
1982-06,41,
1982-07,41,
1982-08,41,
1982-09,41,
1982-10,41,
1982-11,41,
1982-12,41,
1983-01,41,
1983-02,41,
1983-03,41,
1983-04,41,
1983-05,41,
1983-06,41,
1983-07,42,
1983-08,42,
1983-09,43,
1983-10,43,
1983-11,44,
1983-12,43,
1984-01,43,
1984-02,44,
1984-03,44,
1984-04,44,
1984-05,44,
1984-06,45,
1984-07,46,
1984-08,46,
1984-09,46,
1984-10,46,
1984-11,48,
1984-12,48,
1985-01,49,
1985-02,49,
1985-03,49,
1985-04,50,
1985-05,53,
1985-06,53,
1985-07,53,
1985-08,53,
1985-09,53,
1985-10,54,
1985-11,54,
1985-12,54,
1986-01,55,
1986-02,56,
1986-03,56,
1986-04,57,
1986-05,60,
1986-06,60,
1986-07,61,
1986-08,61,
1986-09,61,
1986-10,63,
1986-11,63,
1986-12,63,
1987-01,63,
1987-02,63,
1987-03,63,
1987-04,63,
1987-05,64,
1987-06,65,
1987-07,65,
1987-08,65,
1987-09,65,
1987-10,65,
1987-11,68,
1987-12,69,
1988-01,69,
1988-02,71,
1988-03,72,
1988-04,73,
1988-05,78,
1988-06,80,
1988-07,82,
1988-08,85,
1988-09,86,
1988-10,89,
1988-11,90,
1988-12,90,
1989-01,98,
1989-02,101,
1989-03,103,
1989-04,107,
1989-05,108,
1989-06,111,
1989-07,112,
1989-08,112,
1989-09,113,
1989-10,116,
1989-11,118,
1989-12,122,
1990-01,127,
1990-02,139,
1990-03,158,
1990-04,158,
1990-05,158,
1990-06,158,
1990-07,160,
1990-08,159,
1990-09,159,
1990-10,163,
1990-11,167,
1990-12,168,
1991-01,172,
1991-02,172,
1991-03,173,
1991-04,175,
1991-05,180,
1991-06,184,
1991-07,188,
1991-08,192,
1991-09,194,
1991-10,200,
1991-11,201,
1991-12,204,
1992-01,190,comment
1992-02,188,
1992-03,192,
1992-04,193,
1992-05,197,
1992-06,198,
1992-07,199,
1992-08,200,
1992-09,201,
1992-10,203,
1992-11,206,
1992-12,205,
1993-01,207,
1993-02,207,
1993-03,205,
1993-04,206,
1993-05,206,
1993-06,208,
1993-07,208,
1993-08,208,
1993-09,208,
1993-10,208,
1993-11,208,
1993-12,207,
1994-01,207,
1994-02,208,
1994-03,207,
1994-04,207,
1994-05,208,
1994-06,206,
1994-07,208,
1994-08,208,
1994-09,208,
1994-10,211,
1994-11,212,
1994-12,217,
1995-01,219,
1995-02,220,
1995-03,220,
1995-04,223,
1995-05,227,
1995-06,229,
1995-07,228,
1995-08,229,
1995-09,227,
1995-10,229,
1995-11,234,
1995-12,242,
1996-01,243,
1996-02,244,
1996-03,250,
1996-04,250,
1996-05,252,
1996-06,251,
1996-07,253,
1996-08,255,
1996-09,255,
1996-10,258,
1996-11,257,
1996-12,257,
1997-01,256,
1997-02,256,
1997-03,255,
1997-04,257,
1997-05,258,
1997-06,258,
1997-07,261,
1997-08,263,
1997-09,267,
1997-10,269,
1997-11,270,
1997-12,269,
1998-01,272,
1998-02,273,
1998-03,274,
1998-04,272,
1998-05,272,
1998-06,272,
1998-07,270,
1998-08,270,
1998-09,266,
1998-10,261,
1998-11,262,
1998-12,262,
1999-01,260,
1999-02,263,
1999-03,263,
1999-04,261,
1999-05,263,
1999-06,262,
1999-07,268,
1999-08,270,
1999-09,270,
1999-10,272,
1999-11,273,
1999-12,274,
2000-01,275,
2000-02,276,
2000-03,280,
2000-04,284,
2000-05,285,
2000-06,288,
2000-07,289,
2000-08,290,
2000-09,288,
2000-10,290,
2000-11,291,
2000-12,288,
2001-01,287,
2001-02,286,
2001-03,285,
2001-04,289,
2001-05,291,
2001-06,290,
2001-07,296,
2001-08,297,
2001-09,295,
2001-10,291,
2001-11,293,
2001-12,294,
2002-01,292,
2002-02,291,
2002-03,289,
2002-04,295,
2002-05,296,
2002-06,295,
2002-07,291,
2002-08,294,
2002-09,293,
2002-10,294,
2002-11,296,
2002-12,295,
2003-01,296,
2003-02,296,
2003-03,295,
2003-04,297,
2003-05,299,
2003-06,303,
2003-07,301,
2003-08,304,
2003-09,301,
2003-10,301,
2003-11,302,
2003-12,300,
2004-01,300,
2004-02,302,
2004-03,302,
2004-04,300,
2004-05,300,
2004-06,297,
2004-07,296,
2004-08,298,
2004-09,297,
2004-10,300,
2004-11,303,
2004-12,308,
2005-01,308,
2005-02,308,
2005-03,307,
2005-04,306,
2005-05,308,
2005-06,310,
2005-07,310,
2005-08,308,
2005-09,308,
2005-10,309,
2005-11,306,
2005-12,305,
2006-01,305,
2006-02,307,
2006-03,308,
2006-04,311,
2006-05,314,
2006-06,318,
2006-07,323,
2006-08,322,
2006-09,323,
2006-10,326,
2006-11,324,
2006-12,328,
2007-01,330,
2007-02,328,
2007-03,330,
2007-04,332,
2007-05,337,
2007-06,336,
2007-07,340,
2007-08,340,
2007-09,339,
2007-10,337,
2007-11,334,
2007-12,333,
2008-01,331,
2008-02,332,
2008-03,334,
2008-04,335,
2008-05,336,
2008-06,339,
2008-07,340,
2008-08,341,
2008-09,341,
2008-10,339,
2008-11,338,
2008-12,337,
2009-01,332,
2009-02,338,
2009-03,357,
2009-04,367,
2009-05,365,
2009-06,367,
2009-07,371,
2009-08,373,
2009-09,382,
2009-10,381,
2009-11,377,
2009-12,380,
2010-01,375,
2010-02,371,
2010-03,373,
2010-04,368,
2010-05,365,
2010-06,364,
2010-07,362,
2010-08,366,
2010-09,370,
2010-10,367,
2010-11,376,
2010-12,378,
2011-01,379,
2011-02,379,
2011-03,378,
2011-04,378,
2011-05,380,
2011-06,375,
2011-07,379,
2011-08,378,
2011-09,378,
2011-10,376,
2011-11,375,
2011-12,372,
2012-01,373,
2012-02,373,
2012-03,370,
2012-04,373,
2012-05,378,
2012-06,378,
2012-07,377,
2012-08,376,
2012-09,368,
2012-10,367,
2012-11,365,
2012-12,364,
2013-01,365,
2013-02,366,
2013-03,368,
2013-04,366,
2013-05,365,
2013-06,362,
2013-07,365,
2013-08,365,
2013-09,359,
2013-10,354,
2013-11,352,
2013-12,352,
2014-01,356,
2014-02,355,
2014-03,355,
2014-04,358,
2014-05,353,
2014-06,353,
2014-07,353,
2014-08,358,
2014-09,358,
2014-10,370,
2014-11,369,
