"",BBSF2.M.1.P.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
1982-05,2387,
1982-06,2398,
1982-07,2419,
1982-08,2442,
1982-09,2471,
1982-10,2499,
1982-11,2534,
1982-12,2582,
1983-01,2668,
1983-02,2770,
1983-03,2886,
1983-04,2992,
1983-05,3069,
1983-06,3107,
1983-07,3166,
1983-08,3216,
1983-09,3262,
1983-10,3317,
1983-11,3360,
1983-12,3435,
1984-01,3472,
1984-02,3538,
1984-03,3587,
1984-04,3623,
1984-05,3655,
1984-06,3671,
1984-07,3717,
1984-08,3752,
1984-09,3802,
1984-10,3840,
1984-11,3869,
1984-12,3908,
1985-01,3942,
1985-02,3980,
1985-03,3994,
1985-04,4112,
1985-05,4145,
1985-06,4154,
1985-07,4188,
1985-08,4226,
1985-09,4260,
1985-10,4295,
1985-11,4328,
1985-12,4360,
1986-01,4385,
1986-02,4443,
1986-03,4528,
1986-04,4608,
1986-05,4658,
1986-06,4693,
1986-07,4751,
1986-08,4820,
1986-09,4879,
1986-10,4955,
1986-11,5032,
1986-12,5101,
1987-01,5254,
1987-02,5440,
1987-03,5616,
1987-04,5794,
1987-05,5934,
1987-06,6064,
1987-07,6226,
1987-08,6346,
1987-09,6458,
1987-10,6515,
1987-11,6599,
1987-12,6691,
1988-01,6911,
1988-02,7128,
1988-03,7327,
1988-04,7452,
1988-05,7556,
1988-06,7623,
1988-07,7680,
1988-08,7723,
1988-09,7778,
1988-10,7797,
1988-11,7818,
1988-12,7676,
1989-01,7721,
1989-02,7721,
1989-03,7714,
1989-04,7723,
1989-05,7819,
1989-06,7889,
1989-07,7952,
1989-08,8060,
1989-09,8132,
1989-10,8172,
1989-11,8220,
1989-12,8216,
1990-01,8238,
1990-02,8268,
1990-03,9027,
1990-04,9042,
1990-05,9045,
1990-06,9000,
1990-07,8997,
1990-08,9008,
1990-09,9110,
1990-10,9119,
1990-11,9165,
1990-12,9180,
1991-01,9250,
1991-02,9416,
1991-03,9568,
1991-04,9642,
1991-05,9724,
1991-06,9764,
1991-07,9915,
1991-08,10077,
1991-09,10274,
1991-10,10396,
1991-11,10524,
1991-12,10699,
1992-01,11146,
1992-02,11606,
1992-03,11990,
1992-04,12265,
1992-05,12478,
1992-06,12636,
1992-07,12904,
1992-08,13076,
1992-09,13378,
1992-10,13670,
1992-11,13957,
1992-12,14390,
1993-01,15550,
1993-02,16472,
1993-03,17285,
1993-04,17999,
1993-05,18492,
1993-06,18889,
1993-07,19606,
1993-08,20220,
1993-09,20892,
1993-10,21472,
1993-11,22271,
1993-12,22627,
1994-01,23851,
1994-02,24379,
1994-03,24690,
1994-04,24999,
1994-05,25242,
1994-06,25291,
1994-07,25629,
1994-08,25778,
1994-09,25999,
1994-10,26173,
1994-11,26349,
1994-12,26605,
1995-01,26840,
1995-02,27096,
1995-03,27352,
1995-04,27555,
1995-05,27861,
1995-06,27996,
1995-07,28527,
1995-08,28997,
1995-09,29394,
1995-10,29819,
1995-11,30273,
1995-12,30604,
1996-01,32482,
1996-02,33533,
1996-03,34187,
1996-04,34783,
1996-05,35238,
1996-06,35456,
1996-07,36024,
1996-08,36516,
1996-09,36974,
1996-10,37399,
1996-11,37785,
1996-12,37950,
1997-01,38854,
1997-02,39664,
1997-03,40049,
1997-04,40415,
1997-05,40681,
1997-06,40774,
1997-07,41081,
1997-08,41113,
1997-09,41163,
1997-10,41137,
1997-11,41299,
1997-12,41428,
1998-01,41698,
1998-02,42149,
1998-03,42331,
1998-04,42221,
1998-05,42269,
1998-06,42193,
1998-07,42463,
1998-08,42743,
1998-09,42914,
1998-10,43227,
1998-11,43682,
1998-12,44083,
1999-01,45191,
1999-02,46237,
1999-03,47026,
1999-04,47807,
1999-05,48652,
1999-06,49027,
1999-07,49862,
1999-08,50377,
1999-09,50892,
1999-10,51464,
1999-11,51581,
1999-12,51363,
2000-01,50473,
2000-02,50008,
2000-03,49804,
2000-04,49533,
2000-05,49175,
2000-06,48738,
2000-07,48683,
2000-08,48702,
2000-09,48802,
2000-10,48865,
2000-11,48938,
2000-12,48931,
2001-01,48752,
2001-02,51370,
2001-03,51754,
2001-04,52222,
2001-05,52924,
2001-06,53291,
2001-07,54143,
2001-08,55039,
2001-09,56017,
2001-10,57194,
2001-11,58630,
2001-12,59249,
2002-01,61689,
2002-02,63696,
2002-03,65500,
2002-04,66716,
2002-05,67752,
2002-06,68599,
2002-07,70181,
2002-08,71319,
2002-09,72504,
2002-10,73610,
2002-11,74450,
2002-12,74513,
2003-01,76676,
2003-02,78976,
2003-03,80825,
2003-04,82761,
2003-05,84280,
2003-06,85707,
2003-07,87112,
2003-08,87925,
2003-09,88376,
2003-10,88963,
2003-11,88811,
2003-12,87703,
2004-01,87737,
2004-02,88311,
2004-03,89291,
2004-04,89765,
2004-05,89640,
2004-06,89763,
2004-07,90538,
2004-08,90656,
2004-09,91020,
2004-10,91440,
2004-11,91204,
2004-12,90757,
2005-01,90665,
2005-02,89933,
2005-03,89391,
2005-04,89526,
2005-05,89708,
2005-06,89250,
2005-07,89711,
2005-08,89872,
2005-09,89929,
2005-10,90069,
2005-11,90097,
2005-12,86686,
2006-01,81192,
2006-02,79315,
2006-03,77379,
2006-04,76979,
2006-05,76825,
2006-06,76802,
2006-07,76750,
2006-08,76816,
2006-09,76629,
2006-10,76990,
2006-11,77642,
2006-12,77888,
2007-01,78547,
2007-02,79587,
2007-03,80411,
2007-04,81001,
2007-05,82426,
2007-06,82906,
2007-07,83665,
2007-08,84101,
2007-09,84729,
2007-10,83722,
2007-11,84271,
2007-12,84662,
2008-01,85510,
2008-02,86989,
2008-03,87741,
2008-04,88430,
2008-05,88734,
2008-06,88280,
2008-07,89315,
2008-08,90176,
2008-09,90176,
2008-10,85442,
2008-11,84904,
2008-12,85363,
2009-01,85686,
2009-02,85858,
2009-03,86285,
2009-04,86896,
2009-05,87842,
2009-06,87971,
2009-07,87243,
2009-08,87771,
2009-09,87669,
2009-10,87160,
2009-11,87425,
2009-12,87926,
2010-01,89185,
2010-02,90322,
2010-03,90904,
2010-04,91007,
2010-05,89835,
2010-06,89060,
2010-07,88940,
2010-08,89044,
2010-09,88359,
2010-10,88027,
2010-11,87516,
2010-12,86634,
2011-01,86566,
2011-02,86721,
2011-03,86319,
2011-04,86343,
2011-05,86484,
2011-06,85940,
2011-07,85858,
2011-08,85880,
2011-09,85970,
2011-10,86038,
2011-11,86087,
2011-12,86017,
2012-01,86112,
2012-02,86594,
2012-03,86829,
2012-04,86185,
2012-05,86038,
2012-06,84608,
2012-07,84539,
2012-08,84744,
2012-09,84704,
2012-10,85076,
2012-11,85051,
2012-12,83841,
2013-01,84248,
2013-02,84521,
2013-03,84636,
2013-04,84605,
2013-05,84905,
2013-06,84475,
2013-07,84480,
2013-08,84048,
2013-09,83647,
2013-10,82945,
2013-11,83140,
2013-12,82518,
2014-01,82388,
2014-02,82486,
2014-03,82451,
2014-04,82372,
2014-05,82436,
2014-06,81764,
2014-07,81193,
2014-08,81370,
2014-09,81418,
2014-10,80139,
2014-11,80517,
