"",BBFN1.M.DE.N.1.A.BE.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BE.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1992-06,0.240,
1992-07,0.240,
1992-08,0.226,
1992-09,0.218,
1992-10,0.213,
1992-11,0.222,
1992-12,0.239,
1993-01,0.255,
1993-02,0.258,
1993-03,0.239,
1993-04,0.233,
1993-05,0.230,
1993-06,0.230,
1993-07,0.229,
1993-08,0.257,
1993-09,0.259,
1993-10,0.258,
1993-11,0.278,
1993-12,0.285,
1994-01,0.285,
1994-02,0.300,
1994-03,0.289,
1994-04,0.271,
1994-05,0.247,
1994-06,0.246,
1994-07,0.247,
1994-08,0.247,
1994-09,0.261,
1994-10,0.262,
1994-11,0.260,
1994-12,0.259,
1995-01,0.255,
1995-02,0.261,
1995-03,0.260,
1995-04,0.259,
1995-05,0.269,
1995-06,0.267,
1995-07,0.268,
1995-08,0.266,
1995-09,0.264,
1995-10,0.256,
1995-11,0.251,
1995-12,0.277,
1996-01,0.282,
1996-02,0.273,
1996-03,0.271,
1996-04,0.274,
1996-05,0.269,
1996-06,0.269,
1996-07,0.272,
1996-08,0.278,
1996-09,0.258,
1996-10,0.256,
1996-11,0.251,
1996-12,0.284,
1997-01,0.285,
1997-02,0.285,
1997-03,0.659,
1997-04,0.658,
1997-05,0.658,
1997-06,0.669,
1997-07,0.725,
1997-08,0.729,
1997-09,0.710,
1997-10,0.703,
1997-11,0.864,
1997-12,0.891,
1998-01,0.890,
1998-02,0.894,
1998-03,1.049,
1998-04,1.136,
1998-05,1.134,
1998-06,1.161,
1998-07,1.154,
1998-08,0.988,
1998-09,0.963,
1998-10,0.925,
1998-11,0.916,
1998-12,0.904,
1999-01,0.903,
1999-02,0.908,
1999-03,0.907,
1999-04,0.906,
1999-05,0.925,
1999-06,0.935,
1999-07,0.786,
1999-08,0.784,
1999-09,0.800,
1999-10,0.823,
1999-11,0.707,
1999-12,0.666,
2000-01,0.693,
2000-02,0.701,
2000-03,0.573,
2000-04,0.574,
2000-05,0.552,
2000-06,0.638,
2000-07,0.637,
2000-08,0.624,
2000-09,0.545,
2000-10,0.728,
2000-11,0.686,
2000-12,0.788,
2001-01,0.821,
2001-02,0.789,
2001-03,0.814,
2001-04,0.834,
2001-05,0.842,
2001-06,0.805,
2001-07,0.764,
2001-08,1.266,
2001-09,0.839,
2001-10,0.757,
2001-11,0.673,
2001-12,0.703,
2002-01,0.703,
2002-02,0.699,
2002-03,0.703,
2002-04,0.689,
2002-05,0.744,
2002-06,0.734,
2002-07,0.753,
2002-08,0.780,
2002-09,0.749,
2002-10,0.766,
2002-11,0.789,
2002-12,0.777,
2003-01,0.796,
2003-02,0.767,
2003-03,0.747,
2003-04,0.760,
2003-05,0.783,
2003-06,0.775,
2003-07,0.615,
2003-08,0.614,
2003-09,0.608,
2003-10,0.685,
2003-11,0.695,
2003-12,0.857,
2004-01,0.892,
2004-02,0.820,
2004-03,0.858,
2004-04,0.894,
2004-05,0.894,
2004-06,0.945,
2004-07,0.940,
2004-08,0.944,
2004-09,1.401,
2004-10,1.273,
2004-11,1.278,
2004-12,1.332,
2005-01,1.355,
2005-02,1.348,
2005-03,1.359,
2005-04,1.358,
2005-05,1.280,
2005-06,1.240,
2005-07,1.225,
2005-08,1.274,
2005-09,1.269,
2005-10,1.397,
2005-11,1.281,
2005-12,1.422,
2006-01,1.613,
2006-02,1.632,
2006-03,1.637,
2006-04,1.576,
2006-05,1.569,
2006-06,1.547,
2006-07,1.531,
2006-08,1.603,
2006-09,1.599,
2006-10,1.598,
2006-11,1.584,
2006-12,1.615,
2007-01,0.955,
2007-02,0.956,
2007-03,0.977,
2007-04,1.021,
2007-05,1.009,
2007-06,1.027,
2007-07,1.054,
2007-08,1.058,
2007-09,1.063,
2007-10,1.028,
2007-11,1.031,
2007-12,1.073,
2008-01,1.021,
2008-02,1.035,
2008-03,1.025,
2008-04,1.044,
2008-05,1.315,
2008-06,1.332,
2008-07,1.349,
2008-08,1.401,
2008-09,1.454,
2008-10,1.448,
2008-11,1.471,
2008-12,1.456,
2009-01,1.456,
2009-02,1.459,
2009-03,1.420,
2009-04,1.482,
2009-05,1.745,
2009-06,1.911,
2009-07,2.005,
2009-08,2.217,
2009-09,2.343,
2009-10,2.371,
2009-11,2.506,
2009-12,2.600,
2010-01,2.701,
2010-02,2.759,
2010-03,3.065,
2010-04,3.317,
2010-05,3.502,
2010-06,3.526,
2010-07,3.509,
2010-08,3.528,
2010-09,3.539,
2010-10,3.561,
2010-11,3.572,
2010-12,3.518,
2011-01,3.638,
2011-02,3.658,
2011-03,3.665,
2011-04,3.544,
2011-05,3.719,
2011-06,3.728,
2011-07,3.703,
2011-08,3.726,
2011-09,3.957,
2011-10,3.928,
2011-11,3.795,
2011-12,4.603,
2012-01,4.734,
2012-02,4.954,
2012-03,4.898,
2012-04,4.923,
2012-05,4.983,
2012-06,5.095,
2012-07,5.355,
2012-08,5.452,
2012-09,5.535,
2012-10,5.583,
2012-11,5.759,
2012-12,5.904,
2013-01,8.742,
2013-02,8.707,
2013-03,8.938,
2013-04,9.104,
2013-05,9.406,
2013-06,9.667,
2013-07,9.494,
2013-08,9.916,
2013-09,10.069,
2013-10,10.046,
2013-11,10.192,
2013-12,10.293,
2014-01,10.342,
2014-02,10.410,
2014-03,10.477,
2014-04,10.553,
2014-05,10.551,
2014-06,10.539,
2014-07,10.553,
2014-08,10.563,
2014-09,10.699,
2014-10,10.781,
2014-11,10.768,
2014-12,10.776,
