"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4P.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4P.D.F._Z._T._X.N_FLAGS
1997-10,1195.675,
1997-11,1057.425,
1997-12,2570.356,
1998-01,1108.019,
1998-02,555.504,
1998-03,1421.258,
1998-04,1152.265,
1998-05,922.633,
1998-06,1552.717,
1998-07,1293.795,
1998-08,934.113,
1998-09,1086.916,
1998-10,304.927,
1998-11,932.230,
1998-12,3335.695,
1999-01,550.601,
1999-02,853.588,
1999-03,1326.282,
1999-04,2471.995,
1999-05,1026.340,
1999-06,1289.771,
1999-07,1142.936,
1999-08,800.035,
1999-09,828.777,
1999-10,1090.817,
1999-11,959.573,
1999-12,2916.163,
2000-01,810.960,
2000-02,524.031,
2000-03,2854.001,
2000-04,1343.437,
2000-05,1364.392,
2000-06,1278.247,
2000-07,911.775,
2000-08,724.615,
2000-09,898.722,
2000-10,1339.733,
2000-11,724.522,
2000-12,6433.650,
2001-01,580.047,
2001-02,474.414,
2001-03,540.344,
2001-04,465.181,
2001-05,417.591,
2001-06,387.407,
2001-07,428.658,
2001-08,383.375,
2001-09,341.708,
2001-10,447.596,
2001-11,386.537,
2001-12,458.754,
2002-01,657.597,
2002-02,793.862,
2002-03,820.672,
2002-04,816.796,
2002-05,776.252,
2002-06,896.971,
2002-07,865.556,
2002-08,838.623,
2002-09,1005.080,
2002-10,892.535,
2002-11,870.834,
2002-12,984.211,
2003-01,1199.988,
2003-02,1169.338,
2003-03,1342.398,
2003-04,1344.896,
2003-05,1294.431,
2003-06,1493.074,
2003-07,1513.756,
2003-08,1432.004,
2003-09,1512.790,
2003-10,1512.435,
2003-11,1467.072,
2003-12,2111.539,
2004-01,3499.578,
2004-02,3453.643,
2004-03,3440.829,
2004-04,3501.339,
2004-05,3214.515,
2004-06,3414.934,
2004-07,3743.821,
2004-08,3411.724,
2004-09,3736.713,
2004-10,3671.432,
2004-11,3743.090,
2004-12,4081.448,
2005-01,4287.364,
2005-02,4002.905,
2005-03,4119.723,
2005-04,4381.670,
2005-05,3926.876,
2005-06,4234.921,
2005-07,4370.298,
2005-08,4156.102,
2005-09,4633.536,
2005-10,4393.390,
2005-11,4640.902,
2005-12,4879.214,
2006-01,5261.607,
2006-02,5024.771,
2006-03,5176.893,
2006-04,5233.696,
2006-05,5163.331,
2006-06,5500.303,
2006-07,5422.330,
2006-08,5340.814,
2006-09,5566.539,
2006-10,5676.687,
2006-11,5445.844,
2006-12,6202.844,
2007-01,6996.027,
2007-02,6665.673,
2007-03,6921.933,
2007-04,6803.035,
2007-05,6426.683,
2007-06,6424.115,
2007-07,6267.376,
2007-08,5668.403,
2007-09,5341.698,
2007-10,5167.477,
2007-11,4425.905,
2007-12,4361.794,
2008-01,3563.281,
2008-02,2683.556,
2008-03,2502.513,
2008-04,2256.024,
2008-05,1767.855,
2008-06,1975.558,
2008-07,1959.720,
2008-08,1804.775,
2008-09,1988.898,
2008-10,2200.544,
2008-11,2182.399,
2008-12,2692.520,
2009-01,4509.152,
2009-02,4286.549,
2009-03,4541.906,
2009-04,4654.759,
2009-05,4385.569,
2009-06,4743.093,
2009-07,5062.280,
2009-08,4664.877,
2009-09,4894.369,
2009-10,5210.212,
2009-11,4918.407,
2009-12,5508.891,
2010-01,5584.599,
2010-02,5479.502,
2010-03,5778.384,
2010-04,5940.801,
2010-05,5773.333,
2010-06,6356.903,
2010-07,6218.165,
2010-08,5885.704,
2010-09,6201.444,
2010-10,6298.955,
2010-11,6129.122,
2010-12,8123.465,
2011-01,6475.594,
2011-02,6480.129,
2011-03,6571.406,
2011-04,6681.538,
2011-05,6584.574,
2011-06,6838.655,
2011-07,6951.395,
2011-08,6743.657,
2011-09,6925.818,
2011-10,7027.381,
2011-11,6720.393,
2011-12,7049.870,
2012-01,6853.591,
2012-02,6619.088,
2012-03,6913.766,
2012-04,6871.342,
2012-05,6578.080,
2012-06,6732.271,
2012-07,6801.188,
2012-08,6602.553,
2012-09,6801.361,
2012-10,6874.058,
2012-11,6742.008,
2012-12,7114.435,
2013-01,6765.062,
2013-02,6389.211,
2013-03,6592.666,
2013-04,6635.186,
2013-05,6429.591,
2013-06,6549.709,
2013-07,6680.891,
2013-08,6305.216,
2013-09,6528.930,
2013-10,6581.733,
2013-11,6409.002,
2013-12,6921.847,
2014-01,6570.593,
2014-02,6247.887,Provisional value
2014-03,6398.762,Provisional value
2014-04,6509.535,Provisional value
2014-05,6389.105,Provisional value
2014-06,6437.201,Provisional value
2014-07,6518.379,Provisional value
2014-08,6377.845,Provisional value
2014-09,7219.317,
2014-10,6620.901,
2014-11,6397.371,
2014-12,6638.492,Provisional value
