"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L.Z06._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L.Z06._X.N_FLAGS
1998-04,3504.554,
1998-05,5845.013,
1998-06,3846.885,
1998-07,1572.964,
1998-08,-1202.629,
1998-09,3002.011,
1998-10,6048.434,
1998-11,4863.738,
1998-12,5393.812,
1999-01,1019.238,
1999-02,2372.686,
1999-03,627.280,
1999-04,776.074,
1999-05,-70.293,
1999-06,-1027.901,
1999-07,-598.986,
1999-08,456.270,
1999-09,1449.561,
1999-10,766.259,
1999-11,296.200,
1999-12,471.598,
2000-01,1393.797,
2000-02,1311.411,
2000-03,-864.914,
2000-04,-2106.465,
2000-05,-1245.396,
2000-06,-995.312,
2000-07,371.292,
2000-08,-1803.994,
2000-09,1658.149,
2000-10,-3738.217,
2000-11,2439.936,
2000-12,-1425.117,
2001-01,-811.894,
2001-02,660.500,
2001-03,-877.377,
2001-04,1904.787,
2001-05,1741.485,
2001-06,-2410.367,
2001-07,-2453.688,
2001-08,-42.640,
2001-09,-3712.657,
2001-10,3208.744,
2001-11,3215.153,
2001-12,5799.235,
2002-01,-6907.058,
2002-02,2047.500,
2002-03,195.843,
2002-04,-1133.343,
2002-05,779.136,
2002-06,370.609,
2002-07,1097.049,
2002-08,533.213,
2002-09,754.912,
2002-10,-363.520,
2002-11,946.231,
2002-12,2991.983,
2003-01,-1149.615,
2003-02,1853.720,
2003-03,1535.300,
2003-04,2861.937,
2003-05,1226.774,
2003-06,3582.800,
2003-07,-1197.090,
2003-08,-657.354,
2003-09,-993.878,
2003-10,17.055,
2003-11,1563.203,
2003-12,-1453.013,
2004-01,-263.910,
2004-02,-17.640,
2004-03,4968.577,
2004-04,834.582,
2004-05,-566.152,
2004-06,249.963,
2004-07,-181.645,
2004-08,751.654,
2004-09,51.763,
2004-10,80.254,
2004-11,916.022,
2004-12,949.336,
2005-01,2651.423,
2005-02,5655.636,
2005-03,191.982,
2005-04,2224.794,
2005-05,-601.617,
2005-06,2198.746,
2005-07,69.884,
2005-08,1486.017,
2005-09,4137.487,
2005-10,3397.872,
2005-11,907.599,
2005-12,2796.806,
2006-01,2266.737,
2006-02,2126.743,
2006-03,4483.576,
2006-04,-1521.913,
2006-05,1235.409,
2006-06,5018.521,
2006-07,278.148,
2006-08,734.115,
2006-09,1300.922,
2006-10,1358.359,
2006-11,3656.761,
2006-12,914.035,
2007-01,3019.029,
2007-02,4586.347,
2007-03,4221.842,
2007-04,4253.545,
2007-05,2716.983,
2007-06,-1372.004,
2007-07,1435.856,
2007-08,5117.957,
2007-09,765.609,
2007-10,1651.206,
2007-11,-2980.810,
2007-12,6347.519,
2008-01,2140.878,
2008-02,1486.498,
2008-03,13600.624,
2008-04,-1293.719,
2008-05,224.861,
2008-06,-376.093,
2008-07,-65.113,
2008-08,566.638,
2008-09,-1256.677,
2008-10,-3388.837,
2008-11,-1251.844,
2008-12,-2990.528,
2009-01,-970.162,
2009-02,35.137,
2009-03,-3323.087,
2009-04,-362.167,
2009-05,-463.225,
2009-06,3061.252,
2009-07,212.221,
2009-08,-484.487,
2009-09,-1061.607,
2009-10,-367.748,
2009-11,958.655,
2009-12,765.481,
2010-01,-1517.831,
2010-02,-2711.029,
2010-03,-3662.794,
2010-04,657.964,
2010-05,1419.422,
2010-06,-1078.282,
2010-07,814.116,
2010-08,421.030,
2010-09,3447.660,
2010-10,56015.995,
2010-11,1019.323,
2010-12,-1710.565,
2011-01,815.448,
2011-02,724.190,
2011-03,-393.856,
2011-04,-834.746,
2011-05,2012.339,
2011-06,308.380,
2011-07,1105.532,
2011-08,-1289.588,
2011-09,1277.141,
2011-10,-1831.350,
2011-11,583.241,
2011-12,-986.390,
2012-01,-1025.622,
2012-02,-1487.732,
2012-03,437.916,
2012-04,-652.933,
2012-05,-167.312,
2012-06,-63.104,
2012-07,361.610,
2012-08,-289.221,
2012-09,1995.679,
2012-10,2032.251,
2012-11,3471.297,
2012-12,1636.272,
2013-01,590.621,
2013-02,1566.252,
2013-03,-1340.729,
2013-04,2339.534,
2013-05,2055.549,
2013-06,2670.146,
2013-07,4448.089,
2013-08,939.399,
2013-09,3458.921,
2013-10,174.197,
2013-11,1912.511,
2013-12,3620.703,
2014-01,-167.958,
2014-02,-1548.507,Provisional value
2014-03,1915.767,Provisional value
2014-04,-243.389,Provisional value
2014-05,1366.057,Provisional value
2014-06,2504.701,Provisional value
2014-07,1881.712,Provisional value
2014-08,-1210.636,Provisional value
2014-09,3547.910,
2014-10,2559.281,
2014-11,3047.203,
2014-12,3042.639,Provisional value
