"",BBDA1.M.DE.N.IM.S.A.HU.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.HU.A.V.ABA.A_FLAGS
2003-12,1046431,
2004-01,1072665,
2004-02,1138330,
2004-03,1319771,
2004-04,1250428,
2004-05,980903,
2004-06,990455,
2004-07,1022750,
2004-08,941767,
2004-09,1025916,
2004-10,1225135,
2004-11,1309629,
2004-12,1134336,
2005-01,981343,
2005-02,967279,
2005-03,1176641,
2005-04,1099766,
2005-05,1014196,
2005-06,1252550,
2005-07,1296941,
2005-08,1239826,
2005-09,1265143,
2005-10,1175420,
2005-11,1485404,
2005-12,1254561,
2006-01,1077963,
2006-02,1243272,
2006-03,1361771,
2006-04,1242051,
2006-05,1234395,
2006-06,1242759,
2006-07,1265826,
2006-08,1285886,
2006-09,1433437,
2006-10,1420212,
2006-11,1461491,
2006-12,1439129,
2007-01,1293042,
2007-02,1467646,
2007-03,1570729,
2007-04,1375205,
2007-05,1455840,
2007-06,1571679,
2007-07,1429266,
2007-08,1354712,
2007-09,1507199,
2007-10,1584045,
2007-11,1589611,
2007-12,1106518,
2008-01,1498922,
2008-02,1433149,
2008-03,1452513,
2008-04,1558698,
2008-05,1373219,
2008-06,1425754,
2008-07,1415667,
2008-08,1333654,
2008-09,1462095,
2008-10,1394926,
2008-11,1461854,
2008-12,1004606,
2009-01,997146,
2009-02,1048912,
2009-03,1297912,
2009-04,1076932,
2009-05,1091586,
2009-06,1187826,
2009-07,1193677,
2009-08,965314,
2009-09,1282767,
2009-10,1293133,
2009-11,1266309,
2009-12,1064089,
2010-01,1072311,
2010-02,1260294,
2010-03,1489765,
2010-04,1274446,
2010-05,1316822,
2010-06,1511118,
2010-07,1385738,
2010-08,1142499,
2010-09,1510531,
2010-10,1560780,
2010-11,1452266,
2010-12,1411294,
2011-01,1316967,
2011-02,1528810,
2011-03,1694644,
2011-04,1468595,
2011-05,1591201,
2011-06,1507877,
2011-07,1517284,
2011-08,1438928,
2011-09,1645339,
2011-10,1585700,
2011-11,1577934,
2011-12,1334575,
2012-01,1471823,
2012-02,1634704,
2012-03,1660465,
2012-04,1513549,
2012-05,1613755,
2012-06,1631338,
2012-07,1544689,
2012-08,1438716,
2012-09,1583555,
2012-10,1642274,
2012-11,1572224,
2012-12,1159444,
2013-01,1461225,
2013-02,1529439,
2013-03,1632185,
2013-04,1668489,
2013-05,1587455,
2013-06,1636207,
2013-07,1632556,
2013-08,1424064,
2013-09,1742399,
2013-10,1886519,
2013-11,1802387,
2013-12,1488269,
2014-01,1698536,
2014-02,1806768,
2014-03,1879754,
2014-04,1952310,
2014-05,1814423,
2014-06,1876486,
2014-07,1967020,
2014-08,1494271,
2014-09,2020059,
2014-10,1996679,
2014-11,1924755,
2014-12,1607132,
